date,county,state,fips,cases,deaths
2020-10-02,Chowan,North Carolina,37041.0,386,4.0
2020-12-18,Letcher,Kentucky,21133.0,814,3.0
2020-06-02,Hamilton,Illinois,17065.0,2,0.0
2020-07-26,Northampton,North Carolina,37131.0,256,16.0
2021-02-03,Blaine,Idaho,16013.0,2003,14.0
2020-10-13,Jefferson,Louisiana,22051.0,18118,578.0
2020-12-25,Sheridan,Kansas,20179.0,370,0.0
2020-11-12,Bolivar,Mississippi,28011.0,2202,82.0
2021-01-02,Forest,Wisconsin,55041.0,916,24.0
2020-04-23,Martin,North Carolina,37117.0,12,0.0
2020-08-19,Juniata,Pennsylvania,42067.0,140,6.0
2020-06-16,Warren,New Jersey,34041.0,1205,140.0
2020-12-23,Cass,Minnesota,27021.0,1868,18.0
2021-02-04,Spalding,Georgia,13255.0,5109,134.0
2020-06-14,Orange,North Carolina,37135.0,474,40.0
2020-10-15,Franklin,Arkansas,5047.0,439,2.0
2020-08-29,Grant,Oregon,41023.0,8,0.0
2021-03-04,Coconino,Arizona,4005.0,16648,315.0
2020-10-24,Chesapeake city,Virginia,51550.0,4833,78.0
2020-07-20,Fairbanks North Star Borough,Alaska,2090.0,347,2.0
2020-08-26,Mahoning,Ohio,39099.0,2812,264.0
2021-02-02,Isabella,Michigan,26073.0,3857,69.0
2021-02-25,Rockbridge,Virginia,51163.0,1266,32.0
2020-05-12,Hale,Texas,48189.0,39,4.0
2020-11-05,Wheeler,Texas,48483.0,128,0.0
2020-07-08,Robertson,Kentucky,21201.0,1,0.0
2021-02-02,Ionia,Michigan,26067.0,6112,67.0
2020-12-03,Livingston,Illinois,17105.0,2387,38.0
2020-12-11,Todd,South Dakota,46121.0,1070,15.0
2020-05-03,Dauphin,Pennsylvania,42043.0,634,28.0
2020-06-04,Washington,Iowa,19183.0,195,8.0
2020-10-13,Geary,Kansas,20061.0,482,4.0
2021-01-20,Broward,Florida,12011.0,161624,1998.0
2020-12-18,Tallahatchie,Mississippi,28135.0,1121,29.0
2020-11-09,Keweenaw,Michigan,26083.0,28,1.0
2020-10-25,Kearney,Nebraska,31099.0,255,0.0
2020-10-03,Ogemaw,Michigan,26129.0,69,5.0
2020-02-24,San Diego,California,6073.0,1,0.0
2021-02-16,Wayne,Indiana,18177.0,6934,188.0
2020-08-06,Marshall,Indiana,18099.0,758,22.0
2020-06-19,Union,New Jersey,34039.0,16291,1131.0
2020-04-23,Horry,South Carolina,45051.0,196,12.0
2020-06-04,Marquette,Michigan,26103.0,56,11.0
2021-03-11,Androscoggin,Maine,23001.0,4946,57.0
2020-10-06,Upshur,West Virginia,54097.0,127,0.0
2020-04-29,Madison,Alabama,1089.0,224,4.0
2020-10-19,Claiborne,Louisiana,22027.0,586,24.0
2020-07-13,Hamilton,Florida,12047.0,434,2.0
2020-11-19,Avery,North Carolina,37011.0,834,3.0
2020-07-31,Milam,Texas,48331.0,302,3.0
2020-10-24,Rock,Nebraska,31149.0,55,1.0
2020-08-22,Clatsop,Oregon,41007.0,93,0.0
2020-12-03,Hamilton,Iowa,19079.0,1195,14.0
2020-05-07,Beltrami,Minnesota,27007.0,6,0.0
2020-06-30,Joplin,Missouri,,152,3.0
2021-02-19,Sublette,Wyoming,56035.0,671,7.0
2021-03-13,Stevens,Minnesota,27149.0,757,9.0
2020-08-12,Upshur,Texas,48459.0,257,2.0
2020-11-23,Denver,Colorado,8031.0,33404,507.0
2020-08-16,Placer,California,6061.0,2600,28.0
2020-10-24,Clay,Alabama,1027.0,741,12.0
2021-01-09,Moore,Tennessee,47127.0,764,6.0
2020-09-28,Cowlitz,Washington,53015.0,661,7.0
2020-11-25,Schuyler,Illinois,17169.0,257,1.0
2020-09-06,Stevens,Kansas,20189.0,76,0.0
2020-04-07,Iberville,Louisiana,22047.0,160,8.0
2020-06-23,Tippecanoe,Indiana,18157.0,544,9.0
2020-09-22,Andrews,Texas,48003.0,412,8.0
2020-07-31,Lafayette,Wisconsin,55065.0,103,0.0
2021-01-14,Culebra,Puerto Rico,72049.0,28,
2021-01-16,Sabine,Texas,48403.0,613,25.0
2020-12-18,Davidson,North Carolina,37057.0,7182,67.0
2021-01-14,Mellette,South Dakota,46095.0,230,2.0
2020-11-16,Lexington city,Virginia,51678.0,293,2.0
2020-08-19,Jackson,Mississippi,28059.0,2594,50.0
2020-09-08,Indiana,Pennsylvania,42063.0,472,11.0
2020-08-07,Macon,Tennessee,47111.0,856,13.0
2020-07-09,Worth,Iowa,19195.0,21,0.0
2020-11-08,Franklin,Virginia,51067.0,1121,7.0
2021-02-27,Marion,Iowa,19125.0,3379,69.0
2020-07-09,Van Buren,Michigan,26159.0,257,9.0
2020-12-27,Eddy,North Dakota,38027.0,395,6.0
2020-08-15,Renville,North Dakota,38075.0,10,0.0
2020-12-29,Garrard,Kentucky,21079.0,929,4.0
2020-04-15,Noxubee,Mississippi,28103.0,10,0.0
2020-12-02,McKenzie,North Dakota,38053.0,898,7.0
2021-02-27,Colonial Heights city,Virginia,51570.0,1344,41.0
2020-07-17,Clark,Wisconsin,55019.0,130,7.0
2020-10-04,Mariposa,California,6043.0,76,2.0
2020-08-20,New London,Connecticut,9011.0,1503,106.0
2020-06-28,Dare,North Carolina,37055.0,43,1.0
2020-08-15,George,Mississippi,28039.0,637,9.0
2020-11-14,Churchill,Nevada,32001.0,517,4.0
2020-08-07,Cheshire,New Hampshire,33005.0,96,3.0
2020-04-30,Campbell,Wyoming,56005.0,24,0.0
2020-04-17,Rush,Indiana,18139.0,20,1.0
2020-08-27,Traverse,Minnesota,27155.0,21,0.0
2020-12-15,Flathead,Montana,30029.0,8061,44.0
2021-01-06,Randolph,Alabama,1111.0,1305,31.0
2020-09-09,Kanawha,West Virginia,54039.0,1753,47.0
2020-06-05,Brevard,Florida,12009.0,439,13.0
2021-02-07,Hamilton,Florida,12047.0,1527,18.0
