FIPS,county,county_ascii,county_fips,state_id,state_name,lat,lng,population
31117.0,McPherson,McPherson,31117,NE,Nebraska,41.5682,-101.0605,395
31105.0,Kimball,Kimball,31105,NE,Nebraska,41.1978,-103.7149,3633
27013.0,Blue Earth,Blue Earth,27013,MN,Minnesota,44.0346,-94.067,66795
41015.0,Curry,Curry,41015,OR,Oregon,42.4576,-124.1568,22650
41033.0,Josephine,Josephine,41033,OR,Oregon,42.3655,-123.5555,86251
8067.0,La Plata,La Plata,8067,CO,Colorado,37.2866,-107.8433,55617
48319.0,Mason,Mason,48319,TX,Texas,30.7177,-99.2261,4186
20135.0,Ness,Ness,20135,KS,Kansas,38.4794,-99.9161,2876
36011.0,Cayuga,Cayuga,36011,NY,New York,42.9175,-76.5545,77425
17017.0,Cass,Cass,17017,IL,Illinois,39.9735,-90.2474,12493
37117.0,Martin,Martin,37117,NC,North Carolina,35.8432,-77.1092,22849
20023.0,Cheyenne,Cheyenne,20023,KS,Kansas,39.7859,-101.7313,2665
42085.0,Mercer,Mercer,42085,PA,Pennsylvania,41.3022,-80.2577,111518
51029.0,Buckingham,Buckingham,51029,VA,Virginia,37.5722,-78.5288,17059
55091.0,Pepin,Pepin,55091,WI,Wisconsin,44.5829,-92.0016,7265
21103.0,Henry,Henry,21103,KY,Kentucky,38.4485,-85.1189,15911
53009.0,Clallam,Clallam,53009,WA,Washington,48.0493,-123.928,75392
32033.0,White Pine,White Pine,32033,NV,Nevada,39.4421,-114.9016,9679
45007.0,Anderson,Anderson,45007,SC,South Carolina,34.5193,-82.6378,198064
41021.0,Gilliam,Gilliam,41021,OR,Oregon,45.3783,-120.2108,1878
38091.0,Steele,Steele,38091,ND,North Dakota,47.4562,-97.7246,1744
51065.0,Fluvanna,Fluvanna,51065,VA,Virginia,37.8419,-78.2773,26594
31185.0,York,York,31185,NE,Nebraska,40.8727,-97.5971,13745
30073.0,Pondera,Pondera,30073,MT,Montana,48.2277,-112.2263,5994
37139.0,Pasquotank,Pasquotank,37139,NC,North Carolina,36.2955,-76.284,39514
22027.0,Claiborne,Claiborne,22027,LA,Louisiana,32.8226,-92.9958,15985
48335.0,Mitchell,Mitchell,48335,TX,Texas,32.3062,-100.9211,8523
39103.0,Medina,Medina,39103,OH,Ohio,41.1176,-81.8997,177980
47005.0,Benton,Benton,47005,TN,Tennessee,36.0698,-88.0683,16140
28149.0,Warren,Warren,28149,MS,Mississippi,32.3573,-90.852,46519
13009.0,Baldwin,Baldwin,13009,GA,Georgia,33.0692,-83.2496,45111
8107.0,Routt,Routt,8107,CO,Colorado,40.4851,-106.9913,25072
8057.0,Jackson,Jackson,8057,CO,Colorado,40.6664,-106.3428,1261
18051.0,Gibson,Gibson,18051,IN,Indiana,38.3119,-87.5846,33656
37171.0,Surry,Surry,37171,NC,North Carolina,36.4148,-80.6881,71971
39165.0,Warren,Warren,39165,OH,Ohio,39.4276,-84.1668,229132
48497.0,Wise,Wise,48497,TX,Texas,33.2159,-97.6545,66290
37055.0,Dare,Dare,37055,NC,North Carolina,35.7795,-75.798,36222
5023.0,Cleburne,Cleburne,5023,AR,Arkansas,35.5381,-92.0267,25100
46119.0,Sully,Sully,46119,SD,South Dakota,44.7156,-100.1322,1305
48121.0,Denton,Denton,48121,TX,Texas,33.2052,-97.117,833822
35047.0,San Miguel,San Miguel,35047,NM,New Mexico,35.4804,-104.8158,27738
26041.0,Delta,Delta,26041,MI,Michigan,45.9191,-86.9242,36026
20027.0,Clay,Clay,20027,KS,Kansas,39.3497,-97.1652,8082
44003.0,Kent,Kent,44003,RI,Rhode Island,41.6722,-71.593,163869
13007.0,Baker,Baker,13007,GA,Georgia,31.3262,-84.4447,3132
40039.0,Custer,Custer,40039,OK,Oklahoma,35.6388,-99.0015,29152
28037.0,Franklin,Franklin,28037,MS,Mississippi,31.4772,-90.8979,7733
12041.0,Gilchrist,Gilchrist,12041,FL,Florida,29.7258,-82.8004,17953
18019.0,Clark,Clark,18019,IN,Indiana,38.4772,-85.7073,116507
20189.0,Stevens,Stevens,20189,KS,Kansas,37.1923,-101.3121,5603
38055.0,McLean,McLean,38055,ND,North Dakota,47.6069,-101.3218,9584
20043.0,Doniphan,Doniphan,20043,KS,Kansas,39.7881,-95.1468,7684
42107.0,Schuylkill,Schuylkill,42107,PA,Pennsylvania,40.7058,-76.216,142674
38019.0,Cavalier,Cavalier,38019,ND,North Dakota,48.7723,-98.4648,3803
21055.0,Crittenden,Crittenden,21055,KY,Kentucky,37.3527,-88.0972,9000
