region_id,region_type_id,region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,pending_sales,pending_sales_yoy,median_pending_sqft,median_pending_sqft_yoy,off_market_in_two_weeks,off_market_in_two_weeks_yoy,off_market_in_one_week,off_market_in_one_week_yoy,percent_off_market_in_two_weeks,percent_off_market_in_two_weeks_yoy,percent_off_market_in_one_week,percent_off_market_in_one_week_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,homes_delisted,homes_delisted_yoy,percent_active_listings_delisted,percent_active_listings_delisted_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,pending_sales_to_sales_ratio,pending_sales_to_sales_ratio_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,last_updated
2436,5,"Anderson County, SC",county,1/7/2019,1/13/2019,1 weeks,22,-0.214285714,22,-0.214285714,6,0.2,6,0.2,0.272727273,0.094155844,109450,-0.242298373,80.49061914,-0.037034274,20.5,-4,31,0.823529412,0.036384977,0.015627956,22,0.1,1363.5,-0.123714653,8,0.6,8,0.6,0.363636364,0.113636364,0.363636364,0.113636364,48,-0.28358209,48,-0.28358209,147900,-0.171428571,90.39653036,-0.048326405,812,0.046391753,852,0.04029304,852,0.04029304,96,4,6,-0.454545455,0.007042254,-0.00638876,194900,-0.020603015,103.0051517,0.030354562,,,,,,,0.938101366,-0.048146093,44.5,-28.5,1,0.285714286,38.72727273,9.477272727,58,-0.064516129,0.03817734,0.016270123,3/10/2021 14:56
2436,5,"Anderson County, SC",county,1/14/2019,1/20/2019,1 weeks,27,-0.205882353,27,-0.205882353,7,-0.125,7,-0.125,0.259259259,0.023965142,144000,-0.238095238,96.35974304,0.04942868,5,1,24,0.333333333,0.027459954,0.005694537,30,0.428571429,1601.5,-0.052366864,11,0.571428571,9,0.8,0.366666667,0.033333333,0.3,0.061904762,68,0.214285714,68,0.214285714,134950,-0.214950553,91.13928571,-0.0106635,819,0.03539823,874,0.056831923,874,0.056831923,93,1,6,0.2,0.006864989,0.000819039,189900,-0.045608745,102.8,0.028709455,,,,,,,0.969284993,-0.000215341,52,-6.5,1.111111111,0.493464052,32.37037037,8.046840959,74,0.450980392,0.029304029,0.006548024,3/10/2021 14:56
2436,5,"Anderson County, SC",county,1/21/2019,1/27/2019,1 weeks,32,-0.135135135,32,-0.135135135,13,-0.071428571,13,-0.071428571,0.40625,0.027871622,172500,-0.036312849,95.04045348,0.065874245,15.5,15.5,24,-0.076923077,0.027809965,-0.002563867,24,0.142857143,1630.5,-0.040882353,12,1.4,7,6,0.5,0.261904762,0.291666667,0.244047619,49,-0.279411765,49,-0.279411765,184900,0.009279476,107.5070028,0.087653072,814,0.008674102,863,0.00817757,863,0.00817757,89.5,0.5,6,-0.25,0.006952491,-0.002393303,189900,-0.040909091,103.4610241,0.039772697,,,,,,,0.964865952,0.006144209,110,32,0.75,0.182432432,26.96875,3.833614865,66,0.137931034,0.029484029,-0.002734062,3/10/2021 14:56
2436,5,"Anderson County, SC",county,1/28/2019,2/3/2019,1 weeks,49,-0.075471698,49,-0.075471698,16,0.142857143,16,0.142857143,0.326530612,0.062379669,142100,-0.083225806,86.51685393,0.057428215,9,9,30,0.875,0.034207526,0.015774346,29,0.074074074,1504,-0.052299937,10,0.25,8,1,0.344827586,0.04853129,0.275862069,0.127713921,68,0.114754098,68,0.114754098,160388.5,-0.167029343,96.9187761,-0.054450965,813,0.002466091,877,0.010368664,877,0.010368664,87,0,11,0,0.012542759,-0.000130052,189500,-0.052026013,103.2128514,0.032491985,,,,,,,0.948607281,0.001022428,97,16.5,0.591836735,0.082402772,17.89795918,1.520600693,65,0.203703704,0.036900369,0.017171639,3/10/2021 14:56
2436,5,"Anderson County, SC",county,1/28/2019,2/24/2019,4 weeks,181,0.077380952,45,0.071428571,54,0.14893617,13,0.181818182,0.293709948,0.009416133,168967.7,0.101394606,95.79868949,0.128418498,19,11.7,34,0.7,0.039274336,0.015700668,29,0.208333333,1496.8,-0.110107015,10,0.666666667,6,1,0.355395493,0.113073001,0.21735733,0.075550063,240,0.048034934,60,0.052631579,183308.6,0.001207619,102.8032446,0.01865449,806,-0.02774427,3462,-0.015638328,865,-0.01592719,86.7,6.2,8,0,0.009810409,0.00069909,190625,-0.065334641,103.8753291,0.030885355,,,,,,,0.963892535,0.009082124,76.3,-1.3,0.651364981,0.053375791,19.43958641,-2.764137707,68,0.0625,0.168734491,0.068613864,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/4/2019,2/10/2019,1 weeks,36,0.285714286,36,0.285714286,8,-0.111111111,8,-0.111111111,0.222222222,-0.099206349,164450,0.134529148,99.05897372,0.239774655,21.5,5,23,-0.08,0.026869159,-0.001347545,24,0.090909091,1594,-0.00747198,9,2,4,3,0.375,0.238636364,0.166666667,0.121212121,47,-0.397435897,47,-0.397435897,194896,0.071445849,110.1335905,0.112433799,801,-0.050947867,856,-0.033860045,856,-0.033860045,86,6,8,-0.111111111,0.009345794,-0.000812219,189900,-0.06453202,104.5265529,0.044124636,,,,,,,0.965929214,0.012722668,64.5,-0.5,0.666666667,-0.119047619,23.77777778,-7.865079365,63,-0.086956522,0.028714107,-0.000906746,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/11/2019,2/17/2019,1 weeks,46,0.15,46,0.15,15,0.363636364,15,0.363636364,0.326086957,0.051086957,174571,0.135790501,100.9381302,0.144093137,19,8,50,1.272727273,0.05787037,0.03292706,27,0.038461538,1415,-0.088273196,9,0,3,-0.5,0.333333333,-0.012820513,0.111111111,-0.11965812,65,0.547619048,65,0.547619048,183000,0.016666667,102.5205158,-0.017375248,807,-0.035842294,864,-0.020408163,864,-0.020408163,86,6,9,0.8,0.010416667,0.004747732,189900,-0.073658537,103.9542197,0.026469299,,,,,,,0.967830022,0.010810737,76,16,0.586956522,-0.063043478,18.7826087,-3.267391304,64,0,0.061957869,0.03567352,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/18/2019,2/24/2019,1 weeks,50,0.063829787,50,0.063829787,15,0.153846154,15,0.153846154,0.3,0.023404255,194750,0.2171875,96.68080008,0.078530186,26.5,24.5,33,0.65,0.038150289,0.015448813,38,0.80952381,1474.5,-0.256429652,14,2.5,12,3,0.368421053,0.177944862,0.315789474,0.172932331,60,0.25,60,0.25,194950,0.09584036,101.640096,0.038767951,803,-0.026666667,865,-0.01816118,865,-0.01816118,88,13,6,-0.142857143,0.006936416,-0.0010091,193200,-0.070707071,103.8076923,0.020672004,,,,,,,0.97320362,0.011772664,68,-37,0.76,0.313191489,17.3,-1.444680851,82,0.171428571,0.04109589,0.016853466,3/10/2021 14:56
2436,5,"Anderson County, SC",county,2/25/2019,3/3/2019,1 weeks,80,0.31147541,80,0.31147541,31,1.214285714,31,1.214285714,0.3875,0.157991803,220203.5,0.237098315,104.5853531,0.045853531,26.5,24.5,26,-0.037037037,0.029816514,-0.000351084,26,-0.071428571,1624,-0.13271028,10,1.5,8,1.666666667,0.384615385,0.241758242,0.307692308,0.200549451,70,-0.066666667,70,-0.066666667,209218,0.231418481,106.8681003,0.142577162,813,-0.034441805,872,-0.025698324,872,-0.025698324,83,17,6,-0.142857143,0.006880734,-0.000940495,196012,-0.043377257,104.4834257,0.024447747,,,,,,,0.979537945,0.014401228,87,27,0.325,-0.134016393,10.9,-3.772131148,60,-0.076923077,0.03198032,-8.62E-05,3/10/2021 14:56
2436,5,"Anderson County, SC",county,3/4/2019,3/10/2019,1 weeks,37,-0.139534884,37,-0.139534884,14,0.75,14,0.75,0.378378378,0.192331867,169500,-0.193049274,107.1129707,0.103740213,19,11,32,0.391304348,0.036240091,0.011048415,33,-0.611764706,1600,-0.022602321,9,-0.571428571,7,-0.363636364,0.272727273,0.025668449,0.212121212,0.082709447,79,0.067567568,79,0.067567568,185000,0.031502648,103.6069682,0.118531162,829,0.065552699,883,-0.032858708,883,-0.032858708,68,6,8,0.333333333,0.009060023,0.002488281,194900,-0.039901478,103.8312648,0.024492879,,,,,,,0.97143393,-0.009634659,52,-2,0.891891892,-1.084852294,23.86486486,2.632306725,82,-0.5,0.038600724,0.009037742,3/10/2021 14:56
