Date,ISO,Country,Status,Note
16/02/2020,BGD,Bangladesh,Fully open,
16/02/2020,BRA,Brazil,Fully open,
16/02/2020,CHN,China,Partially open,
16/02/2020,IDN,Indonesia,Fully open,
16/02/2020,IND,India,Fully open,
16/02/2020,MEX,Mexico,Fully open,
16/02/2020,NGA,Nigeria,Fully open,
16/02/2020,PAK,Pakistan,Fully open,
16/02/2020,RUS,Russian Federation,Fully open,
16/02/2020,USA,United States of America,Fully open,
17/02/2020,BGD,Bangladesh,Fully open,
17/02/2020,BRA,Brazil,Fully open,
17/02/2020,CHN,China,Partially open,
17/02/2020,IDN,Indonesia,Fully open,
17/02/2020,IND,India,Fully open,
17/02/2020,MEX,Mexico,Fully open,
17/02/2020,NGA,Nigeria,Fully open,
17/02/2020,PAK,Pakistan,Fully open,
17/02/2020,RUS,Russian Federation,Fully open,
17/02/2020,USA,United States of America,Fully open,
18/02/2020,BGD,Bangladesh,Fully open,
18/02/2020,BRA,Brazil,Fully open,
18/02/2020,CHN,China,Partially open,
18/02/2020,IDN,Indonesia,Fully open,
18/02/2020,IND,India,Fully open,
18/02/2020,MEX,Mexico,Fully open,
18/02/2020,NGA,Nigeria,Fully open,
18/02/2020,PAK,Pakistan,Fully open,
18/02/2020,RUS,Russian Federation,Fully open,
18/02/2020,USA,United States of America,Fully open,
19/02/2020,BGD,Bangladesh,Fully open,
19/02/2020,BRA,Brazil,Fully open,
19/02/2020,CHN,China,Partially open,
19/02/2020,IDN,Indonesia,Fully open,
19/02/2020,IND,India,Fully open,
19/02/2020,MEX,Mexico,Fully open,
