region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,pending_sales,pending_sales_yoy,median_pending_sqft,median_pending_sqft_yoy,off_market_in_two_weeks,off_market_in_two_weeks_yoy,off_market_in_one_week,off_market_in_one_week_yoy,percent_off_market_in_two_weeks,percent_off_market_in_two_weeks_yoy,percent_off_market_in_one_week,percent_off_market_in_one_week_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,homes_delisted,homes_delisted_yoy,percent_active_listings_delisted,percent_active_listings_delisted_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,pending_sales_to_sales_ratio,pending_sales_to_sales_ratio_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,last_updated
"New York County, NY",county,1/7/2019,2/3/2019,4 weeks,612,-0.109170306,153,-0.105263158,8,1,2,1,0.013478558,0.007395601,1086875,-0.103608247,1281.275758,-0.094383385,0,0,75,1.5,0.008437835,0.004976703,14,0,952.5,-0.007295466,1,0,0,,0.078258547,0.019925214,0.062633547,0.028109737,1188,0.006779661,297,0.006779661,1332846.2,0.063140695,1455.281239,0.025091407,8600,-0.000697188,35575,0.013215232,8893,0.013216361,135,0.8,155,3.078947368,0.017424359,0.01304921,1478240.2,-0.05476697,1488.320121,-0.04938783,,,,,,,0.999528821,0.000333907,173.1,4.4,0.091389973,0.003815379,59.02618781,7.641490374,20,0.818181818,0.035116279,0.020940123,3/10/2021 14:56
"New York County, NY",county,1/14/2019,2/10/2019,4 weeks,629,-0.075,157,-0.076470588,11,0.833333333,2,1,0.017875438,0.008935339,1198125,0.024038462,1291.51494,-0.081662822,0,0,42,0.135135135,0.004758028,0.000577973,11,-0.266666667,1154.1,0.438130841,1,0,0,,0.078258547,0.008370592,0.062633547,0.031260998,1192,-0.037156704,298,-0.035598706,1311596.2,-0.027182813,1433.588923,-0.005313072,8594,-0.007964908,35305,-0.002063429,8826,-0.002035278,136.7,0.2,105,1.333333333,0.011871883,0.006738252,1477125.2,-0.051690067,1490.446826,-0.045657303,750000,,750000,,1,,0.999248024,-0.000158861,174.3,7.1,0.07297285,-0.019656689,57.02411381,4.781174616,10,-0.285714286,0.019548522,0.002464371,3/10/2021 14:56
"New York County, NY",county,1/21/2019,2/17/2019,4 weeks,607,-0.139007092,151,-0.142045455,11,0.375,2,0,0.018108539,0.006848705,1207500,0.015772871,1298.71396,-0.07075142,0,0,40,-0.245283019,0.004626883,-0.001346872,9,-0.357142857,1263.5,0.611196123,1,0,1,,0.13034188,0.077120592,0.13034188,0.115635998,1129,-0.096076861,282,-0.096153846,1300971.2,-0.004656718,1361.868143,-0.035255916,8577,-0.014704193,35219,-0.011451989,8804,-0.011452953,137.7,-0.5,104,0.890909091,0.011803583,0.005596421,1479135.2,-0.046013915,1490.985,-0.042026653,750000,,750000,,1,,0.998716051,3.49E-05,181.2,7.2,0.059219936,-0.024564511,58.92924202,8.278516661,11,-0.388888889,0.019004314,-0.005464382,3/10/2021 14:56
"New York County, NY",county,1/28/2019,2/24/2019,4 weeks,607,-0.08030303,151,-0.084848485,11,0.1,2,0,0.018108539,0.002026516,1233125,-0.036056283,1321.120347,-0.069318968,0,0,40,0.176470588,0.004585234,0.000712897,11,-0.153846154,1185.2,0.590232121,0,,0,,0.102564103,0.073152338,0.102564103,0.08785822,1113,-0.138544892,278,-0.139318885,1292221.2,-0.071718717,1379.576477,-0.039923533,8545,-0.026765376,35112,-0.020613093,8778,-0.020531131,139.2,-0.8,101,1.404761905,0.011453758,0.006719446,1481818,-0.043988387,1492.086452,-0.039724746,750000,,750000,,1,,0.998838695,0.000758675,194.1,21.6,0.077077079,-0.008397085,58.71694043,2.425201764,13,0.181818182,0.018841428,0.003009993,3/10/2021 14:56
"New York County, NY",county,2/4/2019,3/3/2019,4 weeks,628,-0.066864785,157,-0.06547619,11,0,2,0,0.017644348,0.000393848,1295625,0.00885731,1373.061794,-0.01419497,0,0,40,-0.069767442,0.004590183,-0.000247728,11,-0.214285714,1188,0.363166954,0,,0,,0.1,0.070588235,0.1,0.085294118,1217,-0.100517369,304,-0.100591716,1245000,-0.144069765,1344.535221,-0.103567113,8565,-0.03318659,35074,-0.030837248,8768,-0.030838952,140.5,-0.5,68,0.36,0.007779551,0.002168549,1480202.7,-0.045030516,1489.528063,-0.041012356,750000,,750000,,1,,0.997925326,-0.000186614,208.8,38.3,0.077629687,-0.010823079,57.29251514,1.352231332,14,-0.066666667,0.018797431,-0.000956491,3/10/2021 14:56
"New York County, NY",county,2/11/2019,3/10/2019,4 weeks,607,-0.09538003,151,-0.095808383,8,-0.333333333,2,-0.333333333,0.013295038,-0.005433579,1283125,-0.019954172,1348.657483,-0.032712752,0,0,45,0.216216216,0.005169154,0.001067117,15,0.071428571,930.6,0.076211403,1,,1,,0.147619048,0.108145363,0.135714286,0.096240602,1256,-0.067557535,314,-0.06547619,1325000,-0.063969259,1390.999478,-0.069401845,8587,-0.041629464,35182,-0.036901177,8795,-0.036903198,141.5,0.5,68,0.658536585,0.007806388,0.003248928,1476567.7,-0.045836704,1485.885063,-0.043265118,1200000,,1170000,,0.975,,0.99833579,0.00106027,205,19.3,0.102147852,0.010524153,59.44056222,2.861219778,16,0.230769231,0.021194829,0.004565365,3/10/2021 14:56
"New York County, NY",county,2/18/2019,3/17/2019,4 weeks,616,-0.034482759,154,-0.031446541,11,0,2,0,0.018125734,-0.000145589,1308750,-0.028142181,1375.63522,-0.038191775,0,0,46,1.421052632,0.005289338,0.00322592,18,0.2,852.5,-0.094241394,1,0,1,0,0.092063492,-0.0051025,0.066269841,-0.011665381,1341,-0.017582418,335,-0.017595308,1334375,-0.064779004,1410.607795,-0.063954862,8621,-0.050864252,35348,-0.043381776,8837,-0.043304103,142.2,0.7,70,1.1875,0.007971014,0.004460425,1474557.7,-0.043271565,1482.575575,-0.045282854,1200000,,1170000,,0.975,,0.997980261,0.000695686,202.1,17.6,0.121263605,0.022873816,58.80969637,-1.251326297,16,0.6,0.021691219,0.01332394,3/10/2021 14:56
"New York County, NY",county,2/25/2019,3/24/2019,4 weeks,657,-0.025222552,164,-0.023809524,8,-0.2,2,0,0.012173353,-0.002988791,1320625,0.031317214,1438.434146,0.009881582,0,0,47,1.611111111,0.005312979,0.003289988,17,0.307692308,998.2,0.028436019,2,1,1,0,0.127777778,0.007884513,0.084126984,-0.016535511,1448,0.053857351,362,0.055393586,1358125,-0.023758159,1407.368934,-0.045602953,8676,-0.058900098,35582,-0.049727593,8895,-0.049781006,141,-0.2,77,2.08,0.008657506,0.005965927,1473750,-0.03990228,1480.123199,-0.045778644,1192500,,1157500,,0.970622363,,0.998100162,0.000341709,214.1,16.6,0.106507403,0.024158776,54.90401963,-1.47169047,16,0.777777778,0.021784232,0.01364886,3/10/2021 14:56
"New York County, NY",county,3/4/2019,3/31/2019,4 weeks,628,-0.064083458,157,-0.05988024,11,0.1,2,0,0.017363344,0.002162742,1317198.8,0.051190183,1430.520477,-0.00652937,0,0,48,0.333333333,0.005455534,0.001682322,17,-0.055555556,1033,0.109559613,2,1,1,0,0.155228758,0.035335494,0.096872082,-0.003790413,1401,0.108386076,350,0.107594937,1323750,-0.030167772,1406.835475,-0.035752562,8736,-0.061149919,35765,-0.056382249,8941,-0.056358839,139.5,-1.7,72,0.6,0.008143128,0.003369704,1468750,-0.039247751,1477.493552,-0.046506894,1192500,,1157500,,0.970622363,,0.998646495,0.000962386,216.3,14.2,0.112879043,0.008615998,57.16245336,0.025808489,16,-0.2,0.022321429,0.006738409,3/10/2021 14:56
"New York County, NY",county,3/11/2019,4/7/2019,4 weeks,652,0.004622496,163,0.00617284,13,0.444444444,3,0.5,0.02010611,0.00592951,1313298.8,-0.00171479,1476.462016,-0.000406879,0,0,48,-0.261538462,0.005345319,-0.001422976,25,0.136363636,1099.7,0.090431334,2,1,1,,0.11686897,0.029504945,0.070417056,0.009228245,1623,0.173535792,405,0.173913043,1387500,0.015089163,1432.171607,-0.002300032,8839,-0.056871532,36224,-0.055362871,9056,-0.055288963,134.5,-4.7,72,-0.04,0.007941736,0.000185542,1468750,-0.03322704,1477.127931,-0.044179763,1185000,,1145000,,0.966244726,,0.998015801,0.000577842,226.5,22.9,0.15700408,0.020595033,55.62354168,-4.204744663,16,-0.515151515,0.021948184,-0.006007428,3/10/2021 14:56
