date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,3.56,3.29,164,0.48,0.0,0.45,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-01-22,9.71,3.52,90,0.95,0.02,0.52,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-01-23,14.5,2.47,91,0.85,0.32,0.86,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-01-24,9.36,2.99,180,0.08,0.0,0.68,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-01-25,8.01,1.77,131,0.72,0.0,0.67,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-01-26,10.94,0.51,50,0.95,0.07,0.78,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-01-27,10.36,2.01,183,0.15,0.0,0.64,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-01-28,7.46,2.04,55,0.49,0.41,0.77,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-01-29,10.21,3.41,176,0.42,0.01,0.74,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-01-30,9.38,3.14,21,1.0,0.53,0.83,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-01-31,8.49,2.08,72,0.98,0.01,0.85,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-01,9.31,3.2,190,0.04,0.0,0.65,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-02,12.09,2.52,190,0.11,0.0,0.64,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-03,15.23,3.21,104,0.84,0.0,0.76,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-04,18.12,4.03,64,1.0,0.16,0.84,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-05,21.32,6.91,19,1.0,1.83,0.91,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-06,11.05,5.7,196,0.51,0.34,0.63,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-07,7.82,2.13,156,0.19,0.0,0.64,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-08,12.08,2.7,199,0.37,0.0,0.69,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-09,15.01,3.41,148,0.77,0.0,0.74,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-10,20.18,4.1,98,0.95,0.03,0.85,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-11,21.63,3.17,131,0.89,0.06,0.86,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-12,20.98,4.2,52,0.89,0.49,0.87,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-13,12.34,3.95,209,0.55,0.0,0.54,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-14,9.42,2.77,217,0.0,0.0,0.48,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
2020-02-15,10.58,1.94,20,0.68,0.68,0.84,Baker,Georgia,13007,GA,3132,31.3262,-84.4447
