date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,2.72,2.92,158,0.39,0.0,0.46,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-01-22,6.62,2.95,105,0.94,0.06,0.53,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-01-23,10.43,1.96,40,0.98,0.51,0.88,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-01-24,8.09,3.53,162,0.13,0.0,0.74,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-01-25,7.05,2.91,148,0.8,0.0,0.6,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-01-26,10.16,2.18,43,0.94,0.02,0.68,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-01-27,8.99,2.34,175,0.03,0.0,0.64,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-01-28,6.99,0.92,85,0.59,0.01,0.69,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-01-29,9.08,1.96,159,0.36,0.01,0.72,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-01-30,6.63,2.88,21,0.92,0.41,0.79,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-01-31,7.18,1.63,87,0.98,0.0,0.84,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-01,9.66,3.94,181,0.0,0.0,0.59,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-02,12.7,2.65,177,0.23,0.0,0.55,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-03,15.66,3.25,94,0.86,0.01,0.72,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-04,17.85,3.39,76,1.0,0.31,0.82,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-05,19.7,5.3,15,1.0,2.98,0.92,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-06,10.58,5.34,123,0.74,0.57,0.67,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-07,3.71,0.55,82,0.39,0.07,0.76,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-08,5.97,1.61,177,0.69,0.0,0.79,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-09,10.35,1.99,128,0.94,0.01,0.76,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-10,19.0,3.84,65,0.96,0.19,0.85,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-11,18.84,1.26,97,0.94,0.58,0.85,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-12,19.49,3.96,52,0.95,0.61,0.83,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-13,10.7,3.51,207,0.48,0.0,0.5,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-14,7.77,1.7,208,0.11,0.0,0.49,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-15,7.22,1.87,26,0.78,0.55,0.79,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-16,9.76,1.42,66,1.0,0.03,0.89,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-17,13.86,1.72,21,1.0,0.96,0.92,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-18,15.54,1.0,40,1.0,1.27,0.93,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-19,7.73,3.74,16,1.0,0.91,0.85,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-20,5.79,3.9,213,0.53,0.11,0.66,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-21,4.49,1.25,226,0.06,0.0,0.55,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-22,7.08,1.01,180,0.79,0.0,0.54,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-23,10.48,0.68,29,1.0,0.2,0.74,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-24,14.86,2.08,65,1.0,1.38,0.88,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-25,13.9,2.04,100,1.0,0.0,0.79,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-26,7.33,4.91,235,0.24,0.0,0.49,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-27,6.23,3.11,217,0.13,0.0,0.49,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-28,8.76,3.83,232,0.14,0.01,0.46,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-02-29,8.44,0.77,208,0.4,0.0,0.45,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-03-01,12.37,2.47,133,0.91,0.18,0.6,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-03-02,16.96,4.25,64,0.99,0.54,0.91,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-03-03,15.83,0.83,39,0.98,0.88,0.89,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
2020-03-04,11.83,2.67,38,1.0,1.31,0.91,Baldwin,Georgia,13009,GA,45111,33.0692,-83.2496
