date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-0.1,1.52,85,0.79,0.0,0.63,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-01-22,4.44,3.07,27,1.0,0.31,0.64,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-01-23,6.18,2.84,64,0.96,0.35,0.9,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-01-24,3.42,3.16,70,0.85,0.03,0.75,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-01-25,5.07,2.15,71,0.61,0.0,0.78,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-01-26,9.33,1.96,136,0.69,0.1,0.8,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-01-27,4.64,1.83,111,0.53,0.0,0.79,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-01-28,4.97,2.5,49,0.98,0.1,0.81,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-01-29,5.15,1.75,36,1.0,0.03,0.88,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-01-30,6.3,1.45,26,1.0,0.29,0.88,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-01-31,7.09,1.97,88,0.91,0.02,0.79,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-01,9.01,3.75,166,0.12,0.0,0.55,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-02,14.02,4.48,131,0.65,0.0,0.5,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-03,15.77,4.89,17,0.97,0.85,0.79,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-04,9.28,2.37,21,1.0,1.11,0.96,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-05,3.47,2.55,33,1.0,0.77,0.93,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-06,1.27,3.31,113,0.92,0.11,0.76,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-07,4.12,2.03,174,0.24,0.0,0.65,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-08,7.34,2.95,147,0.52,0.0,0.65,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-09,12.63,2.94,16,0.99,1.54,0.88,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-10,5.31,3.22,44,1.0,0.43,0.88,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-11,5.64,1.71,20,1.0,0.65,0.83,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-12,4.98,3.12,84,0.99,0.52,0.85,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-13,-1.89,2.81,196,0.18,0.0,0.63,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-14,1.58,1.98,171,0.47,0.0,0.56,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-15,8.87,2.64,96,0.98,0.0,0.57,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-16,9.52,2.48,179,0.59,0.0,0.72,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-17,11.71,0.44,23,0.95,0.41,0.89,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-18,5.52,3.73,195,0.71,0.03,0.69,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-19,5.18,4.19,95,0.89,0.07,0.61,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-20,0.17,3.32,212,0.0,0.0,0.58,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-21,2.81,0.76,204,0.32,0.0,0.54,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-22,6.51,2.6,54,1.0,0.04,0.59,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-23,8.34,3.67,32,1.0,0.67,0.89,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-24,10.16,2.91,61,0.81,0.19,0.86,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-25,5.5,3.45,108,0.91,0.05,0.79,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-26,2.69,2.98,216,0.27,0.0,0.6,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
2020-02-27,5.69,2.69,146,0.86,0.06,0.59,Benton,Tennessee,47005,TN,16140,36.0698,-88.0683
