date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-8.46,1.63,116,0.15,0.0,0.68,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-01-22,-5.33,0.59,106,0.72,0.0,0.62,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-01-23,-1.11,0.95,112,0.85,0.0,0.54,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-01-24,0.86,4.75,25,0.96,0.42,0.83,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-01-25,2.51,2.12,87,0.76,0.34,0.81,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-01-26,1.55,3.17,82,0.85,0.04,0.73,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-01-27,0.16,3.87,71,0.73,0.01,0.71,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-01-28,-1.98,3.73,132,0.45,0.01,0.56,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-01-29,-5.73,1.56,132,0.27,0.0,0.41,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-01-30,-3.36,1.25,115,0.79,0.0,0.59,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-01-31,0.67,0.57,34,0.95,0.05,0.85,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-02-01,0.47,2.23,81,0.92,0.03,0.71,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-02-02,1.53,2.16,93,0.64,0.01,0.74,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
2020-02-03,2.64,0.16,76,0.8,0.0,0.72,Berkshire,Massachusetts,25003,MA,126425,42.3707,-73.2064
