date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-2.05,6.78,48,1.0,0.27,0.85,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-01-22,-0.08,1.73,61,1.0,0.13,0.94,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-01-23,-1.26,3.63,60,0.99,0.02,0.92,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-01-24,-2.7,4.34,94,0.9,0.0,0.87,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-01-25,-3.11,1.48,94,0.81,0.0,0.87,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-01-26,-2.92,1.8,58,0.97,0.01,0.9,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-01-27,-7.64,2.26,78,0.98,0.01,0.89,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-01-28,-7.77,0.67,92,0.96,0.01,0.85,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-01-29,-5.71,2.64,59,1.0,0.01,0.87,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-01-30,-1.32,3.67,56,0.99,0.12,0.91,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-01-31,-0.46,3.15,100,0.86,0.0,0.87,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-01,4.03,5.99,112,0.7,0.0,0.75,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-02,-0.75,4.49,70,0.7,0.0,0.78,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-03,-7.87,4.83,113,0.82,0.0,0.67,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-04,-8.42,1.75,123,0.85,0.0,0.71,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-05,-7.12,3.51,136,0.18,0.0,0.71,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-06,-4.56,0.13,82,0.98,0.11,0.82,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-07,-14.48,2.51,146,0.44,0.0,0.73,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-08,-6.84,2.35,96,0.89,0.58,0.82,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-09,-11.93,2.97,142,0.36,0.0,0.87,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-10,-6.27,4.26,152,0.3,0.0,0.82,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-11,-3.32,4.15,95,0.43,0.04,0.8,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-12,-21.52,6.38,162,0.6,0.0,0.71,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-13,-21.76,4.76,164,0.1,0.0,0.76,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-14,-5.09,5.13,149,0.57,0.0,0.78,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-15,-6.93,1.57,160,0.56,0.0,0.83,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-16,-2.23,3.19,110,0.86,0.08,0.83,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-17,-6.81,6.51,128,0.76,0.09,0.83,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-18,-16.13,3.37,170,0.34,0.0,0.75,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-19,-20.66,1.98,179,0.17,0.0,0.77,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-20,-6.96,5.85,180,0.0,0.0,0.79,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-21,-2.51,3.77,166,0.27,0.0,0.85,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-22,-0.16,3.57,179,0.01,0.0,0.79,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-23,-3.48,2.33,175,0.83,0.0,0.87,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-24,-1.3,4.33,166,0.97,0.0,0.76,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-25,-5.08,4.68,159,0.67,0.01,0.8,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-26,-7.68,2.79,168,0.71,0.0,0.82,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-27,-6.14,1.69,177,0.79,0.02,0.78,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-28,-4.41,3.51,185,0.23,0.0,0.82,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-02-29,3.77,2.75,186,0.8,0.0,0.72,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-01,1.03,3.56,177,0.76,0.0,0.7,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-02,2.78,4.36,151,0.69,0.02,0.67,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-03,1.85,1.68,184,0.23,0.0,0.68,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-04,4.24,5.42,73,0.89,0.06,0.65,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-05,0.66,2.39,198,0.42,0.0,0.63,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-06,5.84,6.88,193,0.25,0.0,0.47,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-07,11.49,7.56,196,0.46,0.0,0.46,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-08,3.61,3.8,50,0.93,0.02,0.74,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-09,-0.75,1.83,140,0.53,0.06,0.7,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-10,2.41,1.43,167,0.79,0.07,0.81,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-11,6.66,1.71,126,0.78,0.09,0.75,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-12,1.32,5.98,216,0.36,0.0,0.56,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-13,-1.51,2.8,156,0.87,0.03,0.59,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-14,-1.5,1.87,193,0.46,0.0,0.67,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-15,1.94,2.73,62,0.99,0.01,0.75,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-16,1.21,2.62,226,0.17,0.0,0.63,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-17,5.48,2.93,58,1.0,0.06,0.76,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-18,4.92,2.22,14,1.0,0.62,0.92,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-19,-1.85,7.17,220,0.68,0.12,0.64,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-20,-2.57,1.91,182,0.54,0.0,0.64,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
2020-03-21,2.17,6.38,199,0.63,0.0,0.66,Blue Earth,Minnesota,27013,MN,66795,44.0346,-94.06700000000001
