date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-1.4,1.86,146,0.05,0.0,0.47,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-01-22,-0.03,0.44,90,0.82,0.0,0.54,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-01-23,5.48,1.97,59,0.87,0.03,0.69,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-01-24,11.02,0.9,114,0.69,0.94,0.76,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-01-25,5.68,3.26,139,0.17,0.0,0.56,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-01-26,5.09,2.99,91,0.46,0.0,0.61,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-01-27,5.79,2.28,145,0.24,0.0,0.57,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-01-28,2.83,0.88,89,0.56,0.0,0.66,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-01-29,1.81,1.5,104,0.77,0.0,0.64,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-01-30,1.87,0.45,74,0.68,0.11,0.71,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-01-31,2.96,0.86,82,0.94,0.04,0.87,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-01,7.59,3.95,154,0.12,0.0,0.58,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-02,14.29,3.9,128,0.58,0.0,0.39,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-03,17.18,3.97,101,0.81,0.0,0.5,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-04,12.56,0.82,23,0.98,0.26,0.8,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-05,7.79,0.41,11,1.0,1.6,0.94,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-06,10.54,4.73,163,0.6,0.88,0.68,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-07,2.78,3.06,142,0.24,0.0,0.5,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-08,4.1,2.22,173,0.11,0.0,0.59,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-09,7.8,4.35,68,0.88,0.32,0.64,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-10,13.44,3.1,31,1.0,0.54,0.91,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-11,11.13,0.61,98,0.97,0.04,0.62,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-12,10.63,2.34,41,0.98,0.31,0.81,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-13,6.4,3.24,185,0.48,0.0,0.49,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-14,-1.25,0.92,188,0.33,0.0,0.46,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-15,3.32,2.71,112,0.96,0.0,0.56,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-16,7.33,0.84,179,0.49,0.0,0.57,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-17,8.41,2.1,131,0.71,0.02,0.65,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-18,10.71,1.44,133,0.87,0.13,0.56,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-19,2.99,1.4,60,0.87,0.04,0.54,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-20,0.53,2.98,206,0.24,0.01,0.49,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-21,2.3,1.73,206,0.05,0.0,0.39,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-22,5.88,2.2,207,0.12,0.0,0.33,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-23,8.42,2.99,95,0.82,0.0,0.48,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-24,10.49,2.4,73,1.0,0.35,0.83,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-25,11.94,0.65,95,0.99,0.01,0.84,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
2020-02-26,6.47,4.82,214,0.31,0.14,0.5,Buckingham,Virginia,51029,VA,17059,37.5722,-78.5288
