date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-6.86,2.08,85,0.36,0.0,0.86,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-01-22,-7.26,3.84,54,1.0,0.01,0.9,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-01-23,-7.21,0.21,57,0.95,0.01,0.92,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-01-24,-8.23,4.16,65,0.87,0.0,0.9,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-01-25,-7.27,1.96,48,0.92,0.02,0.93,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-01-26,-10.59,2.0,67,0.97,0.01,0.91,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-01-27,-13.19,2.05,64,0.98,0.02,0.88,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-01-28,-9.93,2.73,60,0.99,0.07,0.88,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-01-29,-6.23,2.12,58,0.97,0.02,0.93,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-01-30,-5.09,4.36,81,0.87,0.01,0.91,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-01-31,-3.24,5.8,71,0.78,0.01,0.76,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-02-01,0.81,8.3,91,0.56,0.0,0.78,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-02-02,-11.53,6.13,111,0.21,0.0,0.73,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-02-03,-16.69,3.54,113,0.13,0.0,0.77,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-02-04,-11.29,6.53,114,0.24,0.0,0.8,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-02-05,-13.96,5.27,86,0.94,0.05,0.84,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-02-06,-23.29,3.29,121,0.2,0.0,0.69,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-02-07,-12.7,2.65,94,0.88,0.01,0.78,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-02-08,-9.5,2.78,118,0.44,0.0,0.84,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-02-09,-7.71,5.13,92,0.9,0.01,0.82,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
2020-02-10,-8.79,6.1,115,0.64,0.0,0.82,Cavalier,North Dakota,38019,ND,3803,48.7723,-98.4648
