date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-4.7,2.52,112,0.48,0.0,0.73,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-01-22,-2.68,2.81,82,1.0,0.0,0.67,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-01-23,1.19,3.21,105,0.89,0.0,0.64,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-01-24,2.67,3.66,11,0.98,0.81,0.65,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-01-25,1.51,2.98,52,0.92,0.11,0.88,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-01-26,1.37,3.17,61,0.95,0.21,0.87,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-01-27,-0.4,3.46,43,0.95,0.1,0.83,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-01-28,-2.86,2.62,111,0.76,0.03,0.74,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-01-29,-7.97,1.0,105,0.68,0.0,0.75,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-01-30,-1.73,1.91,65,0.83,0.0,0.65,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-01-31,-0.53,0.63,58,0.99,0.04,0.84,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-01,-0.55,1.4,58,0.94,0.11,0.86,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-02,3.04,2.45,102,0.84,0.07,0.81,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-03,1.49,0.26,42,0.88,0.01,0.81,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-04,-0.79,2.99,87,0.96,0.01,0.66,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-05,-1.38,1.71,11,1.0,0.6,0.81,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-06,-2.69,3.39,29,1.0,1.17,0.91,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-07,-7.84,2.77,97,0.77,0.08,0.78,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-08,-8.31,1.98,120,0.51,0.01,0.8,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-09,2.22,3.0,34,1.0,0.18,0.81,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-10,0.95,0.31,62,0.96,0.03,0.86,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-11,0.24,2.63,126,0.75,0.02,0.7,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-12,0.62,0.49,51,0.99,0.46,0.84,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-13,-10.27,3.2,152,0.92,0.09,0.75,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-14,-12.04,3.28,160,0.41,0.0,0.67,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-15,-0.35,3.85,90,0.95,0.01,0.62,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-16,-1.72,1.03,77,0.68,0.01,0.74,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-17,-0.05,4.71,31,0.99,0.27,0.75,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-18,-0.01,4.11,108,0.72,0.08,0.66,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-19,-6.6,2.26,137,0.66,0.07,0.72,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-20,-7.82,2.52,169,0.4,0.01,0.68,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-21,-2.83,3.19,178,0.07,0.0,0.61,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-22,0.64,2.98,169,0.29,0.0,0.59,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-23,4.56,2.95,172,0.36,0.0,0.55,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-24,4.23,1.36,84,0.98,0.06,0.75,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
2020-02-25,2.73,0.85,28,0.98,0.1,0.89,Cayuga,New York,36011,NY,77425,42.9175,-76.5545
