date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,5.2,2.8,122,0.68,0.01,0.58,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-01-22,3.29,7.19,137,0.13,0.01,0.47,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-01-23,0.86,2.2,126,0.26,0.0,0.43,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-01-24,3.54,1.3,129,0.57,0.0,0.52,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-01-25,5.3,3.19,138,0.19,0.0,0.48,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-01-26,1.32,0.31,101,0.49,0.0,0.62,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-01-27,2.61,3.4,113,0.76,0.21,0.74,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-01-28,0.44,1.99,109,0.54,0.0,0.62,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-01-29,1.56,2.59,135,0.63,0.0,0.69,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-01-30,2.52,6.36,146,0.36,0.0,0.48,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-01-31,6.95,4.47,149,0.62,0.0,0.36,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-01,15.41,4.61,154,0.11,0.0,0.15,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-02,2.77,4.41,85,0.57,0.01,0.43,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-03,-5.89,5.79,105,0.93,0.1,0.63,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-04,-6.59,0.81,158,0.53,0.01,0.63,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-05,-2.88,4.01,141,0.32,0.0,0.46,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-06,0.93,5.49,133,0.78,0.0,0.56,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-07,2.19,3.07,159,0.39,0.0,0.53,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-08,2.2,4.34,120,0.4,0.0,0.59,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-09,-0.47,0.74,141,0.86,0.0,0.52,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-10,0.01,1.38,166,0.72,0.0,0.46,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-11,1.23,2.34,138,0.28,0.02,0.56,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-12,-6.49,0.78,122,0.92,0.08,0.65,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-13,-2.08,5.89,176,0.07,0.0,0.55,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-14,2.81,0.98,168,0.49,0.0,0.49,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-15,4.83,2.75,154,0.67,0.0,0.45,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-16,6.49,3.08,153,0.68,0.01,0.53,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
2020-02-17,1.16,1.35,160,0.84,0.03,0.59,Cheyenne,Kansas,20023,KS,2665,39.7859,-101.7313
