date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,1.96,2.77,18,1.0,0.41,0.72,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-01-22,5.67,1.32,26,1.0,1.01,0.96,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-01-23,6.81,3.12,162,0.24,0.0,0.77,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-01-24,7.04,0.2,156,0.37,0.0,0.66,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-01-25,10.32,2.54,56,0.94,0.26,0.82,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-01-26,11.82,0.81,134,0.8,0.0,0.85,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-01-27,8.83,2.4,56,0.65,0.22,0.92,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-01-28,9.29,1.39,37,0.91,0.29,0.94,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-01-29,7.76,1.87,61,0.99,0.02,0.84,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-01-30,7.7,1.42,80,0.93,0.1,0.84,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-01-31,8.7,2.54,180,0.23,0.0,0.61,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-01,12.44,3.28,182,0.14,0.0,0.47,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-02,15.97,4.77,73,0.79,0.0,0.62,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-03,18.32,4.55,40,0.99,0.58,0.89,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-04,11.7,2.88,21,1.0,0.83,0.98,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-05,4.59,3.41,58,0.97,0.06,0.86,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-06,3.36,1.66,149,0.27,0.01,0.65,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-07,9.43,1.41,190,0.25,0.0,0.51,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-08,13.86,3.96,89,0.64,0.06,0.63,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-09,18.09,2.88,26,1.0,1.58,0.93,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-10,10.69,2.89,23,1.0,1.33,0.96,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-11,7.23,1.81,22,1.0,1.62,0.97,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-12,8.15,3.01,161,0.83,0.0,0.76,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-13,4.62,2.74,206,0.11,0.0,0.57,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-14,5.92,2.32,117,0.44,0.0,0.56,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-15,13.74,2.11,138,0.85,0.02,0.73,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-16,15.26,3.18,60,0.78,0.01,0.88,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-17,18.88,2.16,56,1.0,0.36,0.94,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-18,7.16,3.92,49,1.0,0.75,0.86,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-19,5.93,4.63,83,0.99,1.66,0.86,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-20,4.29,3.44,225,0.07,0.0,0.53,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-21,4.57,1.29,206,0.35,0.0,0.53,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-22,9.41,2.54,66,0.9,0.02,0.68,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-23,15.33,4.67,140,0.97,0.2,0.82,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-24,12.4,2.49,211,0.07,0.0,0.68,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-25,9.47,4.19,180,0.6,0.03,0.62,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-26,4.8,2.32,230,0.15,0.0,0.48,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-27,9.25,2.76,232,0.0,0.0,0.43,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-28,12.75,2.86,219,0.47,0.0,0.39,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-02-29,15.94,4.99,107,0.84,0.07,0.63,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-03-01,18.85,4.54,94,0.99,0.09,0.83,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
2020-03-02,19.42,1.37,68,0.99,0.12,0.9,Claiborne,Louisiana,22027,LA,15985,32.8226,-92.9958
