date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,5.0,2.17,9,0.98,0.95,0.92,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-01-22,7.89,2.66,13,1.0,1.68,0.93,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-01-23,7.41,3.7,38,0.96,0.71,0.93,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-01-24,6.15,1.11,46,0.98,0.48,0.92,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-01-25,6.58,2.05,50,0.96,0.43,0.89,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-01-26,5.12,1.63,56,0.89,0.35,0.88,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-01-27,5.92,1.98,59,0.83,0.79,0.91,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-01-28,6.42,2.27,28,0.99,1.06,0.92,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-01-29,3.53,0.89,44,0.77,0.03,0.9,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-01-30,8.36,5.04,20,1.0,1.41,0.93,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-01-31,7.13,6.84,45,0.95,1.9,0.88,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-01,0.51,2.14,87,0.7,0.1,0.78,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-02,0.69,1.17,95,0.64,0.06,0.74,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-03,0.2,0.69,27,0.97,0.25,0.69,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-04,5.26,1.78,11,1.0,1.37,0.94,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-05,6.48,2.14,7,1.0,1.26,0.96,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-06,6.63,1.96,28,0.98,0.98,0.96,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-07,4.57,4.57,81,0.74,0.59,0.85,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-08,3.21,0.74,103,0.4,0.0,0.76,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-09,3.5,1.13,105,0.54,0.0,0.83,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-10,3.83,2.18,37,0.83,0.07,0.86,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-11,3.92,0.58,57,0.84,0.05,0.94,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-12,4.09,1.12,57,0.82,0.2,0.91,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-13,3.04,4.31,94,0.79,0.35,0.85,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-14,4.22,2.69,47,0.96,0.42,0.91,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-15,2.84,4.0,85,0.78,0.28,0.89,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-16,1.65,2.71,119,0.49,0.17,0.82,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-17,0.94,2.25,115,0.35,0.0,0.79,Clallam,Washington,53009,WA,75392,48.0493,-123.928
2020-02-18,2.17,3.69,140,0.12,0.0,0.7,Clallam,Washington,53009,WA,75392,48.0493,-123.928
