date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-2.96,1.52,99,0.69,0.0,0.61,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-01-22,3.21,2.55,63,1.0,0.04,0.53,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-01-23,6.29,2.38,33,0.96,0.7,0.89,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-01-24,2.81,3.58,37,1.0,0.09,0.87,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-01-25,2.44,3.04,143,0.45,0.0,0.71,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-01-26,2.43,1.5,99,0.65,0.0,0.82,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-01-27,1.37,1.33,79,0.94,0.0,0.77,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-01-28,1.94,1.52,74,0.99,0.0,0.74,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-01-29,2.5,1.45,126,0.69,0.01,0.7,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-01-30,3.06,1.5,45,1.0,0.19,0.79,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-01-31,4.6,0.85,67,0.95,0.03,0.82,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-01,7.26,4.52,153,0.21,0.0,0.59,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-02,12.28,3.7,121,0.73,0.0,0.55,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-03,14.66,3.84,27,0.97,0.36,0.74,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-04,3.22,3.76,24,1.0,0.19,0.82,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-05,1.29,1.98,23,1.0,0.25,0.91,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-06,-0.63,3.29,80,0.99,0.1,0.75,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-07,0.52,2.62,105,0.82,0.04,0.77,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-08,1.1,2.19,72,0.5,0.03,0.75,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-09,7.65,2.54,13,0.99,0.44,0.88,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-10,3.32,2.43,55,0.99,0.09,0.82,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-11,2.38,1.41,32,0.93,0.49,0.8,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-12,1.86,2.46,74,0.98,0.57,0.86,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-13,-6.65,2.8,188,0.35,0.0,0.57,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-14,-3.22,2.53,168,0.44,0.0,0.53,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-15,5.98,1.76,129,0.76,0.0,0.53,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-16,5.67,2.79,120,0.8,0.0,0.67,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-17,10.05,1.51,45,0.9,0.2,0.77,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-18,2.74,2.76,187,0.35,0.0,0.66,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-19,1.2,3.54,163,0.9,0.0,0.59,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-20,-2.72,2.01,200,0.1,0.0,0.51,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-21,0.57,2.52,204,0.01,0.0,0.47,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-22,5.04,3.24,162,0.38,0.0,0.46,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-23,7.0,2.76,25,0.99,0.61,0.75,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-24,8.23,0.69,22,1.0,0.53,0.93,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-25,4.85,2.66,73,0.98,0.15,0.91,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-26,0.09,4.42,138,0.87,0.02,0.59,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-27,1.73,3.13,168,0.66,0.06,0.61,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-28,-0.42,2.61,219,0.36,0.04,0.56,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-02-29,4.58,3.13,191,0.61,0.0,0.5,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-01,12.2,4.48,36,0.95,0.24,0.69,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-02,12.47,2.82,147,0.7,0.62,0.73,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-03,9.61,2.52,195,0.41,0.0,0.49,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-04,8.43,0.48,197,0.56,0.0,0.47,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-05,6.01,5.32,126,0.68,0.02,0.54,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-06,2.83,1.41,229,0.17,0.0,0.56,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-07,7.74,3.02,226,0.24,0.0,0.43,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-08,13.48,4.95,131,0.67,0.0,0.42,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-09,13.17,3.39,54,0.98,0.5,0.79,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-10,8.94,1.14,157,0.9,0.01,0.77,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-11,11.15,1.7,75,0.63,0.3,0.81,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-12,12.3,3.11,196,0.94,0.56,0.62,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-13,6.06,2.52,29,1.0,0.34,0.63,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-14,4.31,3.48,196,0.8,0.0,0.73,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-15,6.73,0.95,140,0.95,0.0,0.7,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-16,8.6,1.27,179,0.9,0.08,0.74,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-17,9.25,2.47,50,0.92,0.59,0.84,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-18,16.02,2.21,29,1.0,0.64,0.93,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-19,18.92,4.24,111,0.99,0.73,0.82,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-20,3.73,3.51,198,0.78,0.0,0.67,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-21,3.07,2.73,123,0.84,0.04,0.68,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-22,8.47,0.9,201,0.76,0.1,0.77,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-23,8.46,2.46,159,0.77,0.17,0.75,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-24,9.41,1.52,260,0.24,0.14,0.74,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-25,14.02,3.03,204,0.63,0.03,0.67,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-26,18.72,0.98,158,0.91,0.3,0.76,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-27,21.72,3.81,125,0.98,0.05,0.75,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-28,18.88,5.96,259,0.55,0.38,0.6,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-29,13.66,4.33,270,0.32,0.0,0.41,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-30,9.24,2.46,89,0.96,0.02,0.57,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-03-31,7.66,2.97,130,0.91,0.02,0.68,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-04-01,9.98,1.31,268,0.45,0.0,0.6,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-04-02,13.44,1.13,271,0.44,0.0,0.52,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-04-03,15.67,0.29,231,0.57,0.0,0.58,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-04-04,12.96,2.35,150,0.65,0.05,0.74,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
2020-04-05,14.52,0.65,174,0.56,0.07,0.72,Clark,Indiana,18019,IN,116507,38.4772,-85.7073
