date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,1.81,5.54,34,1.0,0.55,0.85,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-01-22,2.65,2.45,53,0.99,0.1,0.91,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-01-23,-0.41,4.85,80,0.97,0.07,0.81,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-01-24,-0.87,0.32,119,0.49,0.0,0.83,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-01-25,2.4,1.33,136,0.38,0.0,0.81,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-01-26,1.8,1.67,113,0.34,0.0,0.81,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-01-27,0.3,2.62,42,1.0,0.03,0.82,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-01-28,0.45,0.69,104,0.96,0.06,0.85,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-01-29,1.38,3.07,93,0.89,0.0,0.83,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-01-30,2.3,2.28,113,0.45,0.0,0.76,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-01-31,2.37,1.85,145,0.46,0.0,0.71,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-02-01,8.97,2.98,152,0.21,0.0,0.56,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-02-02,3.87,3.16,73,0.8,0.0,0.8,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-02-03,-1.2,5.7,66,0.88,0.02,0.59,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-02-04,-2.96,4.13,102,0.93,0.02,0.58,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-02-05,-2.6,1.15,162,0.06,0.0,0.69,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-02-06,0.71,2.31,122,0.73,0.03,0.66,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
2020-02-07,-0.74,1.27,162,0.07,0.0,0.67,Clay,Kansas,20027,KS,8082,39.3497,-97.1652
