date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-0.86,2.43,41,1.0,0.07,0.73,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-01-22,2.26,2.08,17,1.0,0.54,0.94,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-01-23,3.3,3.29,78,0.95,0.05,0.87,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-01-24,3.24,1.98,144,0.6,0.0,0.74,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-01-25,7.75,2.32,95,0.59,0.01,0.8,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-01-26,7.83,1.02,157,0.26,0.04,0.81,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-01-27,5.4,0.69,73,0.52,0.08,0.85,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-01-28,3.29,3.16,33,1.0,0.26,0.95,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-01-29,3.08,2.08,44,0.98,0.01,0.87,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-01-30,4.65,0.28,87,0.88,0.03,0.85,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-01-31,6.66,2.0,167,0.37,0.0,0.68,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-01,10.71,3.64,170,0.01,0.0,0.5,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-02,15.01,4.56,126,0.87,0.01,0.56,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-03,14.74,3.03,19,1.0,1.14,0.93,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-04,4.26,3.93,19,1.0,0.5,0.93,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-05,1.13,3.18,63,0.97,0.04,0.84,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-06,0.79,1.56,164,0.61,0.0,0.73,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-07,4.21,1.39,175,0.19,0.0,0.67,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-08,10.12,4.07,106,0.66,0.03,0.61,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-09,10.79,0.32,41,1.0,1.76,0.94,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-10,5.32,3.67,70,1.0,0.1,0.81,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-11,3.85,2.2,15,1.0,1.54,0.85,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-12,3.75,3.67,162,0.74,0.0,0.8,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-13,-1.88,2.29,198,0.05,0.0,0.49,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
2020-02-14,1.5,2.53,160,0.53,0.0,0.59,Cleburne,Arkansas,5023,AR,25100,35.5381,-92.0267
