date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-2.16,1.82,97,0.83,0.0,0.67,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-01-22,2.89,2.95,33,1.0,0.16,0.65,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-01-23,4.91,2.56,36,1.0,0.41,0.93,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-01-24,2.52,3.42,53,0.96,0.04,0.83,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-01-25,2.87,1.64,81,0.74,0.02,0.84,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-01-26,5.58,1.39,145,0.46,0.01,0.79,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-01-27,0.58,1.91,62,0.82,0.0,0.84,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-01-28,1.81,2.38,71,0.99,0.1,0.85,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-01-29,2.88,1.79,66,0.97,0.05,0.86,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-01-30,4.75,1.52,59,1.0,0.19,0.83,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-01-31,6.08,1.49,89,0.84,0.01,0.77,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-01,8.39,3.98,160,0.13,0.0,0.57,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-02,13.84,4.69,142,0.81,0.0,0.52,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-03,14.67,2.62,13,0.99,1.34,0.82,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-04,4.01,3.27,17,1.0,0.34,0.92,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-05,1.24,2.79,38,1.0,0.12,0.88,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-06,0.13,3.17,102,0.96,0.06,0.71,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-07,1.82,2.12,139,0.48,0.0,0.68,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-08,4.64,3.05,104,0.54,0.02,0.67,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-09,9.25,1.46,26,0.99,1.16,0.9,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-10,3.73,3.08,56,1.0,0.13,0.8,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-11,3.4,2.0,20,1.0,0.99,0.82,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-12,2.08,3.16,120,0.92,0.15,0.85,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-13,-6.91,2.56,194,0.17,0.0,0.57,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-14,-1.22,2.42,172,0.53,0.0,0.55,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-15,7.47,1.56,152,0.78,0.0,0.57,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-16,8.13,2.52,126,0.74,0.0,0.69,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-17,9.79,1.32,42,0.96,0.25,0.82,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-18,3.12,3.38,191,0.57,0.0,0.65,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-19,2.93,4.17,178,0.75,0.01,0.6,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-20,-1.81,2.59,207,0.0,0.0,0.47,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-21,1.07,2.34,206,0.17,0.0,0.49,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-22,6.23,3.58,134,0.97,0.0,0.51,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-23,7.93,3.58,24,1.0,0.75,0.86,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-24,9.21,1.64,35,1.0,0.38,0.91,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-25,3.66,3.91,109,0.94,0.1,0.81,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-26,1.84,3.2,192,0.53,0.0,0.56,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-27,4.77,2.81,175,0.6,0.04,0.57,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-28,2.63,1.24,222,0.13,0.01,0.58,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-02-29,8.25,3.87,163,0.63,0.0,0.53,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-01,13.41,3.72,74,0.98,0.32,0.74,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-02,13.82,2.68,201,0.65,0.56,0.65,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-03,10.91,1.75,180,0.56,0.0,0.49,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-04,9.83,1.0,214,0.71,0.0,0.48,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-05,8.63,5.22,210,0.45,0.0,0.42,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-06,4.61,1.33,235,0.0,0.0,0.48,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-07,9.63,3.38,233,0.41,0.0,0.4,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-08,14.45,5.03,80,0.88,0.05,0.49,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-09,12.66,2.5,124,0.96,0.39,0.81,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-10,8.45,0.62,94,0.96,0.09,0.84,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-11,11.91,2.01,71,0.86,0.59,0.91,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-12,11.92,2.99,147,0.98,0.59,0.64,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-13,7.17,2.99,25,1.0,0.48,0.61,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-14,4.9,3.48,147,0.97,0.0,0.78,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-15,5.6,0.87,84,0.87,0.07,0.78,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-16,8.99,1.66,162,0.93,0.08,0.79,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-17,10.96,1.93,30,0.9,0.66,0.87,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-18,17.76,3.78,61,1.0,0.41,0.9,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-19,18.6,3.11,120,0.98,0.33,0.79,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-20,5.96,3.48,214,0.75,0.0,0.66,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-21,4.39,2.3,137,0.79,0.11,0.72,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-22,9.24,1.47,175,0.89,0.02,0.78,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-23,8.63,2.46,101,0.91,0.23,0.81,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-24,10.16,1.29,249,0.38,0.01,0.79,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-25,15.98,3.53,252,0.77,0.0,0.69,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-26,21.92,2.99,122,0.92,0.02,0.7,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-27,23.11,4.73,143,0.99,0.02,0.71,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-28,17.99,5.26,271,0.35,0.53,0.58,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-29,14.02,1.7,226,0.65,0.0,0.45,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-30,11.52,1.71,116,0.99,0.33,0.64,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-03-31,9.06,2.23,273,0.21,0.0,0.61,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-04-01,11.52,1.69,260,0.67,0.0,0.56,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-04-02,15.37,1.52,229,0.69,0.02,0.55,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-04-03,14.66,1.8,226,0.75,0.0,0.7,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-04-04,12.41,2.09,191,0.6,0.02,0.71,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-04-05,16.5,0.38,236,0.54,0.0,0.67,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-04-06,20.72,3.47,191,0.93,0.02,0.71,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
2020-04-07,23.46,3.49,232,0.64,0.04,0.69,Crittenden,Kentucky,21055,KY,9000,37.3527,-88.0972
