date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,6.87,5.32,25,0.99,0.3,0.9,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-01-22,8.81,5.75,49,1.0,0.11,0.84,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-01-23,8.62,4.77,63,0.97,0.79,0.91,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-01-24,9.55,4.34,34,0.99,0.32,0.9,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-01-25,9.09,4.64,79,0.88,0.94,0.89,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-01-26,8.11,5.3,27,0.99,0.54,0.91,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-01-27,8.7,6.43,57,0.89,1.44,0.92,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-01-28,7.57,3.24,41,0.98,0.03,0.89,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-01-29,9.06,2.61,93,0.98,0.23,0.86,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-01-30,10.87,2.91,89,0.95,0.02,0.82,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-01-31,9.18,3.94,27,0.92,0.16,0.89,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-01,4.51,2.6,88,0.82,0.16,0.82,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-02,2.2,2.97,116,0.55,0.09,0.79,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-03,2.07,3.36,126,0.42,0.0,0.7,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-04,5.34,0.58,39,0.99,0.07,0.76,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-05,7.42,0.78,75,0.92,0.04,0.9,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-06,7.86,1.75,110,0.66,0.01,0.87,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-07,5.96,2.92,92,0.76,0.19,0.84,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-08,4.17,4.17,143,0.24,0.0,0.75,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-09,5.2,4.78,148,0.16,0.0,0.7,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-10,6.87,4.2,150,0.01,0.0,0.68,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-11,6.64,3.36,140,0.59,0.0,0.75,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-12,5.61,1.25,124,0.2,0.0,0.79,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-13,5.82,1.96,106,0.9,0.03,0.8,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-14,5.32,0.24,55,0.99,0.03,0.81,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-15,7.48,1.56,105,0.98,0.78,0.88,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-16,5.15,3.69,163,0.2,0.0,0.72,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-17,4.81,4.15,170,0.1,0.0,0.62,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-18,5.77,2.04,173,0.0,0.0,0.61,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-19,7.34,0.46,156,0.86,0.0,0.7,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-20,7.33,1.69,167,0.14,0.0,0.72,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-21,7.32,3.21,171,0.57,0.0,0.73,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-22,7.29,1.8,66,0.84,0.13,0.83,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-23,4.72,2.59,164,0.32,0.0,0.7,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-24,7.07,2.48,173,0.5,0.0,0.61,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-25,8.34,2.84,181,0.15,0.0,0.71,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-26,8.68,3.45,188,0.05,0.0,0.7,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-27,8.19,1.53,155,0.51,0.0,0.75,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-28,5.44,1.59,136,0.83,0.1,0.78,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-02-29,3.52,4.25,189,0.36,0.02,0.73,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-01,5.17,4.04,170,0.27,0.0,0.68,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-02,7.93,2.86,186,0.21,0.0,0.78,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-03,8.54,2.87,195,0.43,0.0,0.72,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-04,8.12,0.34,194,0.4,0.0,0.7,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-05,6.75,1.83,79,0.99,0.12,0.83,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-06,4.5,1.74,130,0.94,0.33,0.89,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-07,4.29,0.78,129,0.92,0.03,0.81,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-08,5.8,0.72,185,0.41,0.0,0.75,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-09,7.19,3.05,215,0.01,0.0,0.69,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-10,8.58,4.65,211,0.43,0.0,0.66,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-11,7.41,5.54,220,0.14,0.0,0.63,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-12,6.7,3.77,206,0.13,0.01,0.61,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-13,3.37,3.75,129,0.84,0.77,0.9,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-14,2.24,1.44,150,0.86,0.24,0.88,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-15,4.1,1.61,184,0.69,0.03,0.74,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-16,6.02,1.1,127,0.62,0.01,0.8,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-17,5.82,1.65,120,0.92,0.11,0.85,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-18,5.72,0.55,206,0.21,0.01,0.81,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-19,7.25,0.47,208,0.22,0.0,0.78,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-20,8.99,3.18,235,0.19,0.0,0.74,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-21,8.64,1.91,241,0.06,0.0,0.75,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-22,6.48,2.83,109,0.79,0.19,0.82,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-23,4.51,3.24,146,0.91,0.63,0.9,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-24,3.93,1.66,171,0.82,0.29,0.89,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-25,3.62,1.59,221,0.51,0.04,0.82,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-26,5.28,1.59,129,0.89,0.06,0.78,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-27,7.05,4.16,85,0.99,0.15,0.84,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-28,7.43,4.27,90,0.96,0.41,0.9,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-29,7.82,6.04,50,1.0,1.22,0.91,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-30,7.13,4.69,96,0.92,0.93,0.87,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-03-31,4.28,1.95,212,0.39,0.1,0.76,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-01,4.49,2.26,216,0.46,0.07,0.77,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-02,4.32,1.46,198,0.48,0.01,0.73,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-03,4.44,2.34,99,0.89,0.38,0.8,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-04,6.64,3.92,132,0.98,0.83,0.92,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-05,6.49,1.55,138,0.89,0.24,0.82,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-06,8.88,3.88,260,0.33,0.0,0.75,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-07,11.01,4.4,283,0.0,0.0,0.67,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-08,13.41,3.82,284,0.06,0.0,0.64,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-09,12.04,3.16,268,0.22,0.0,0.73,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-10,11.13,4.6,271,0.25,0.0,0.74,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-11,9.63,4.24,293,0.38,0.0,0.62,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-12,10.12,4.01,301,0.1,0.0,0.53,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-13,11.06,3.93,295,0.16,0.0,0.47,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-14,10.69,4.18,248,0.44,0.0,0.67,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-15,11.48,4.06,297,0.27,0.0,0.63,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-16,13.24,1.77,301,0.23,0.0,0.42,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-17,9.33,2.31,218,0.66,0.01,0.8,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-18,8.79,1.34,280,0.57,0.0,0.79,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-19,8.86,1.22,245,0.64,0.0,0.81,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-20,9.68,1.68,263,0.81,0.0,0.8,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-21,9.7,2.59,98,0.88,0.3,0.87,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-22,10.78,1.69,207,0.82,0.07,0.86,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-23,11.22,1.24,137,0.86,0.09,0.84,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-24,12.04,1.39,123,0.98,0.05,0.89,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-25,11.03,0.78,278,0.71,0.0,0.73,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-26,11.56,3.36,113,0.99,0.1,0.69,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-27,13.21,0.88,234,0.67,0.04,0.81,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-28,12.99,1.06,222,0.89,0.01,0.85,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-29,11.02,1.8,278,0.67,0.08,0.77,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-04-30,8.98,1.45,209,0.46,0.06,0.69,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-05-01,10.58,4.42,98,0.95,0.79,0.91,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-05-02,8.02,1.04,267,0.56,0.12,0.77,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-05-03,9.32,0.96,300,0.22,0.03,0.69,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-05-04,11.26,1.86,158,0.92,0.05,0.64,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
2020-05-05,10.37,0.61,302,0.53,0.14,0.73,Curry,Oregon,41015,OR,22650,42.4576,-124.1568
