date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,4.85,6.65,24,1.0,0.27,0.9,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-01-22,6.4,3.44,142,0.55,0.01,0.69,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-01-23,4.22,3.04,154,0.03,0.0,0.5,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-01-24,5.98,2.99,150,0.26,0.0,0.63,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-01-25,9.11,2.17,157,0.13,0.0,0.67,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-01-26,8.13,2.37,148,0.29,0.0,0.68,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-01-27,5.62,5.15,24,0.89,0.77,0.84,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-01-28,1.09,4.94,131,0.7,0.04,0.87,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-01-29,0.8,0.34,88,0.9,0.0,0.87,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-01-30,2.74,2.45,169,0.17,0.0,0.67,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-01-31,6.07,2.96,168,0.14,0.0,0.45,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-02-01,11.79,3.19,166,0.31,0.0,0.43,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-02-02,12.88,4.5,100,0.91,0.0,0.36,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-02-03,0.06,6.6,80,0.9,0.04,0.78,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-02-04,-2.2,5.89,120,0.96,0.11,0.65,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-02-05,-1.18,2.74,182,0.22,0.0,0.57,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-02-06,4.34,3.72,167,0.7,0.0,0.53,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-02-07,5.23,1.86,178,0.55,0.0,0.55,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
2020-02-08,11.19,2.7,147,0.36,0.01,0.65,Custer,Oklahoma,40039,OK,29152,35.6388,-99.0015
