date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,5.63,9.41,133,0.53,0.0,0.68,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-01-22,9.26,6.52,89,0.8,0.0,0.8,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-01-23,12.43,3.53,87,0.77,0.0,0.82,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-01-24,14.1,4.71,107,0.69,0.24,0.81,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-01-25,8.58,4.54,153,0.35,0.0,0.68,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-01-26,8.07,3.11,143,0.42,0.0,0.72,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-01-27,7.55,5.07,129,0.62,0.06,0.72,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-01-28,6.48,3.14,145,0.48,0.0,0.68,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-01-29,7.16,5.81,137,0.73,0.01,0.67,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-01-30,7.76,6.35,121,0.56,0.01,0.85,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-01-31,8.74,5.95,52,0.99,0.63,0.9,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-01,8.35,5.23,166,0.22,0.02,0.74,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-02,12.44,6.03,162,0.42,0.0,0.62,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-03,13.52,6.84,138,0.71,0.0,0.72,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-04,14.09,5.75,103,0.99,0.08,0.84,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-05,15.14,6.99,55,1.0,0.16,0.92,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-06,15.8,9.6,166,0.73,1.19,0.73,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-07,6.8,4.55,172,0.26,0.0,0.5,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-08,6.81,1.57,181,0.18,0.0,0.66,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-09,10.58,3.62,165,0.68,0.0,0.76,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-10,16.72,8.3,70,0.98,0.09,0.81,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-11,12.58,2.79,65,0.97,0.24,0.8,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-12,17.05,6.86,113,0.96,0.04,0.89,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-13,10.52,5.5,120,0.91,0.25,0.73,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-14,4.53,6.66,174,0.7,0.0,0.59,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-15,6.56,1.01,135,0.97,0.0,0.64,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-16,9.79,3.26,178,0.65,0.57,0.79,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-17,11.42,1.61,112,0.72,0.01,0.89,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-18,11.37,3.31,38,0.98,0.45,0.82,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-19,8.12,7.23,44,1.0,0.29,0.62,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-20,3.21,11.84,117,0.98,0.93,0.76,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-21,3.28,3.77,214,0.16,0.0,0.61,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-22,6.93,2.61,214,0.0,0.0,0.62,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-23,8.81,2.88,73,0.8,0.04,0.73,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-24,12.33,3.79,113,0.98,0.45,0.92,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-25,12.66,2.07,105,1.0,0.25,0.97,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-26,10.52,6.93,220,0.45,0.09,0.65,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-27,6.77,4.51,218,0.07,0.0,0.48,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-28,7.09,5.35,211,0.09,0.01,0.58,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-02-29,4.77,4.31,226,0.02,0.0,0.46,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-01,9.91,5.13,211,0.43,0.0,0.66,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-02,14.43,6.56,137,0.85,0.05,0.85,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-03,13.57,4.26,152,0.59,0.3,0.8,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-04,11.11,2.58,81,1.0,0.06,0.74,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-05,10.6,5.36,133,0.86,0.62,0.87,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-06,7.97,9.41,203,0.26,0.03,0.63,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-07,8.09,3.05,240,0.0,0.0,0.52,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-08,10.6,5.03,241,0.1,0.0,0.6,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-09,14.74,6.64,131,0.99,0.0,0.74,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-10,14.78,3.81,187,0.58,0.02,0.85,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-11,14.86,2.17,224,0.45,0.01,0.87,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-12,16.97,6.28,136,0.98,0.0,0.85,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-13,13.96,4.37,240,0.46,0.0,0.61,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-14,10.74,6.44,43,0.99,0.46,0.72,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-15,10.05,7.97,83,0.96,0.19,0.8,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-16,11.08,2.51,124,0.87,0.01,0.84,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-17,13.54,2.89,221,0.48,0.0,0.87,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-18,17.12,3.66,180,0.85,0.01,0.88,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-19,19.64,7.81,230,0.59,0.0,0.84,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
2020-03-20,16.66,1.98,134,0.91,0.03,0.85,Dare,North Carolina,37055,NC,36222,35.7795,-75.798
