date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-3.75,6.95,28,0.88,0.12,0.77,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-01-22,-0.42,2.26,28,1.0,0.27,0.9,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-01-23,-0.22,4.1,23,1.0,0.3,0.92,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-01-24,0.34,3.12,26,0.99,0.35,0.91,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-01-25,-0.04,4.43,51,0.99,0.03,0.86,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-01-26,-0.98,3.9,46,0.98,0.01,0.84,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-01-27,-2.78,2.66,72,0.91,0.02,0.81,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-01-28,-4.32,1.5,60,0.98,0.01,0.81,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-01-29,-3.79,0.07,48,0.97,0.02,0.84,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-01-30,-3.21,2.66,78,0.92,0.0,0.84,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-01-31,0.32,4.0,73,0.87,0.02,0.82,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-02-01,0.73,2.45,58,0.88,0.21,0.85,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-02-02,0.27,2.63,78,0.81,0.01,0.8,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-02-03,-4.43,4.54,95,0.8,0.0,0.65,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-02-04,-10.09,2.71,109,0.54,0.0,0.71,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-02-05,-6.76,1.81,119,0.37,0.0,0.7,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-02-06,-6.3,3.65,102,0.56,0.01,0.75,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
2020-02-07,-12.1,0.82,130,0.58,0.0,0.69,Delta,Michigan,26041,MI,36026,45.9191,-86.9242
