date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,5.47,5.49,11,1.0,0.44,0.84,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-01-22,8.25,1.23,119,0.87,0.25,0.85,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-01-23,8.05,3.04,169,0.01,0.0,0.6,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-01-24,9.19,3.07,148,0.49,0.0,0.63,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-01-25,13.51,1.0,93,0.72,0.08,0.8,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-01-26,10.31,2.11,134,0.62,0.0,0.87,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-01-27,11.94,3.82,57,0.73,0.49,0.89,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-01-28,5.53,5.24,99,0.95,0.0,0.81,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-01-29,5.4,1.25,58,0.95,0.01,0.77,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-01-30,7.22,1.46,165,0.67,0.01,0.75,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-01-31,7.8,2.1,181,0.02,0.0,0.58,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-01,13.14,3.25,182,0.23,0.0,0.42,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-02,16.69,5.47,90,0.84,0.1,0.51,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-03,13.59,0.95,58,0.97,0.32,0.92,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-04,2.46,5.21,29,0.93,0.21,0.84,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-05,1.13,4.31,184,0.53,0.04,0.68,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-06,5.63,1.79,181,0.35,0.0,0.57,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-07,8.61,1.25,186,0.28,0.0,0.56,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-08,16.0,5.52,42,0.9,0.2,0.74,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-09,10.23,3.02,47,0.98,0.75,0.79,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-10,5.31,4.18,28,1.0,0.29,0.83,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-11,6.27,1.43,51,1.0,1.08,0.89,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-12,4.86,3.53,142,0.65,0.0,0.77,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-13,2.13,1.86,201,0.02,0.0,0.62,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-14,8.21,4.33,188,0.43,0.0,0.69,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-15,14.16,2.83,198,0.31,0.0,0.75,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-16,18.08,3.7,180,0.5,0.0,0.75,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-17,13.92,4.42,53,0.99,0.09,0.63,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-18,8.46,3.33,117,0.97,0.07,0.61,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-19,7.67,4.15,130,0.89,0.47,0.71,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-20,3.4,2.58,219,0.07,0.0,0.59,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-21,7.9,3.3,190,0.7,0.0,0.56,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-22,10.95,4.41,72,0.97,0.06,0.73,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-23,14.04,4.38,196,0.54,0.01,0.72,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-24,10.19,3.25,170,0.23,0.0,0.65,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-25,6.58,6.37,190,0.62,0.01,0.51,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-26,4.96,1.24,230,0.0,0.0,0.47,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-27,10.16,0.98,231,0.0,0.0,0.43,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-28,13.33,3.12,204,0.7,0.0,0.44,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-02-29,17.58,6.69,175,0.5,0.0,0.58,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-03-01,17.85,3.35,136,0.99,0.0,0.63,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-03-02,14.42,0.35,100,1.0,0.03,0.76,Denton,Texas,48121,TX,833822,33.2052,-97.117
2020-03-03,13.42,3.84,68,0.98,0.61,0.78,Denton,Texas,48121,TX,833822,33.2052,-97.117
