date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,0.39,6.06,27,1.0,0.3,0.8,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-01-22,1.31,1.48,22,1.0,0.34,0.96,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-01-23,0.16,5.47,57,0.99,0.29,0.91,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-01-24,-1.51,2.37,112,0.84,0.0,0.86,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-01-25,-1.03,1.09,131,0.4,0.0,0.87,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-01-26,-0.29,1.92,97,0.35,0.0,0.87,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-01-27,-0.09,1.9,47,1.0,0.02,0.89,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-01-28,-1.48,1.2,91,0.98,0.07,0.86,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-01-29,-0.18,2.2,73,0.98,0.0,0.83,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-01-30,1.57,2.02,71,0.73,0.01,0.84,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-01-31,3.1,2.58,144,0.64,0.0,0.72,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-01,9.25,3.0,148,0.31,0.0,0.57,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-02,4.57,2.92,119,0.6,0.0,0.78,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-03,-0.2,5.88,75,0.89,0.01,0.62,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-04,-3.17,4.53,58,0.99,0.08,0.6,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-05,-3.79,0.46,160,0.21,0.0,0.66,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-06,-0.92,1.85,107,0.74,0.0,0.64,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-07,-2.7,0.84,161,0.05,0.0,0.65,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-08,4.34,1.54,109,0.54,0.01,0.6,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-09,-1.22,2.24,158,0.75,0.0,0.69,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-10,2.18,2.0,163,0.44,0.0,0.57,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-11,0.31,2.12,36,0.95,0.25,0.72,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-12,-11.58,5.91,183,0.28,0.05,0.62,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-13,-12.64,3.09,181,0.06,0.0,0.6,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-14,0.03,3.48,148,0.45,0.0,0.66,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-15,2.04,2.5,174,0.49,0.0,0.68,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-16,6.94,1.43,115,0.95,0.04,0.74,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-17,1.88,5.1,179,0.62,0.0,0.63,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-18,-0.24,2.27,156,0.45,0.0,0.72,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-19,-5.47,4.07,193,0.54,0.01,0.56,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-20,-3.2,3.48,196,0.0,0.0,0.54,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-21,3.8,5.31,183,0.27,0.0,0.54,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-22,8.18,2.33,161,0.48,0.01,0.68,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-23,6.52,4.59,81,0.98,0.38,0.81,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-24,4.16,4.34,115,0.89,0.0,0.6,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-25,0.84,5.93,181,0.73,0.02,0.57,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
2020-02-26,0.56,2.3,176,0.46,0.0,0.56,Doniphan,Kansas,20043,KS,7684,39.7881,-95.1468
