date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-1.46,1.68,144,0.05,0.0,0.48,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-01-22,-0.21,0.38,90,0.84,0.0,0.56,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-01-23,5.17,1.79,52,0.9,0.02,0.69,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-01-24,10.94,0.43,109,0.73,0.94,0.78,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-01-25,5.8,2.95,134,0.21,0.0,0.58,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-01-26,5.1,2.7,99,0.45,0.0,0.61,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-01-27,5.76,2.46,137,0.26,0.0,0.57,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-01-28,3.34,1.36,105,0.53,0.0,0.62,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-01-29,1.6,1.44,96,0.76,0.0,0.64,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-01-30,2.03,0.26,79,0.64,0.09,0.71,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-01-31,3.1,0.81,91,0.86,0.03,0.85,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-02-01,7.4,3.5,151,0.15,0.0,0.59,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-02-02,13.63,3.61,126,0.54,0.0,0.41,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-02-03,16.61,3.62,82,0.86,0.01,0.52,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-02-04,11.92,0.45,19,0.99,0.38,0.79,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
2020-02-05,6.91,0.24,13,1.0,1.56,0.94,Fluvanna,Virginia,51065,VA,26594,37.8419,-78.2773
