date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,3.02,2.21,86,0.96,0.0,0.55,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-01-22,8.51,3.69,77,0.93,0.64,0.85,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-01-23,10.02,2.88,173,0.5,0.08,0.74,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-01-24,8.51,1.24,169,0.3,0.0,0.62,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-01-25,9.93,2.36,38,0.98,0.63,0.83,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-01-26,11.35,1.13,91,0.89,0.09,0.88,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-01-27,8.98,1.8,142,0.33,0.05,0.8,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-01-28,10.94,2.47,29,0.87,0.66,0.9,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-01-29,9.26,1.65,150,0.69,0.0,0.83,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-01-30,9.67,2.02,76,0.99,0.11,0.83,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-01-31,9.13,2.95,142,0.49,0.0,0.69,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-02-01,11.31,2.73,189,0.04,0.0,0.53,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-02-02,14.94,4.15,164,0.37,0.0,0.7,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-02-03,18.78,4.79,76,0.97,0.1,0.79,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-02-04,20.22,4.04,47,1.0,0.1,0.92,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
2020-02-05,10.08,3.1,55,1.0,0.53,0.9,Franklin,Mississippi,28037,MS,7733,31.4772,-90.8979
