date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,14.0,3.22,36,0.99,0.32,0.78,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-01-22,15.03,1.75,183,0.42,0.0,0.69,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-01-23,14.01,2.14,185,0.01,0.0,0.57,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-01-24,14.1,3.12,60,0.77,0.03,0.65,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-01-25,18.3,1.15,166,0.69,0.01,0.78,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-01-26,17.06,2.49,187,0.0,0.0,0.6,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-01-27,18.42,0.19,178,0.34,0.38,0.64,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-01-28,13.95,4.07,200,0.0,0.0,0.42,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-01-29,9.96,4.02,76,0.6,0.01,0.67,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-01-30,11.52,1.24,125,0.92,0.0,0.67,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-01-31,12.41,2.84,199,0.28,0.0,0.46,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-01,13.42,2.39,186,0.66,0.0,0.34,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-02,17.95,3.82,68,0.76,0.07,0.55,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-03,20.28,1.81,180,0.73,0.0,0.67,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-04,11.56,4.4,74,0.89,0.03,0.65,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-05,6.67,3.61,206,0.28,0.14,0.54,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-06,11.59,2.32,208,0.01,0.0,0.36,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-07,16.28,3.0,133,0.36,0.01,0.53,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-08,21.64,4.67,81,0.76,0.1,0.78,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-09,23.08,2.82,97,0.93,0.06,0.8,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-10,11.91,5.03,30,0.98,0.13,0.79,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-11,9.83,2.66,104,0.87,0.65,0.82,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-12,11.41,2.86,218,0.0,0.0,0.59,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-13,8.91,3.58,219,0.0,0.0,0.62,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-14,11.61,2.42,106,0.55,0.0,0.68,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-15,15.57,0.39,140,0.95,0.0,0.8,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-16,20.8,2.48,144,0.79,0.0,0.77,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-17,22.14,2.57,116,0.64,0.03,0.74,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-18,12.99,4.42,35,1.0,0.11,0.74,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-19,10.28,4.21,27,1.0,0.09,0.84,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-20,9.28,3.39,152,0.71,0.0,0.58,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-21,11.58,2.56,201,0.89,0.0,0.54,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-22,17.21,3.75,121,0.97,0.0,0.66,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-23,20.19,1.08,171,0.8,0.01,0.59,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-24,16.19,0.92,233,0.27,0.0,0.41,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-25,12.41,6.18,247,0.15,0.0,0.31,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-26,7.94,0.5,250,0.0,0.0,0.36,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-27,11.82,1.88,246,0.43,0.0,0.33,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-28,16.33,3.62,237,0.45,0.0,0.3,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-02-29,20.18,3.63,209,0.94,0.0,0.55,Frio,Texas,48163,TX,19871,28.8678,-99.1082
2020-03-01,21.53,2.34,159,0.78,0.0,0.69,Frio,Texas,48163,TX,19871,28.8678,-99.1082
