date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-3.01,2.06,95,0.85,0.0,0.69,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-01-22,2.79,3.08,60,1.0,0.07,0.58,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-01-23,5.1,2.47,41,0.99,0.3,0.9,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-01-24,2.36,4.04,38,0.98,0.06,0.85,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-01-25,1.79,1.75,134,0.38,0.0,0.75,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-01-26,1.63,1.74,99,0.65,0.01,0.84,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-01-27,-0.07,1.65,77,1.0,0.0,0.82,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-01-28,1.48,1.94,70,1.0,0.03,0.78,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-01-29,2.07,1.5,101,0.63,0.01,0.8,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-01-30,3.68,1.16,72,1.0,0.14,0.79,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-01-31,5.32,1.63,83,0.85,0.01,0.77,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-01,7.67,3.95,154,0.23,0.0,0.6,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-02,12.69,4.27,141,0.74,0.01,0.57,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-03,13.79,3.02,18,0.99,0.69,0.8,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-04,2.91,4.21,21,1.0,0.39,0.82,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-05,0.39,3.06,40,1.0,0.05,0.87,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-06,-0.3,3.75,105,0.88,0.01,0.72,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-07,0.73,2.34,91,0.73,0.05,0.74,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-08,2.03,3.28,73,0.54,0.16,0.73,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-09,7.61,1.23,37,0.99,0.81,0.87,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-10,3.27,2.97,89,0.96,0.05,0.76,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-11,2.4,1.7,23,0.96,0.66,0.81,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-12,0.46,3.35,98,0.98,0.22,0.86,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-13,-9.49,2.81,189,0.34,0.0,0.64,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-14,-2.68,3.19,169,0.48,0.0,0.57,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-15,5.99,0.96,159,0.65,0.0,0.59,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-16,6.21,2.77,78,0.85,0.01,0.72,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-17,9.03,1.97,74,0.99,0.06,0.78,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-18,1.83,3.32,185,0.26,0.0,0.68,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-19,1.16,4.38,175,0.79,0.0,0.6,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-20,-3.23,2.07,202,0.01,0.0,0.53,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-21,0.14,2.8,203,0.0,0.0,0.53,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-22,6.22,3.48,176,0.59,0.0,0.49,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-23,7.93,3.06,23,0.99,0.63,0.78,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-24,7.76,1.48,27,1.0,0.44,0.92,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-25,2.75,4.23,92,0.98,0.13,0.88,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-26,0.71,3.82,167,0.6,0.0,0.58,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-27,2.88,2.83,172,0.6,0.04,0.6,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-28,-0.03,1.9,218,0.05,0.0,0.62,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-02-29,6.48,3.94,179,0.7,0.0,0.52,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-01,13.19,3.56,53,0.95,0.34,0.72,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-02,12.21,2.28,202,0.55,0.48,0.67,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-03,9.32,1.86,194,0.43,0.0,0.49,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-04,8.35,0.11,210,0.62,0.0,0.51,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-05,7.36,6.22,198,0.58,0.0,0.45,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-06,3.02,1.02,231,0.0,0.0,0.54,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-07,8.71,3.66,226,0.4,0.0,0.4,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-08,14.19,5.5,96,0.81,0.1,0.46,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-09,11.35,3.0,82,0.97,0.37,0.82,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-10,7.86,0.59,141,0.95,0.0,0.8,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-11,10.92,1.66,101,0.73,0.53,0.85,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-12,10.51,3.94,185,0.92,0.42,0.64,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-13,6.21,2.87,28,1.0,0.32,0.65,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-14,4.53,3.69,180,0.94,0.0,0.74,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-15,5.64,1.06,92,0.94,0.05,0.73,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-16,8.3,1.37,180,0.9,0.06,0.73,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-17,9.43,1.72,32,0.89,0.72,0.84,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-18,16.34,2.51,31,1.0,0.71,0.92,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-19,17.27,3.67,109,0.99,0.35,0.8,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-20,4.1,3.94,235,0.71,0.0,0.65,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-21,2.95,2.65,124,0.82,0.04,0.7,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-22,7.61,1.34,205,0.87,0.01,0.75,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-23,7.56,2.55,125,0.82,0.21,0.77,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-24,8.97,1.01,254,0.3,0.07,0.79,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-25,14.98,3.52,220,0.66,0.0,0.7,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-26,19.66,1.06,141,0.94,0.2,0.76,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-27,22.28,4.55,115,0.99,0.07,0.74,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-28,18.11,6.44,262,0.47,0.37,0.55,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-29,13.39,2.93,257,0.4,0.0,0.39,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-30,10.73,3.21,128,1.0,0.0,0.52,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-03-31,7.93,2.56,226,0.37,0.0,0.65,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-01,10.84,1.22,258,0.46,0.0,0.56,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-02,14.95,1.46,254,0.67,0.01,0.52,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-03,13.24,2.51,226,0.46,0.0,0.67,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-04,10.41,2.08,140,0.71,0.08,0.77,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-05,15.23,0.31,209,0.41,0.01,0.7,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-06,20.72,3.26,194,0.72,0.0,0.66,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-07,23.85,3.52,246,0.35,0.03,0.65,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-08,14.73,5.22,276,0.37,0.08,0.45,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-09,7.38,4.55,303,0.09,0.0,0.41,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-10,10.29,3.1,249,0.4,0.01,0.44,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-11,13.87,3.96,118,0.86,0.28,0.6,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-12,9.12,4.08,255,0.89,0.04,0.72,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-13,6.69,2.64,225,0.96,0.0,0.43,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-14,6.4,3.12,276,0.14,0.02,0.45,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-15,5.58,0.86,282,0.16,0.0,0.46,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-16,9.97,1.26,56,0.8,0.33,0.58,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-17,6.98,1.67,307,0.35,0.02,0.63,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-18,10.79,1.98,167,0.78,0.04,0.58,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-19,12.76,1.36,309,0.4,0.0,0.52,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-20,15.33,3.85,315,0.07,0.02,0.41,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-21,13.84,1.71,272,0.45,0.0,0.35,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-22,14.37,2.28,48,1.0,0.87,0.73,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-23,15.12,2.27,217,0.78,0.01,0.75,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-24,14.96,3.17,146,0.84,0.29,0.76,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-25,11.96,5.1,128,0.96,0.85,0.72,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-26,12.02,0.95,314,0.14,0.0,0.49,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
2020-04-27,18.41,4.76,266,0.3,0.0,0.57,Gibson,Indiana,18051,IN,33656,38.3119,-87.5846
