date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,5.0,3.99,179,0.2,0.0,0.43,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-01-22,12.29,3.4,94,0.97,0.0,0.69,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-01-23,16.84,2.05,113,0.83,0.04,0.84,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-01-24,14.02,2.4,189,0.02,0.0,0.66,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-01-25,10.75,1.71,169,0.82,0.0,0.55,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-01-26,13.62,0.67,65,0.97,0.13,0.63,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-01-27,12.91,2.52,193,0.28,0.0,0.6,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-01-28,9.14,1.97,104,0.38,0.11,0.73,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-01-29,13.32,3.5,152,0.84,0.04,0.77,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-01-30,14.46,2.1,89,1.0,0.15,0.8,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-01-31,12.63,1.99,108,0.87,0.06,0.86,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-01,11.06,3.21,199,0.07,0.0,0.62,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-02,12.61,2.04,197,0.02,0.0,0.64,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-03,13.68,1.99,159,0.71,0.0,0.72,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-04,18.38,2.75,135,0.98,0.0,0.78,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-05,22.85,5.8,105,0.86,0.02,0.78,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-06,15.58,5.51,210,0.51,0.61,0.56,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-07,9.78,0.3,209,0.0,0.0,0.5,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-08,12.71,2.1,207,0.04,0.0,0.55,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-09,17.51,2.23,189,0.66,0.0,0.7,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-10,21.96,2.66,161,0.94,0.0,0.78,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-11,22.71,1.78,125,0.99,0.02,0.82,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
2020-02-12,22.86,4.53,157,0.48,0.06,0.84,Gilchrist,Florida,12041,FL,17953,29.7258,-82.8004
