date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,4.62,3.42,27,0.77,0.09,0.69,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-01-22,8.02,3.39,44,0.99,0.04,0.74,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-01-23,8.96,3.39,80,0.71,0.16,0.73,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-01-24,7.53,2.44,85,0.7,0.1,0.73,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-01-25,7.95,1.37,87,0.85,0.21,0.75,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-01-26,5.96,2.81,69,0.61,0.04,0.72,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-01-27,7.52,3.29,62,0.81,0.32,0.75,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-01-28,5.78,3.16,31,0.82,0.05,0.77,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-01-29,4.66,2.08,88,0.73,0.05,0.83,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-01-30,10.59,4.65,96,0.85,0.01,0.69,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-01-31,12.91,5.51,39,0.66,0.11,0.52,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-01,3.4,3.21,108,0.75,0.06,0.67,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-02,-0.32,2.74,107,0.21,0.01,0.68,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-03,-0.91,3.39,59,0.55,0.0,0.67,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-04,4.39,5.13,30,1.0,0.13,0.72,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-05,9.74,6.5,26,1.0,0.05,0.69,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-06,10.24,6.55,65,0.96,0.05,0.66,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-07,6.91,7.4,104,0.5,0.05,0.62,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-08,2.82,3.07,119,0.38,0.0,0.72,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-09,3.26,1.79,131,0.17,0.0,0.7,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-10,5.0,3.54,131,0.34,0.0,0.64,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-11,5.91,3.51,112,0.48,0.0,0.67,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-12,4.52,2.06,124,0.17,0.0,0.67,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-13,6.09,5.1,91,0.65,0.03,0.6,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-14,5.21,4.12,45,0.99,0.11,0.67,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-15,5.6,4.61,129,0.69,0.08,0.68,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-16,3.93,4.44,147,0.27,0.03,0.63,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-17,1.47,0.76,153,0.17,0.0,0.64,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-18,2.05,2.08,158,0.0,0.0,0.57,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-19,2.22,1.45,146,0.35,0.0,0.55,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-20,3.04,0.89,157,0.04,0.0,0.56,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-21,6.43,2.25,157,0.32,0.0,0.56,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-22,7.23,4.27,122,0.6,0.07,0.61,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-23,4.62,6.44,134,0.53,0.0,0.56,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-24,3.58,1.49,162,0.43,0.0,0.62,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-25,7.44,1.46,137,0.67,0.0,0.57,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-26,7.01,2.59,169,0.11,0.0,0.6,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-27,8.97,2.45,171,0.28,0.0,0.56,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-28,7.74,5.82,159,0.37,0.05,0.52,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-02-29,2.49,3.42,179,0.22,0.01,0.62,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-01,6.25,5.43,144,0.76,0.0,0.55,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-02,9.74,5.79,162,0.85,0.0,0.6,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-03,9.39,4.41,171,0.51,0.0,0.53,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-04,7.97,1.14,187,0.84,0.0,0.51,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-05,9.37,1.98,154,0.91,0.0,0.56,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-06,6.56,2.76,131,0.91,0.26,0.63,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-07,3.72,2.19,174,0.56,0.0,0.69,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-08,4.7,1.52,184,0.52,0.0,0.66,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-09,6.45,2.62,200,0.25,0.0,0.57,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-10,9.27,4.34,186,0.29,0.0,0.48,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-11,5.49,2.45,210,0.22,0.0,0.54,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-12,5.24,0.11,145,0.72,0.03,0.54,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-13,-1.11,3.92,143,0.89,0.34,0.77,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-14,-3.29,4.55,159,0.85,0.09,0.64,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-15,0.39,1.73,201,0.65,0.02,0.59,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-16,2.81,0.6,229,0.02,0.0,0.59,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-17,5.71,1.05,192,0.51,0.0,0.6,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-18,7.26,1.29,226,0.01,0.0,0.57,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-19,9.29,0.28,226,0.35,0.0,0.52,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-20,10.76,2.11,231,0.04,0.0,0.45,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-21,9.58,2.51,235,0.11,0.0,0.45,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-22,10.64,4.41,195,0.76,0.02,0.44,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-23,5.96,3.16,203,0.46,0.06,0.54,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-24,4.85,3.55,194,0.67,0.06,0.61,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-25,4.27,4.11,208,0.44,0.01,0.58,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-26,6.14,4.21,163,0.54,0.0,0.58,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-27,8.54,3.73,142,0.77,0.01,0.61,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-28,10.51,3.66,187,0.83,0.06,0.6,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-29,10.11,4.88,151,0.9,0.11,0.56,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-30,6.29,4.45,184,0.8,0.22,0.64,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-03-31,4.35,3.6,203,0.59,0.04,0.6,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-01,4.12,2.91,231,0.35,0.05,0.62,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-02,4.69,4.21,224,0.29,0.01,0.56,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-03,4.87,0.06,201,0.7,0.0,0.59,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-04,7.59,1.96,162,0.94,0.09,0.58,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-05,8.95,1.47,220,0.6,0.1,0.61,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-06,11.37,4.03,262,0.41,0.0,0.48,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-07,11.72,0.55,278,0.12,0.0,0.44,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-08,13.97,0.61,281,0.15,0.0,0.24,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-09,16.7,2.5,279,0.21,0.0,0.25,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-10,14.31,5.5,267,0.37,0.01,0.4,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-11,10.15,2.51,284,0.16,0.0,0.23,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-12,9.11,1.41,294,0.15,0.0,0.13,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-13,12.74,2.93,288,0.44,0.0,0.15,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-14,14.16,4.4,259,0.41,0.04,0.42,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-15,11.01,3.9,295,0.05,0.0,0.32,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-16,12.02,1.08,308,0.0,0.0,0.16,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-17,15.91,3.9,274,0.56,0.01,0.22,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-18,11.09,4.16,280,0.19,0.0,0.55,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-19,14.32,2.44,300,0.01,0.0,0.41,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-20,15.32,5.0,299,0.12,0.0,0.4,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-21,12.53,4.01,135,0.63,0.09,0.54,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-22,13.27,5.64,259,0.49,0.22,0.61,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-23,12.53,2.92,157,0.83,0.02,0.56,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-24,13.66,3.0,178,0.76,0.07,0.64,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-25,12.98,3.06,301,0.66,0.0,0.49,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-26,17.27,5.05,234,0.78,0.01,0.37,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-27,15.98,2.14,281,0.6,0.0,0.46,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-28,18.96,1.14,228,0.83,0.0,0.34,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-29,15.94,5.19,252,0.59,0.01,0.47,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-04-30,12.31,2.38,324,0.22,0.0,0.36,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-01,16.25,1.15,266,0.46,0.1,0.32,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-02,9.85,5.09,271,0.38,0.18,0.53,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-03,10.72,1.04,322,0.29,0.0,0.46,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-04,15.7,0.47,312,0.55,0.0,0.37,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-05,14.67,6.03,301,0.64,0.1,0.4,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-06,10.78,1.01,338,0.02,0.0,0.44,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-07,15.52,4.34,337,0.0,0.0,0.31,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-08,18.86,3.53,332,0.11,0.0,0.27,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-09,21.43,4.27,274,0.87,0.0,0.19,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-10,19.89,4.12,236,0.88,0.0,0.24,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-11,16.42,2.98,252,0.68,0.08,0.43,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-12,12.98,4.08,280,0.71,0.05,0.52,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-13,12.76,2.89,234,0.9,0.11,0.6,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-14,12.2,3.99,210,0.55,0.09,0.61,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-15,15.45,0.75,198,0.79,0.0,0.46,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-16,14.72,1.28,155,0.88,0.27,0.63,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-17,12.41,1.37,184,0.72,0.1,0.71,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-18,11.94,4.48,207,0.79,0.08,0.69,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-19,12.57,7.07,226,0.85,0.03,0.66,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-20,11.75,7.02,254,0.63,0.02,0.59,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-21,10.2,5.95,244,0.46,0.01,0.54,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-22,11.72,4.07,328,0.22,0.0,0.51,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-23,15.55,2.44,337,0.72,0.0,0.42,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-24,18.91,2.86,183,0.81,0.03,0.42,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-25,17.87,3.96,280,0.83,0.0,0.54,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-26,20.01,1.12,343,0.53,0.0,0.31,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-27,23.24,2.94,328,0.53,0.0,0.15,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-28,26.38,1.28,340,0.48,0.0,0.12,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-29,25.42,2.18,266,0.92,0.02,0.31,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-30,14.57,7.39,328,0.61,0.0,0.49,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-05-31,16.34,3.35,334,0.74,0.0,0.35,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-06-01,18.71,3.22,344,0.21,0.0,0.27,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-06-02,19.96,2.83,323,0.45,0.0,0.31,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
2020-06-03,18.93,4.39,350,0.3,0.0,0.31,Gilliam,Oregon,41021,OR,1878,45.3783,-120.2108
