date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-3.13,1.57,103,0.61,0.0,0.57,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-01-22,3.0,2.5,65,1.0,0.04,0.51,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-01-23,6.43,2.72,33,0.96,0.91,0.89,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-01-24,2.94,3.65,42,0.99,0.09,0.87,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-01-25,2.39,3.3,140,0.51,0.01,0.73,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-01-26,2.63,1.62,87,0.7,0.0,0.81,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-01-27,1.39,1.26,73,0.96,0.0,0.76,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-01-28,1.9,1.51,66,0.99,0.0,0.73,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-01-29,2.3,1.36,136,0.6,0.01,0.69,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-01-30,2.7,1.57,41,1.0,0.17,0.81,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-01-31,4.07,0.93,56,0.98,0.06,0.86,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-01,7.09,4.67,153,0.22,0.0,0.59,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-02,12.28,3.84,116,0.74,0.0,0.54,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-03,14.62,4.08,27,0.98,0.46,0.72,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-04,3.56,3.57,27,1.0,0.24,0.85,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-05,1.55,1.67,18,1.0,0.32,0.95,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-06,-0.76,3.47,83,0.99,0.13,0.77,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-07,0.18,2.65,105,0.79,0.06,0.77,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-08,0.92,1.99,78,0.48,0.01,0.75,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-09,8.11,3.49,12,0.99,0.39,0.86,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-10,3.38,2.26,43,1.0,0.14,0.88,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-11,2.24,1.43,34,0.94,0.41,0.79,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-12,2.04,2.28,63,0.99,0.92,0.86,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-13,-5.81,2.89,187,0.53,0.0,0.56,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-14,-3.52,2.25,168,0.44,0.0,0.5,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-15,5.79,2.22,107,0.79,0.0,0.52,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-16,5.35,2.74,127,0.79,0.0,0.67,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-17,10.27,1.63,31,0.9,0.29,0.77,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-18,3.01,2.5,188,0.43,0.0,0.64,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-19,1.27,3.15,156,0.89,0.0,0.59,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-20,-2.7,1.9,200,0.1,0.0,0.49,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-21,0.43,2.51,204,0.01,0.0,0.43,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-22,4.73,3.34,156,0.35,0.0,0.44,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-23,6.78,2.81,33,0.98,0.44,0.73,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-24,8.61,0.82,23,1.0,0.61,0.93,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-25,5.56,2.56,72,0.97,0.19,0.92,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-26,-0.14,4.65,139,0.9,0.02,0.59,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-27,1.54,3.33,164,0.68,0.05,0.6,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-28,-0.66,2.81,220,0.39,0.05,0.55,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-02-29,4.13,2.94,195,0.58,0.0,0.48,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-03-01,12.01,4.69,28,0.96,0.29,0.68,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-03-02,12.44,3.07,126,0.75,0.62,0.76,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-03-03,9.76,2.74,195,0.4,0.0,0.47,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-03-04,8.34,0.75,194,0.49,0.0,0.46,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-03-05,5.81,5.22,132,0.62,0.04,0.56,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-03-06,2.97,1.53,230,0.17,0.0,0.55,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-03-07,7.5,2.94,228,0.19,0.0,0.41,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-03-08,13.3,4.85,150,0.65,0.0,0.4,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
2020-03-09,13.6,3.67,52,0.97,0.35,0.76,Henry,Kentucky,21103,KY,15911,38.4485,-85.1189
