date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-3.49,2.4,109,0.92,0.12,0.8,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-01-22,-7.11,2.56,87,0.87,0.05,0.8,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-01-23,-4.35,2.24,116,0.97,0.03,0.8,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-01-24,-3.76,2.43,112,0.88,0.07,0.81,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-01-25,-4.5,2.5,133,0.64,0.02,0.8,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-01-26,-4.84,1.78,88,0.93,0.06,0.83,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-01-27,-7.38,2.79,131,0.78,0.05,0.81,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-01-28,-7.38,1.4,108,0.82,0.04,0.86,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-01-29,-8.33,1.97,77,0.87,0.11,0.87,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-01-30,-10.52,2.07,131,0.78,0.02,0.8,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-01-31,-4.7,2.75,150,0.84,0.0,0.71,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-02-01,-2.08,2.85,159,0.15,0.0,0.56,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-02-02,-4.03,2.04,112,0.39,0.13,0.63,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-02-03,-14.87,2.04,128,0.99,0.18,0.79,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-02-04,-19.86,2.02,148,0.82,0.01,0.8,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-02-05,-13.92,2.34,70,0.98,0.23,0.86,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-02-06,-7.65,1.79,76,0.99,0.64,0.87,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-02-07,-1.38,3.64,148,0.72,0.16,0.78,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
2020-02-08,-5.34,1.06,114,0.93,0.19,0.76,Jackson,Colorado,8057,CO,1261,40.6664,-106.3428
