date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,4.62,1.98,26,0.99,0.12,0.9,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-01-22,6.91,1.73,46,1.0,0.01,0.87,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-01-23,7.9,2.18,66,0.93,0.41,0.86,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-01-24,8.11,1.49,42,0.99,0.17,0.84,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-01-25,8.64,2.26,85,0.91,0.76,0.86,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-01-26,7.13,2.49,38,0.98,0.32,0.83,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-01-27,7.69,3.74,61,0.93,0.74,0.88,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-01-28,6.0,1.27,48,0.95,0.01,0.83,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-01-29,8.12,0.97,87,0.98,0.13,0.81,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-01-30,10.67,1.16,110,0.86,0.0,0.72,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-01-31,8.47,1.79,41,0.84,0.02,0.79,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-01,4.07,1.5,94,0.82,0.17,0.78,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-02,0.82,1.11,114,0.61,0.1,0.74,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-03,-0.47,1.53,127,0.44,0.0,0.69,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-04,3.09,0.2,44,0.99,0.04,0.7,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-05,6.08,0.31,68,0.92,0.02,0.87,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-06,7.08,0.46,119,0.56,0.0,0.79,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-07,5.15,1.73,101,0.77,0.11,0.79,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-08,2.19,1.88,141,0.48,0.02,0.78,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-09,2.94,1.66,149,0.15,0.0,0.74,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-10,4.42,1.3,151,0.02,0.0,0.72,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-11,4.87,1.05,129,0.69,0.0,0.7,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-12,4.87,0.22,143,0.12,0.0,0.72,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-13,4.62,0.88,99,0.89,0.02,0.8,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-14,3.84,0.36,62,0.99,0.01,0.76,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-15,6.0,0.92,64,0.99,0.46,0.87,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-16,3.6,1.74,155,0.35,0.0,0.74,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-17,2.74,1.62,172,0.11,0.0,0.62,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-18,3.48,1.24,175,0.0,0.0,0.58,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-19,5.92,0.39,152,0.87,0.0,0.6,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-20,6.12,0.38,166,0.14,0.0,0.62,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-21,5.83,0.88,171,0.6,0.0,0.66,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-22,6.26,1.66,65,0.81,0.03,0.77,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-23,3.4,1.01,162,0.58,0.0,0.71,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-24,5.48,0.92,175,0.51,0.0,0.59,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-25,6.87,0.56,181,0.2,0.0,0.67,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-26,6.73,1.27,187,0.17,0.0,0.7,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-27,7.14,0.41,174,0.51,0.0,0.68,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-28,4.92,1.26,131,0.8,0.05,0.73,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-02-29,1.72,2.15,178,0.51,0.07,0.74,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-03-01,3.31,1.66,161,0.35,0.0,0.67,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-03-02,7.28,0.93,191,0.3,0.0,0.7,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
2020-03-03,8.57,0.92,191,0.44,0.0,0.67,Josephine,Oregon,41033,OR,86251,42.3655,-123.5555
