date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,5.63,6.03,121,0.66,0.0,0.47,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-01-22,0.88,7.56,130,0.21,0.0,0.46,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-01-23,1.87,3.64,123,0.35,0.0,0.53,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-01-24,4.06,4.11,119,0.57,0.0,0.53,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-01-25,4.66,5.61,130,0.28,0.0,0.45,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-01-26,2.5,1.06,68,0.72,0.01,0.61,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-01-27,1.98,5.89,138,0.43,0.01,0.6,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-01-28,0.52,2.99,69,0.75,0.01,0.67,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-01-29,-0.21,4.33,102,0.51,0.02,0.71,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-01-30,0.87,7.89,124,0.51,0.01,0.44,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-01-31,7.73,8.15,141,0.76,0.0,0.36,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-01,14.5,6.98,141,0.85,0.0,0.12,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-02,-1.87,6.77,80,0.79,0.02,0.51,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-03,-9.18,4.0,98,1.0,0.14,0.71,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-04,-9.69,2.87,157,0.22,0.0,0.58,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-05,-3.06,6.53,117,0.52,0.0,0.59,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-06,-1.94,6.74,152,0.56,0.0,0.58,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-07,0.81,3.34,156,0.3,0.02,0.59,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-08,0.11,5.18,118,0.84,0.04,0.64,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-09,-2.07,3.27,118,0.44,0.01,0.53,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-10,-3.38,2.91,169,0.31,0.0,0.52,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-11,0.13,4.54,146,0.37,0.04,0.48,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-12,-6.0,0.22,124,0.87,0.12,0.71,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-13,-0.22,4.71,171,0.16,0.0,0.48,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-14,2.67,2.74,163,0.31,0.0,0.42,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-15,3.66,4.0,128,0.66,0.0,0.46,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-16,3.6,6.78,164,0.43,0.02,0.49,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-17,-1.88,1.85,184,0.38,0.02,0.5,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-18,-5.05,3.18,105,0.73,0.04,0.58,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-19,-6.88,2.71,189,0.19,0.0,0.62,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-20,2.96,3.78,195,0.0,0.0,0.2,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-21,7.3,3.96,189,0.08,0.0,0.23,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-22,5.57,2.55,77,0.81,0.01,0.35,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-23,1.71,4.17,117,0.52,0.07,0.51,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-24,-3.45,9.6,108,0.99,0.15,0.65,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-25,-4.56,4.54,178,0.42,0.01,0.48,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-26,2.76,7.35,184,0.46,0.01,0.44,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-27,5.12,6.12,204,0.0,0.0,0.33,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-28,7.03,4.77,193,0.37,0.0,0.28,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-02-29,4.97,3.78,136,0.87,0.02,0.4,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-01,-0.24,4.0,194,0.63,0.05,0.62,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-02,5.28,8.1,210,0.02,0.0,0.34,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-03,6.89,5.92,220,0.01,0.0,0.28,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-04,5.24,5.24,218,0.06,0.0,0.37,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-05,8.34,3.96,220,0.18,0.0,0.27,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-06,12.19,2.56,222,0.59,0.0,0.13,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-07,12.94,1.51,178,0.55,0.0,0.21,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-08,6.96,2.9,206,0.71,0.29,0.58,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-09,9.45,4.13,189,0.78,0.01,0.4,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-10,9.13,5.23,199,0.18,0.0,0.36,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-11,7.09,5.09,151,0.53,0.0,0.46,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-12,-0.39,4.61,72,0.94,0.11,0.62,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-13,-2.12,6.78,172,0.92,0.07,0.86,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-14,1.46,6.46,234,0.82,0.0,0.78,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-15,3.31,0.45,204,0.5,0.0,0.77,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-16,2.74,4.12,174,0.87,0.0,0.77,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-17,6.63,0.86,240,0.36,0.0,0.65,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-18,3.42,5.93,43,1.0,0.75,0.9,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-19,-6.9,1.61,206,0.93,0.12,0.76,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-20,0.34,4.16,257,0.21,0.01,0.55,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-21,6.15,3.83,209,0.46,0.01,0.43,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-22,8.09,3.55,253,0.12,0.0,0.33,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-23,9.94,5.32,241,0.39,0.0,0.34,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-24,10.5,3.51,259,0.47,0.0,0.37,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-25,5.85,2.29,210,0.59,0.01,0.65,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-26,4.2,1.92,149,0.58,0.05,0.69,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-27,2.65,7.56,207,0.95,0.75,0.77,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-28,4.84,4.74,265,0.31,0.0,0.44,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-29,6.65,0.48,232,0.77,0.01,0.4,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-30,10.33,4.46,253,0.25,0.01,0.32,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-03-31,11.95,1.61,248,0.29,0.0,0.32,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-01,-3.02,7.03,148,0.9,0.08,0.71,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-02,-6.34,2.2,291,0.23,0.0,0.58,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-03,2.76,5.5,280,0.28,0.0,0.4,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-04,10.07,4.52,262,0.52,0.0,0.35,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-05,14.05,2.61,277,0.26,0.0,0.28,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-06,14.94,5.41,279,0.07,0.0,0.19,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-07,13.43,4.72,273,0.08,0.0,0.26,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-08,6.81,2.95,299,0.0,0.0,0.38,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-09,11.06,1.05,281,0.16,0.03,0.27,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-10,13.76,3.11,252,0.66,0.02,0.28,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-11,-1.15,7.47,230,0.99,0.35,0.65,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-12,-6.12,3.41,262,0.72,0.02,0.55,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-13,-2.81,4.51,283,0.48,0.0,0.4,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-14,3.81,2.5,234,0.79,0.01,0.44,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-15,-0.38,5.35,145,0.97,0.46,0.74,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-16,-3.4,3.94,319,0.11,0.01,0.57,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-17,6.31,4.02,314,0.27,0.0,0.36,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-18,8.43,2.09,304,0.29,0.0,0.46,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-19,9.73,4.26,281,0.29,0.0,0.37,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-20,12.01,1.79,311,0.12,0.0,0.3,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-21,14.22,2.82,305,0.24,0.0,0.26,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-22,14.19,5.75,296,0.43,0.01,0.28,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-23,9.17,6.56,267,0.67,0.22,0.61,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-24,8.96,3.21,300,0.54,0.01,0.42,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-25,13.74,2.82,276,0.77,0.0,0.32,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-26,16.09,4.88,305,0.31,0.0,0.32,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-27,15.53,6.0,286,0.53,0.04,0.35,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-28,11.85,5.57,333,0.06,0.0,0.22,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-29,17.22,2.83,303,0.66,0.0,0.22,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-04-30,21.87,3.2,315,0.53,0.0,0.23,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-05-01,12.68,2.3,118,0.97,0.34,0.69,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-05-02,12.87,3.01,268,0.5,0.2,0.67,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-05-03,12.16,4.02,276,0.61,0.35,0.63,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-05-04,8.77,3.73,324,0.15,0.0,0.48,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-05-05,10.53,1.17,320,0.34,0.0,0.41,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-05-06,12.14,1.86,332,0.08,0.0,0.37,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-05-07,6.89,2.54,316,0.52,0.0,0.55,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-05-08,8.17,2.65,306,0.4,0.01,0.48,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
2020-05-09,6.98,0.74,302,0.39,0.0,0.42,Kimball,Nebraska,31105,NE,3633,41.1978,-103.7149
