date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-0.74,1.94,137,0.6,0.04,0.79,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-01-22,-4.06,1.68,153,0.19,0.0,0.78,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-01-23,-5.04,0.94,143,0.36,0.0,0.77,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-01-24,-4.62,0.96,156,0.19,0.0,0.77,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-01-25,-4.56,1.01,153,0.46,0.0,0.76,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-01-26,-3.7,1.04,104,0.73,0.17,0.83,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-01-27,-5.2,1.68,169,0.05,0.0,0.69,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-01-28,-5.73,0.23,138,0.94,0.0,0.76,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-01-29,-6.26,1.0,165,0.37,0.0,0.73,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-01-30,-6.55,1.87,169,0.1,0.0,0.66,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-01-31,-3.36,1.54,172,0.42,0.0,0.66,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-02-01,-1.67,0.82,179,0.09,0.0,0.6,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-02-02,-1.37,0.58,106,0.47,0.15,0.7,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-02-03,-8.28,1.44,148,0.84,0.05,0.73,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-02-04,-14.13,0.81,186,0.17,0.0,0.74,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-02-05,-10.23,2.26,140,0.32,0.03,0.73,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-02-06,-0.82,3.83,146,0.86,0.03,0.72,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-02-07,-0.22,1.49,187,0.15,0.0,0.72,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-02-08,-0.78,0.6,164,0.41,0.0,0.69,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
2020-02-09,-0.27,0.55,147,0.92,0.1,0.78,La Plata,Colorado,8067,CO,55617,37.2866,-107.8433
