date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,1.67,4.19,154,0.02,0.0,0.56,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-01-22,4.42,2.92,94,0.69,0.0,0.73,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-01-23,10.82,2.5,98,0.76,0.03,0.8,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-01-24,14.62,2.53,131,0.61,1.01,0.77,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-01-25,7.65,3.17,154,0.33,0.0,0.57,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-01-26,6.78,2.02,141,0.52,0.0,0.65,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-01-27,8.18,2.69,140,0.55,0.05,0.62,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-01-28,4.77,1.46,146,0.48,0.0,0.62,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-01-29,6.0,2.56,138,0.82,0.0,0.61,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-01-30,5.84,2.63,110,0.52,0.02,0.7,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-01-31,7.45,2.38,41,1.0,0.71,0.87,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-02-01,8.71,4.07,165,0.14,0.0,0.63,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-02-02,15.48,4.09,156,0.54,0.0,0.44,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-02-03,17.17,4.2,138,0.78,0.0,0.57,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
2020-02-04,18.32,3.7,88,1.0,0.04,0.73,Martin,North Carolina,37117,NC,22849,35.8432,-77.1092
