date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,11.32,5.34,48,1.0,0.16,0.75,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-01-22,12.42,2.18,178,0.03,0.0,0.66,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-01-23,10.36,0.48,178,0.04,0.0,0.54,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-01-24,12.17,4.89,103,0.74,0.0,0.6,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-01-25,15.66,2.22,176,0.43,0.0,0.68,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-01-26,13.94,2.7,178,0.0,0.0,0.6,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-01-27,14.87,3.56,154,0.5,0.36,0.65,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-01-28,8.93,4.98,190,0.04,0.0,0.56,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-01-29,5.98,2.39,124,0.65,0.0,0.75,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-01-30,7.75,1.42,171,0.44,0.0,0.64,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-01-31,10.31,3.46,194,0.02,0.0,0.4,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-01,13.14,4.14,190,0.55,0.0,0.27,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-02,17.1,5.83,86,0.74,0.0,0.46,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-03,16.82,1.14,176,0.59,0.01,0.69,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-04,2.94,5.92,56,0.88,0.05,0.75,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-05,1.86,4.97,203,0.26,0.0,0.54,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-06,9.86,3.7,200,0.24,0.0,0.36,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-07,10.85,2.86,183,0.14,0.0,0.51,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-08,18.94,6.22,87,0.84,0.02,0.78,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-09,13.89,1.82,33,0.99,0.12,0.76,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-10,4.95,4.48,23,1.0,0.38,0.86,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-11,7.01,2.58,163,0.78,0.46,0.8,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-12,7.63,3.05,212,0.0,0.0,0.62,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-13,5.04,2.85,214,0.19,0.0,0.7,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-14,9.69,4.15,193,0.43,0.0,0.65,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-15,15.07,3.92,188,0.88,0.0,0.63,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-16,18.86,4.69,196,0.73,0.0,0.6,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-17,16.39,1.13,32,0.87,0.03,0.78,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-18,8.09,3.49,26,1.0,0.24,0.78,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-19,6.85,5.03,79,0.94,0.16,0.84,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-20,4.99,3.31,216,0.44,0.0,0.64,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-21,9.84,3.52,201,0.77,0.0,0.54,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-22,13.61,4.72,67,0.97,0.0,0.72,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-23,15.78,3.37,202,0.87,0.0,0.55,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-24,11.52,2.34,217,0.19,0.0,0.5,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-25,7.04,7.13,240,0.19,0.0,0.36,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-26,5.47,2.23,245,0.0,0.0,0.32,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-27,10.99,2.64,243,0.19,0.0,0.25,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-28,15.46,4.61,234,0.65,0.0,0.26,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-02-29,17.72,5.35,197,0.86,0.0,0.49,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-03-01,18.34,3.11,122,0.86,0.0,0.62,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-03-02,18.18,0.42,103,1.0,0.0,0.64,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-03-03,15.24,4.9,67,0.94,1.66,0.86,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-03-04,13.1,4.09,244,0.44,0.06,0.59,Mason,Texas,48319,TX,4186,30.7177,-99.2261
2020-03-05,13.7,2.67,253,0.59,0.0,0.45,Mason,Texas,48319,TX,4186,30.7177,-99.2261
