date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-5.25,2.38,80,0.4,0.0,0.85,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-01-22,-5.45,1.89,56,0.96,0.03,0.9,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-01-23,-7.19,2.37,71,0.91,0.0,0.93,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-01-24,-5.73,3.27,59,0.85,0.02,0.9,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-01-25,-1.86,2.99,44,0.81,0.08,0.92,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-01-26,-4.92,0.62,44,0.98,0.01,0.93,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-01-27,-3.58,1.4,89,0.82,0.0,0.94,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-01-28,-4.8,1.18,61,0.76,0.01,0.95,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-01-29,-5.07,2.18,59,0.9,0.01,0.95,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-01-30,-4.89,2.7,78,0.85,0.05,0.86,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-01-31,0.1,4.13,100,0.66,0.0,0.73,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-01,2.57,7.57,99,0.4,0.0,0.63,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-02,-6.12,4.11,102,0.73,0.0,0.62,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-03,-8.33,0.42,117,0.5,0.0,0.71,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-04,-5.96,4.27,117,0.05,0.0,0.59,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-05,-6.84,1.93,76,0.93,0.04,0.73,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-06,-13.55,0.95,114,0.4,0.0,0.6,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-07,-4.33,1.19,108,0.66,0.0,0.73,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-08,-3.17,1.86,104,0.58,0.01,0.74,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-09,-3.8,4.61,104,0.89,0.02,0.67,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-10,-4.7,4.56,113,0.41,0.0,0.64,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-11,-11.43,4.53,135,0.74,0.08,0.63,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-12,-19.27,1.41,140,0.0,0.0,0.51,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-13,-8.88,5.22,114,0.45,0.0,0.51,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-14,-3.65,4.93,120,0.65,0.05,0.73,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-15,-6.59,3.01,104,0.9,0.02,0.66,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-16,-3.79,2.33,105,0.73,0.07,0.81,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-17,-13.22,4.52,147,0.66,0.02,0.65,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-18,-18.6,2.18,155,0.0,0.0,0.56,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-19,-12.16,3.86,153,0.0,0.0,0.54,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-20,-2.15,4.61,154,0.0,0.0,0.5,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-21,-0.83,4.08,154,0.0,0.0,0.46,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-22,0.65,5.44,154,0.2,0.0,0.55,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-23,-1.35,2.28,84,0.92,0.03,0.63,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-24,-3.67,2.63,105,0.92,0.02,0.7,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-25,-6.26,0.73,140,0.5,0.0,0.66,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-26,-3.16,1.18,126,0.68,0.01,0.71,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-27,-0.14,1.88,164,0.34,0.01,0.72,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-28,2.0,3.47,154,0.44,0.0,0.66,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-02-29,0.67,7.52,114,0.71,0.01,0.66,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-01,-2.44,4.84,109,0.57,0.0,0.64,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-02,0.97,5.88,154,0.42,0.0,0.65,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-03,2.19,3.55,133,0.68,0.03,0.71,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-04,1.86,7.19,114,0.71,0.06,0.68,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-05,2.19,5.51,183,0.23,0.0,0.61,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-06,4.51,2.62,184,0.48,0.0,0.68,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-07,-1.65,3.75,90,0.93,0.0,0.86,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-08,-5.48,1.19,181,0.66,0.0,0.72,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-09,-1.02,1.22,153,0.29,0.01,0.64,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-10,3.22,3.65,163,0.86,0.0,0.65,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-11,1.6,6.49,147,0.8,0.05,0.65,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-12,-4.45,4.16,202,0.37,0.0,0.57,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-13,-6.65,5.28,169,0.94,0.0,0.58,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-14,-5.07,5.3,71,1.0,0.17,0.78,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-15,-4.3,3.96,209,0.55,0.05,0.75,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-16,-4.8,2.8,223,0.07,0.0,0.58,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-17,-2.1,2.8,85,0.81,0.02,0.75,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-18,-8.99,5.43,198,0.75,0.21,0.77,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-19,-12.74,1.28,231,0.29,0.0,0.63,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-20,-4.8,4.64,179,0.57,0.01,0.55,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-21,-1.67,0.64,232,0.19,0.0,0.67,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-22,1.77,2.86,223,0.39,0.0,0.64,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-23,5.66,2.93,215,0.79,0.0,0.67,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-24,-0.88,2.54,176,0.87,0.0,0.68,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-25,0.37,2.18,216,0.35,0.0,0.74,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-26,4.26,2.56,236,0.04,0.0,0.67,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-27,4.63,1.25,222,0.18,0.0,0.64,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
2020-03-28,5.46,0.87,238,0.03,0.0,0.6,McLean,North Dakota,38055,ND,9584,47.6069,-101.3218
