date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,2.46,2.38,101,0.84,0.0,0.65,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-01-22,1.88,7.77,98,0.7,0.02,0.66,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-01-23,-1.02,2.8,118,0.44,0.0,0.78,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-01-24,1.36,1.8,126,0.41,0.0,0.67,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-01-25,2.96,3.63,125,0.31,0.0,0.65,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-01-26,-0.93,1.71,82,0.28,0.0,0.78,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-01-27,1.16,2.0,96,0.84,0.06,0.81,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-01-28,-1.35,1.77,91,0.46,0.0,0.74,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-01-29,0.52,3.11,133,0.5,0.01,0.74,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-01-30,0.98,6.46,132,0.37,0.0,0.57,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-01-31,5.1,5.8,138,0.63,0.0,0.49,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-01,11.72,5.17,139,0.57,0.0,0.3,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-02,-1.29,8.95,67,0.62,0.0,0.63,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-03,-6.08,6.01,104,0.98,0.07,0.63,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-04,-6.77,2.31,150,0.5,0.01,0.67,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-05,-4.18,3.88,107,0.36,0.01,0.59,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-06,-1.36,3.99,105,0.73,0.05,0.76,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-07,-1.97,2.41,149,0.15,0.0,0.67,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-08,0.16,4.46,107,0.85,0.03,0.65,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-09,-2.1,2.66,140,0.25,0.0,0.57,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-10,-2.43,3.3,165,0.2,0.0,0.54,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-11,-0.69,3.61,129,0.43,0.0,0.54,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-12,-11.13,1.48,147,0.6,0.0,0.6,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-13,-3.68,6.69,165,0.12,0.0,0.59,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-14,1.93,2.33,173,0.19,0.0,0.47,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-15,2.69,3.2,148,0.52,0.0,0.45,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-16,2.96,2.95,102,0.67,0.04,0.67,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-17,-2.01,2.04,163,0.51,0.01,0.69,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-18,-7.22,4.98,57,0.79,0.13,0.77,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-19,-9.67,2.55,187,0.06,0.0,0.7,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-20,-0.26,4.21,192,0.0,0.0,0.47,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-21,4.3,3.46,190,0.02,0.0,0.32,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-22,4.92,2.2,108,0.72,0.0,0.42,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-23,1.65,1.61,138,0.69,0.0,0.69,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-24,-1.94,7.24,96,1.0,0.25,0.79,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-25,-5.39,2.99,187,0.3,0.0,0.66,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-26,0.83,4.9,142,0.55,0.03,0.66,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-27,3.18,5.13,201,0.07,0.0,0.53,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-28,5.64,3.36,200,0.2,0.0,0.44,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-02-29,4.6,4.51,184,0.47,0.02,0.47,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-01,0.93,2.94,188,0.68,0.03,0.67,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-02,4.61,5.61,200,0.1,0.0,0.43,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-03,6.27,4.24,213,0.01,0.0,0.42,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-04,6.26,7.7,220,0.12,0.0,0.36,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-05,3.59,3.79,216,0.06,0.0,0.42,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-06,9.31,4.14,210,0.57,0.0,0.43,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-07,11.81,1.48,184,0.44,0.0,0.42,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-08,3.49,5.08,193,0.71,0.23,0.73,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-09,6.08,2.65,197,0.54,0.03,0.71,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-10,7.94,2.82,227,0.08,0.0,0.51,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-11,8.55,5.36,214,0.38,0.0,0.43,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-12,-0.46,2.53,66,0.75,0.15,0.62,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-13,-2.07,6.19,114,0.99,0.39,0.93,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-14,-2.11,5.78,125,1.0,0.04,0.96,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-15,0.38,0.71,103,1.0,0.01,0.95,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-16,0.51,2.93,85,0.92,0.0,0.89,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-17,4.75,2.46,154,0.87,0.01,0.9,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-18,4.9,5.59,32,1.0,0.64,0.95,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-19,-7.08,5.37,235,0.64,0.14,0.66,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-20,-1.78,5.11,252,0.09,0.0,0.57,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-21,5.89,3.61,197,0.76,0.0,0.66,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-22,5.92,0.34,209,0.64,0.0,0.69,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-23,10.17,3.44,245,0.22,0.01,0.54,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-24,10.84,1.9,253,0.45,0.02,0.52,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-25,3.58,3.36,159,0.83,0.0,0.83,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-26,5.36,2.14,77,0.75,0.03,0.86,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-27,4.86,6.29,93,0.99,0.54,0.85,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-28,6.55,4.05,261,0.26,0.01,0.5,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-29,6.54,3.59,109,0.63,0.15,0.62,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-30,9.94,3.06,235,0.51,0.02,0.59,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-03-31,11.74,3.74,265,0.27,0.03,0.54,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-04-01,-2.04,8.39,118,0.93,0.08,0.78,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-04-02,-6.53,5.24,286,0.46,0.03,0.67,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-04-03,0.19,4.52,289,0.18,0.0,0.59,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-04-04,6.18,6.55,279,0.25,0.0,0.56,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-04-05,11.94,2.86,264,0.33,0.02,0.64,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-04-06,16.0,4.58,286,0.07,0.0,0.33,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-04-07,12.18,4.88,286,0.11,0.0,0.36,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-04-08,5.57,4.47,291,0.03,0.0,0.42,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
2020-04-09,5.2,3.07,295,0.02,0.0,0.4,McPherson,Nebraska,31117,NE,395,41.5682,-101.0605
