date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-5.15,2.81,112,0.56,0.0,0.62,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-01-22,0.73,2.97,69,0.99,0.0,0.49,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-01-23,4.84,4.44,17,0.99,0.55,0.63,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-01-24,4.65,2.9,75,0.86,0.35,0.88,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-01-25,0.86,4.71,49,0.99,0.11,0.87,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-01-26,1.0,3.45,40,0.96,0.11,0.86,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-01-27,0.89,2.97,39,0.98,0.06,0.86,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-01-28,-0.63,1.67,79,0.86,0.01,0.77,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-01-29,-1.46,0.75,92,0.97,0.0,0.73,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-01-30,-0.71,0.2,76,0.97,0.01,0.73,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-01-31,-0.73,0.61,71,0.93,0.02,0.79,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-01,4.16,4.62,124,0.65,0.08,0.73,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-02,7.95,2.38,120,0.56,0.0,0.65,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-03,8.71,1.48,20,1.0,0.11,0.68,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-04,-0.65,4.03,111,0.94,0.1,0.72,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-05,-1.5,3.05,16,1.0,0.51,0.92,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-06,-2.1,4.61,86,0.98,0.22,0.82,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-07,-1.84,3.18,88,0.77,0.07,0.78,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-08,0.41,2.88,88,0.8,0.06,0.78,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-09,3.71,2.1,43,1.0,0.56,0.86,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-10,1.52,1.67,96,0.94,0.02,0.78,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-11,-0.08,1.97,92,0.95,0.02,0.67,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-12,-0.19,1.86,71,0.99,0.66,0.87,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-13,-8.16,3.65,151,0.93,0.07,0.73,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-14,-8.48,3.64,139,0.39,0.0,0.6,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-15,2.71,3.34,138,0.78,0.01,0.59,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-16,1.13,0.48,150,0.41,0.0,0.69,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-17,6.77,2.26,51,0.99,0.4,0.73,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-18,-0.67,3.67,172,0.28,0.0,0.66,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-19,-4.57,2.96,123,0.9,0.0,0.59,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-20,-5.71,2.29,185,0.22,0.0,0.54,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-21,0.57,4.61,190,0.01,0.0,0.41,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-22,4.19,4.27,180,0.2,0.0,0.39,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-23,6.24,3.34,102,0.55,0.01,0.52,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-24,5.55,2.3,78,0.99,0.43,0.84,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-25,2.19,1.66,44,1.0,0.33,0.94,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-26,-3.71,7.17,125,0.9,0.19,0.71,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-27,-4.68,5.69,162,0.59,0.01,0.61,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-28,-4.74,5.01,134,0.77,0.01,0.61,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-02-29,-0.52,3.08,190,0.33,0.0,0.47,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-03-01,8.57,5.17,32,0.96,0.18,0.63,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-03-02,9.07,2.83,58,0.9,0.32,0.88,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-03-03,4.75,4.08,112,0.43,0.07,0.68,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-03-04,3.45,0.92,205,0.32,0.0,0.58,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-03-05,3.06,2.75,123,0.56,0.12,0.75,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-03-06,0.44,3.82,213,0.65,0.02,0.64,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-03-07,6.25,4.15,216,0.15,0.0,0.43,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-03-08,14.07,5.44,167,0.67,0.0,0.35,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-03-09,11.79,3.43,46,1.0,0.37,0.67,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
2020-03-10,3.21,0.36,132,0.73,0.02,0.85,Medina,Ohio,39103,OH,177980,41.1176,-81.8997
