date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-7.48,2.29,118,0.44,0.0,0.69,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-01-22,-1.27,2.25,72,1.0,0.0,0.51,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-01-23,3.97,4.1,23,0.96,0.4,0.6,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-01-24,4.59,2.44,58,0.92,1.03,0.91,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-01-25,0.72,4.01,46,0.98,0.15,0.86,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-01-26,0.51,3.35,41,0.98,0.17,0.87,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-01-27,0.09,3.06,39,0.97,0.06,0.85,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-01-28,-1.48,1.83,73,0.88,0.01,0.76,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-01-29,-2.62,0.69,94,0.84,0.0,0.69,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-01-30,-0.48,0.47,62,0.96,0.02,0.73,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-01-31,-0.6,0.86,104,0.88,0.02,0.78,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-02-01,2.19,3.73,76,0.8,0.17,0.79,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-02-02,7.35,2.61,133,0.54,0.0,0.66,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-02-03,8.75,2.19,25,1.0,0.04,0.74,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-02-04,-0.27,2.79,108,0.97,0.13,0.71,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
2020-02-05,-0.28,1.51,10,1.0,0.7,0.93,Mercer,Pennsylvania,42085,PA,111518,41.3022,-80.2577
