date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,11.57,5.53,145,0.74,0.06,0.67,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-01-22,9.34,2.95,172,0.08,0.0,0.59,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-01-23,7.67,0.99,173,0.2,0.0,0.54,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-01-24,11.9,3.91,169,0.41,0.0,0.56,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-01-25,10.79,1.28,178,0.02,0.0,0.53,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-01-26,12.38,2.62,177,0.13,0.0,0.5,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-01-27,12.07,4.87,75,0.61,0.0,0.45,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-01-28,5.79,3.33,184,0.05,0.0,0.59,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-01-29,3.9,1.86,145,0.61,0.01,0.71,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-01-30,5.41,1.55,179,0.29,0.0,0.62,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-01-31,8.38,3.72,189,0.0,0.0,0.38,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-01,12.49,4.48,178,0.47,0.0,0.26,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-02,16.31,6.45,117,0.83,0.0,0.29,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-03,11.24,0.71,161,0.64,0.0,0.67,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-04,-1.71,5.81,82,0.99,0.36,0.81,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-05,-2.6,3.67,200,0.13,0.0,0.7,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-06,5.55,2.22,195,0.32,0.0,0.54,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-07,7.3,2.95,196,0.14,0.0,0.56,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-08,17.84,6.13,164,0.64,0.0,0.61,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-09,7.49,4.97,49,0.96,0.33,0.58,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-10,2.27,5.44,38,0.98,0.11,0.87,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-11,4.62,2.27,192,0.59,0.17,0.74,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-12,4.4,2.62,206,0.12,0.0,0.67,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-13,3.03,3.14,202,0.17,0.0,0.7,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-14,10.32,4.89,194,0.52,0.0,0.58,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-15,13.79,3.72,212,0.22,0.0,0.5,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-16,16.12,4.02,194,0.53,0.0,0.31,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-17,11.17,5.21,179,0.89,0.0,0.53,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-18,6.35,3.55,79,0.97,0.0,0.61,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-19,6.12,5.33,138,0.9,0.26,0.73,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-20,2.37,1.71,200,0.36,0.0,0.63,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-21,9.35,4.42,158,0.81,0.0,0.53,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-22,12.55,4.71,90,0.85,0.01,0.64,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-23,14.46,5.48,226,0.18,0.0,0.35,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-24,10.37,4.05,221,0.15,0.0,0.38,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-25,3.92,6.82,237,0.06,0.0,0.4,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-26,5.67,3.35,240,0.0,0.0,0.31,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-27,9.97,0.89,240,0.14,0.0,0.31,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-28,14.33,4.33,223,0.6,0.0,0.27,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-02-29,17.91,5.89,195,0.7,0.0,0.37,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-03-01,18.17,4.02,184,0.99,0.0,0.29,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-03-02,16.5,1.5,121,0.99,0.07,0.49,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-03-03,10.95,6.09,36,0.94,1.55,0.73,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-03-04,10.11,3.16,243,0.1,0.05,0.64,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
2020-03-05,11.84,3.01,249,0.41,0.0,0.44,Mitchell,Texas,48335,TX,8523,32.3062,-100.9211
