date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,4.34,4.66,118,0.84,0.29,0.78,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-01-22,3.97,5.82,120,0.46,0.0,0.58,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-01-23,0.41,2.95,140,0.15,0.0,0.74,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-01-24,0.85,1.56,104,0.63,0.0,0.78,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-01-25,4.74,2.35,143,0.13,0.0,0.63,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-01-26,2.3,1.39,123,0.32,0.0,0.68,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-01-27,-0.26,2.81,60,0.99,0.42,0.89,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-01-28,-2.99,1.6,145,0.37,0.0,0.92,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-01-29,-0.15,3.13,153,0.55,0.0,0.83,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-01-30,2.67,4.11,158,0.16,0.0,0.62,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-01-31,4.26,2.98,151,0.47,0.0,0.48,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-01,11.35,3.43,159,0.44,0.0,0.39,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-02,5.23,1.46,74,0.87,0.01,0.59,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-03,-3.41,5.98,61,0.89,0.03,0.62,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-04,-4.63,3.68,164,0.43,0.01,0.59,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-05,-3.38,2.12,166,0.13,0.0,0.49,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-06,2.52,4.71,136,0.56,0.0,0.55,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-07,2.54,2.71,163,0.35,0.0,0.57,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-08,4.28,1.7,166,0.5,0.0,0.59,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-09,-1.21,0.65,124,0.88,0.01,0.67,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-10,1.2,0.63,158,0.66,0.0,0.56,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-11,1.5,1.16,96,0.81,0.02,0.64,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-12,-7.27,4.11,132,0.48,0.01,0.56,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-13,-5.66,4.97,181,0.02,0.0,0.6,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-14,3.07,0.65,182,0.37,0.0,0.61,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-15,2.83,2.21,157,0.71,0.0,0.67,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-16,7.31,1.17,175,0.7,0.0,0.63,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-17,2.62,3.58,178,0.74,0.02,0.57,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-18,0.15,2.85,56,0.8,0.05,0.63,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-19,-5.79,3.71,193,0.65,0.16,0.75,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-20,-2.19,4.39,202,0.0,0.0,0.68,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-21,4.23,3.16,168,0.74,0.0,0.69,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-22,5.83,1.65,115,0.61,0.19,0.8,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-23,6.23,4.83,169,0.79,0.76,0.77,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-24,1.72,6.0,83,0.7,0.25,0.77,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-25,-2.16,5.4,196,0.38,0.02,0.64,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-26,1.93,3.21,176,0.36,0.01,0.53,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-27,4.76,3.53,213,0.02,0.0,0.54,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-28,8.31,3.76,215,0.14,0.0,0.44,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-02-29,8.58,1.21,205,0.44,0.0,0.46,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-01,4.75,2.03,211,0.45,0.0,0.57,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-02,6.15,1.79,222,0.0,0.0,0.45,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-03,7.77,1.69,222,0.27,0.0,0.41,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-04,8.68,2.94,229,0.02,0.0,0.33,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-05,6.66,3.33,227,0.02,0.0,0.37,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-06,13.05,8.37,226,0.63,0.0,0.33,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-07,14.51,8.53,192,0.37,0.0,0.44,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-08,9.45,0.82,151,0.8,0.06,0.81,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-09,7.68,2.87,224,0.43,0.02,0.71,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-10,11.55,1.24,232,0.26,0.12,0.62,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-11,13.46,1.88,212,0.75,0.0,0.5,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-12,4.5,3.95,77,0.98,0.14,0.61,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-13,1.39,3.79,100,1.0,0.35,0.87,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-14,1.23,3.3,63,1.0,0.02,0.89,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-15,4.85,2.46,70,0.99,0.02,0.88,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-16,4.58,2.91,32,1.0,0.05,0.89,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-17,11.04,3.25,177,0.96,0.08,0.82,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-18,16.3,5.48,236,0.64,0.01,0.53,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-19,1.44,6.48,260,0.42,0.01,0.53,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-20,0.8,3.68,220,0.47,0.0,0.52,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-21,6.55,2.89,175,0.78,0.08,0.71,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
2020-03-22,8.37,1.99,201,0.38,0.02,0.79,Ness,Kansas,20135,KS,2876,38.4794,-99.9161
