date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,2.42,4.91,145,0.23,0.0,0.63,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-01-22,5.75,3.55,90,0.71,0.0,0.78,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-01-23,10.99,2.66,83,0.75,0.02,0.8,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-01-24,14.14,2.66,114,0.65,0.52,0.77,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-01-25,7.92,3.43,148,0.3,0.0,0.61,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-01-26,6.87,2.9,143,0.36,0.0,0.64,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-01-27,7.97,3.34,127,0.65,0.02,0.6,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-01-28,5.02,1.87,140,0.54,0.0,0.65,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-01-29,5.31,3.27,121,0.83,0.01,0.67,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-01-30,6.67,3.53,110,0.55,0.01,0.74,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-01-31,8.06,3.19,56,0.99,0.71,0.85,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-02-01,8.36,4.24,163,0.17,0.01,0.66,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-02-02,14.39,4.81,159,0.48,0.0,0.48,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-02-03,16.32,4.77,124,0.8,0.01,0.59,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-02-04,16.43,3.78,81,0.99,0.17,0.78,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-02-05,15.97,3.7,46,1.0,0.49,0.89,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
2020-02-06,16.58,6.13,154,0.72,1.61,0.68,Pasquotank,North Carolina,37139,NC,39514,36.2955,-76.28399999999999
