date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-3.32,4.95,24,1.0,0.27,0.8,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-01-22,-0.62,1.84,45,1.0,0.22,0.89,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-01-23,-0.92,2.45,45,0.98,0.08,0.88,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-01-24,0.52,3.64,45,0.99,0.03,0.85,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-01-25,-2.6,2.17,61,0.69,0.0,0.83,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-01-26,-2.88,1.6,43,0.99,0.01,0.85,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-01-27,-5.67,1.92,73,0.96,0.01,0.83,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-01-28,-6.9,0.57,73,1.0,0.0,0.78,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-01-29,-5.78,1.33,59,1.0,0.01,0.79,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-01-30,-2.21,2.36,75,0.96,0.04,0.84,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-01-31,0.34,2.9,107,0.75,0.01,0.8,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-01,4.35,4.68,120,0.52,0.0,0.67,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-02,0.36,2.91,96,0.73,0.0,0.72,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-03,-6.83,3.9,124,0.76,0.0,0.58,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-04,-10.01,1.62,126,0.53,0.0,0.66,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-05,-7.71,1.91,137,0.16,0.0,0.59,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-06,-4.8,1.19,110,0.86,0.01,0.64,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-07,-7.71,1.84,118,0.76,0.02,0.71,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-08,-8.88,0.94,60,0.81,0.48,0.74,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-09,-10.36,1.7,143,0.46,0.0,0.78,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-10,-5.16,3.9,108,0.59,0.0,0.75,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-11,-3.27,3.67,92,0.49,0.02,0.73,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-12,-16.9,4.81,156,0.64,0.02,0.6,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-13,-20.14,2.56,159,0.07,0.0,0.61,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-14,-6.32,4.18,125,0.57,0.0,0.64,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-15,-6.06,1.63,133,0.49,0.0,0.65,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-16,-2.9,3.21,116,0.89,0.01,0.65,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-17,-3.87,4.27,103,0.96,0.14,0.76,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-18,-13.43,3.01,168,0.22,0.0,0.61,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-19,-16.76,2.31,173,0.02,0.0,0.61,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-20,-8.21,4.7,172,0.0,0.0,0.66,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-21,-1.14,3.19,163,0.3,0.0,0.75,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-22,1.56,3.45,172,0.02,0.0,0.7,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-23,0.07,2.19,169,0.79,0.0,0.69,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-24,-0.15,4.19,118,0.98,0.0,0.63,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-25,-2.84,2.99,107,0.97,0.03,0.62,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-26,-5.68,2.75,167,0.8,0.01,0.61,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-27,-7.32,2.67,191,0.39,0.0,0.51,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-28,-5.47,2.15,184,0.02,0.0,0.6,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-02-29,2.93,2.78,183,0.8,0.0,0.67,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-01,1.69,3.82,156,0.72,0.0,0.67,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-02,1.43,3.68,154,0.66,0.05,0.7,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-03,0.67,3.0,194,0.23,0.0,0.64,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-04,2.99,3.47,87,0.96,0.14,0.72,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-05,-1.21,3.78,203,0.46,0.01,0.6,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-06,3.04,4.48,192,0.3,0.0,0.48,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-07,9.41,5.46,193,0.36,0.0,0.49,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-08,5.68,1.9,57,0.91,0.02,0.74,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-09,1.04,1.68,159,0.45,0.01,0.66,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-10,2.41,0.73,138,0.91,0.02,0.78,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-11,5.05,2.28,76,0.96,0.23,0.82,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-12,0.97,5.98,210,0.48,0.0,0.58,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-13,-1.71,2.26,136,0.9,0.0,0.57,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-14,-1.02,1.47,206,0.44,0.0,0.6,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-15,0.88,2.69,86,0.88,0.03,0.74,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-16,1.43,3.57,228,0.3,0.0,0.56,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-17,3.37,2.42,49,0.99,0.07,0.74,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-18,3.83,1.59,14,1.0,0.61,0.92,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-19,-0.53,5.8,166,0.93,0.2,0.68,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-20,-2.63,1.86,235,0.26,0.0,0.48,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-21,0.85,4.48,165,0.85,0.01,0.64,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-22,2.21,2.14,107,0.97,0.07,0.77,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-23,4.86,2.61,119,0.78,0.0,0.78,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-24,6.29,2.26,52,0.79,0.21,0.85,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-25,5.07,1.56,187,0.9,0.2,0.76,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-26,6.77,1.64,205,0.82,0.0,0.68,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-27,8.01,4.33,56,0.98,0.44,0.78,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-28,4.69,3.22,61,0.99,0.89,0.89,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-29,6.77,2.84,246,0.68,0.02,0.58,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-30,6.14,3.1,253,0.05,0.0,0.54,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-03-31,6.44,3.09,252,0.22,0.0,0.59,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-01,10.36,4.59,173,0.67,0.0,0.58,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-02,5.44,1.6,24,0.93,0.42,0.8,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-03,-0.33,3.13,272,0.15,0.02,0.63,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-04,5.17,1.14,275,0.15,0.0,0.47,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-05,9.09,3.07,158,0.61,0.0,0.51,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-06,12.14,1.23,138,0.77,0.04,0.78,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-07,10.94,2.63,201,0.35,0.0,0.53,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-08,3.59,6.21,256,0.4,0.02,0.54,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-09,3.06,3.79,243,0.67,0.0,0.5,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-10,7.28,1.66,229,0.85,0.0,0.45,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-11,4.79,4.72,43,0.98,0.79,0.63,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-12,-1.42,5.6,282,0.6,0.14,0.67,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-13,-4.07,4.32,258,0.42,0.03,0.72,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-14,-4.7,2.99,230,0.62,0.01,0.59,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-15,-0.48,3.24,266,0.36,0.0,0.5,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
2020-04-16,3.76,2.86,240,0.87,0.0,0.46,Pepin,Wisconsin,55091,WI,7265,44.5829,-92.0016
