date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,2.18,6.35,80,0.67,0.0,0.59,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-01-22,1.42,3.4,78,0.57,0.0,0.65,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-01-23,4.45,3.02,77,0.77,0.0,0.7,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-01-24,4.19,6.35,85,0.3,0.0,0.56,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-01-25,-0.53,1.16,80,0.31,0.01,0.78,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-01-26,2.21,3.43,78,0.86,0.0,0.66,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-01-27,0.87,3.11,70,0.66,0.0,0.58,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-01-28,1.72,3.91,91,0.45,0.0,0.65,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-01-29,3.19,5.67,98,0.55,0.0,0.49,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-01-30,5.68,4.53,43,0.85,0.01,0.46,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-01-31,10.77,11.08,89,0.84,0.03,0.38,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-01,-0.7,3.61,74,0.83,0.09,0.65,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-02,-7.39,1.41,94,0.51,0.01,0.63,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-03,-7.75,2.9,110,0.3,0.01,0.68,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-04,-0.96,8.87,103,0.62,0.0,0.55,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-05,2.33,5.86,93,0.89,0.02,0.57,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-06,-1.19,0.24,97,0.83,0.04,0.69,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-07,-1.33,1.34,54,0.82,0.08,0.77,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-08,-5.14,3.9,91,0.45,0.01,0.66,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-09,-1.12,4.43,108,0.63,0.07,0.6,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-10,-0.34,7.29,99,0.57,0.0,0.58,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-11,-4.44,2.33,87,0.93,0.11,0.73,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-12,-4.23,2.42,122,0.5,0.0,0.66,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-13,1.47,6.01,124,0.31,0.01,0.52,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-14,-0.46,5.82,113,0.37,0.0,0.58,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-15,0.74,4.67,126,0.44,0.02,0.57,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-16,-2.84,2.79,103,0.74,0.06,0.62,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-17,-10.33,1.38,98,0.85,0.05,0.77,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-18,-8.18,1.75,142,0.06,0.0,0.63,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-19,-3.04,3.71,149,0.0,0.0,0.5,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-20,3.11,6.04,152,0.0,0.0,0.27,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-21,3.83,5.93,139,0.35,0.0,0.39,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-22,0.47,1.13,130,0.64,0.0,0.67,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-23,-0.19,3.94,83,0.87,0.1,0.66,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-24,-3.75,1.02,141,0.74,0.02,0.75,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-25,2.13,5.69,149,0.58,0.0,0.59,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-26,3.5,7.56,152,0.29,0.0,0.52,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-27,7.42,6.87,157,0.42,0.0,0.47,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-28,5.39,6.09,163,0.32,0.01,0.45,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-02-29,-0.71,3.44,133,0.83,0.03,0.66,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-03-01,2.0,10.81,169,0.41,0.0,0.48,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-03-02,5.53,9.52,176,0.37,0.01,0.47,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-03-03,3.97,8.6,156,0.44,0.02,0.45,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-03-04,0.73,2.58,144,0.39,0.0,0.47,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-03-05,6.79,2.7,176,0.56,0.0,0.47,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-03-06,0.56,2.44,144,0.76,0.0,0.71,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
2020-03-07,-5.88,1.03,168,0.73,0.06,0.71,Pondera,Montana,30073,MT,5994,48.2277,-112.2263
