date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-1.82,2.07,99,0.94,0.28,0.85,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-01-22,-4.84,2.04,65,0.86,0.11,0.85,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-01-23,-2.29,0.92,115,0.91,0.04,0.81,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-01-24,-1.9,1.59,100,0.91,0.16,0.84,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-01-25,-3.13,0.67,131,0.68,0.01,0.79,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-01-26,-3.97,0.46,65,0.92,0.22,0.86,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-01-27,-6.04,1.88,126,0.61,0.05,0.8,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-01-28,-5.21,0.24,97,0.82,0.08,0.86,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-01-29,-6.54,1.56,71,0.8,0.16,0.9,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-01-30,-8.56,0.87,122,0.58,0.02,0.77,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-01-31,-2.78,0.46,150,0.84,0.0,0.67,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-01,-1.73,0.81,158,0.1,0.0,0.61,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-02,-1.92,1.35,103,0.47,0.23,0.63,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-03,-11.5,1.39,124,0.92,0.21,0.8,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-04,-16.51,0.95,133,0.84,0.02,0.81,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-05,-10.62,1.38,53,0.99,0.44,0.84,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-06,-4.18,2.11,78,0.99,0.94,0.88,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-07,0.45,2.35,155,0.59,0.15,0.76,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-08,-3.09,1.19,123,0.92,0.14,0.74,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-09,-9.21,0.46,138,0.59,0.02,0.78,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-10,-11.56,0.4,182,0.09,0.0,0.67,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-11,-8.28,1.08,122,0.78,0.05,0.66,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-12,-8.74,2.06,139,0.73,0.1,0.78,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-13,-6.41,0.54,184,0.03,0.0,0.63,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-14,-3.75,1.21,155,0.59,0.01,0.61,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-15,-1.75,0.28,48,1.0,0.31,0.79,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-16,-2.9,2.18,147,0.96,0.56,0.71,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-17,-9.62,0.27,194,0.53,0.02,0.64,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-18,-10.31,0.68,191,0.48,0.0,0.67,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-19,-12.94,0.52,207,0.06,0.0,0.58,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-20,-8.48,0.88,204,0.04,0.0,0.49,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-21,-4.38,0.4,197,0.19,0.0,0.55,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-22,-0.47,0.71,121,0.98,0.18,0.72,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-23,-5.13,2.19,159,0.46,0.14,0.74,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-24,-8.51,2.66,183,0.83,0.08,0.68,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-25,-11.92,0.88,180,0.24,0.0,0.63,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-26,-6.42,1.75,203,0.53,0.01,0.58,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-27,-4.79,0.56,217,0.09,0.0,0.55,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-28,-3.18,0.59,220,0.36,0.0,0.54,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-02-29,-1.24,0.64,169,0.6,0.05,0.62,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-01,-3.63,1.99,187,0.79,0.08,0.81,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-02,-4.47,1.34,216,0.1,0.0,0.67,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-03,-3.36,0.24,232,0.02,0.0,0.6,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-04,-1.81,0.31,233,0.01,0.0,0.58,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-05,-0.07,0.97,234,0.27,0.0,0.56,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-06,2.83,1.0,229,0.47,0.0,0.53,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-07,4.46,1.15,183,0.65,0.05,0.6,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-08,1.53,1.44,208,0.66,0.15,0.75,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-09,2.26,1.11,171,0.9,0.02,0.7,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-10,1.89,1.32,215,0.23,0.0,0.68,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-11,2.58,2.37,218,0.56,0.09,0.75,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-12,-0.06,1.08,165,0.76,0.08,0.85,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-13,1.43,1.46,196,0.67,0.09,0.78,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-14,2.44,1.04,214,0.51,0.0,0.7,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-15,2.23,0.65,251,0.2,0.0,0.65,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-16,2.35,0.51,230,0.91,0.0,0.68,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-17,2.64,1.1,234,0.23,0.05,0.64,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-18,0.24,1.77,92,0.95,0.28,0.85,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-19,-0.79,0.36,205,0.83,0.37,0.84,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-20,-1.37,0.84,226,0.48,0.01,0.7,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-21,1.32,1.65,233,0.69,0.22,0.71,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-22,0.71,0.79,205,0.43,0.08,0.62,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-23,1.9,1.96,229,0.56,0.26,0.73,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-24,3.22,1.57,231,0.59,0.06,0.63,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-25,1.84,1.34,241,0.53,0.03,0.6,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-26,-1.49,1.71,211,0.79,0.36,0.78,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-27,-4.49,2.88,217,0.84,0.09,0.73,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-28,-2.53,0.68,252,0.5,0.01,0.61,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-29,0.39,0.8,252,0.76,0.08,0.69,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-30,2.13,1.78,264,0.31,0.0,0.6,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-03-31,4.55,1.73,267,0.23,0.01,0.53,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-01,-1.49,1.13,181,0.73,0.18,0.78,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-02,-6.62,0.88,295,0.3,0.02,0.77,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-03,-1.82,0.51,296,0.26,0.0,0.58,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-04,3.25,1.23,275,0.37,0.02,0.58,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-05,5.28,1.27,303,0.34,0.0,0.52,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-06,5.58,1.09,305,0.28,0.0,0.48,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-07,4.11,0.52,307,0.05,0.0,0.56,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-08,3.53,0.57,313,0.05,0.0,0.61,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-09,4.38,0.8,293,0.34,0.01,0.61,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-10,3.19,1.12,285,0.46,0.0,0.61,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-11,-1.14,2.51,289,0.72,0.25,0.78,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-12,-6.34,2.09,270,0.74,0.06,0.81,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-13,-7.71,2.62,296,0.54,0.01,0.63,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-14,-2.15,2.08,177,0.95,0.22,0.71,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-15,-2.19,0.43,182,0.94,0.68,0.84,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-16,-3.87,1.29,335,0.24,0.01,0.68,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-17,-0.27,0.14,288,0.49,0.03,0.62,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-18,2.61,0.85,322,0.63,0.0,0.62,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-19,3.06,0.59,305,0.4,0.05,0.66,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-20,3.58,0.1,328,0.08,0.0,0.58,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
2020-04-21,3.85,1.13,329,0.14,0.0,0.59,Routt,Colorado,8107,CO,25072,40.4851,-106.9913
