date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,3.74,3.78,141,0.56,0.02,0.66,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-01-22,1.81,1.32,158,0.16,0.0,0.59,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-01-23,1.7,0.62,164,0.19,0.0,0.59,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-01-24,4.68,3.35,168,0.19,0.0,0.45,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-01-25,3.57,1.33,152,0.39,0.0,0.47,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-01-26,4.2,2.92,134,0.5,0.0,0.53,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-01-27,4.3,3.58,172,0.53,0.15,0.54,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-01-28,1.14,1.58,173,0.06,0.0,0.44,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-01-29,2.18,0.55,170,0.38,0.0,0.49,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-01-30,3.03,2.5,178,0.47,0.01,0.39,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-01-31,4.42,2.24,177,0.29,0.0,0.36,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-01,8.32,1.91,170,0.24,0.0,0.31,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-02,8.11,6.41,166,0.42,0.0,0.33,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-03,-1.36,3.31,69,0.85,0.22,0.65,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-04,-9.64,0.87,190,0.17,0.03,0.68,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-05,-4.83,2.53,192,0.06,0.0,0.46,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-06,2.35,3.07,181,0.22,0.0,0.56,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-07,2.89,1.78,193,0.2,0.0,0.57,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-08,5.49,0.97,185,0.41,0.0,0.43,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-09,2.27,1.69,141,0.94,0.03,0.65,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-10,-2.67,4.05,126,0.97,0.55,0.89,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-11,-5.98,1.09,202,0.5,0.19,0.87,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-12,-4.41,0.65,206,0.6,0.02,0.86,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-13,-4.98,1.86,209,0.14,0.0,0.75,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-14,1.6,3.08,214,0.32,0.0,0.64,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-15,3.39,2.88,208,0.37,0.0,0.52,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-16,6.31,3.16,203,0.19,0.0,0.52,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-17,2.81,2.12,122,0.71,0.01,0.65,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-18,2.89,3.32,164,0.77,0.01,0.67,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-19,-1.28,2.68,158,0.58,0.08,0.71,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-20,0.18,3.33,186,0.62,0.0,0.63,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-21,6.02,2.71,90,0.99,0.0,0.61,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-22,7.53,4.45,190,0.62,0.01,0.64,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-23,4.46,5.01,224,0.17,0.0,0.5,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-24,0.55,2.0,181,0.49,0.08,0.44,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-25,-3.38,0.87,229,0.02,0.0,0.44,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-26,2.28,2.12,236,0.0,0.0,0.33,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-27,4.63,0.65,235,0.18,0.0,0.33,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-28,7.53,4.06,216,0.68,0.0,0.24,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-02-29,7.72,4.51,234,0.08,0.01,0.31,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-01,5.97,3.02,236,0.1,0.0,0.46,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-02,4.95,0.74,236,0.2,0.0,0.37,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-03,6.92,1.44,245,0.43,0.0,0.27,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-04,6.58,0.87,248,0.0,0.0,0.28,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-05,6.59,3.49,240,0.43,0.0,0.42,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-06,8.25,4.4,244,0.55,0.0,0.47,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-07,10.82,4.25,151,0.62,0.05,0.51,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-08,9.09,4.67,247,0.19,0.0,0.51,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-09,10.78,4.52,230,0.38,0.0,0.37,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-10,12.37,4.61,205,0.97,0.0,0.43,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-11,13.76,3.72,200,0.92,0.0,0.44,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-12,7.46,2.05,66,0.99,0.61,0.72,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-13,6.45,2.26,254,0.43,0.04,0.63,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-14,7.14,2.13,135,0.44,0.04,0.64,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-15,8.82,2.64,241,0.71,0.04,0.7,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-16,10.21,3.31,147,0.94,0.04,0.7,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-17,9.98,4.92,177,0.44,0.02,0.53,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-18,7.11,7.2,260,0.38,0.09,0.59,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-19,2.77,0.34,240,0.2,0.0,0.55,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-20,3.85,3.6,211,0.76,0.0,0.72,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-21,7.55,3.85,253,0.8,0.03,0.52,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-22,10.38,2.73,239,0.76,0.0,0.36,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-23,10.82,3.94,285,0.02,0.0,0.3,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-24,12.18,6.13,287,0.03,0.0,0.24,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-25,15.68,6.8,219,0.89,0.0,0.28,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-26,12.89,8.86,250,0.81,0.02,0.38,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-27,5.9,7.23,289,0.12,0.0,0.3,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-28,6.37,2.14,253,0.63,0.0,0.28,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-29,9.5,3.17,274,0.23,0.0,0.23,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-30,8.92,2.57,293,0.29,0.0,0.31,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-03-31,14.15,5.42,257,0.75,0.0,0.22,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-01,14.53,5.5,297,0.06,0.0,0.24,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-02,6.43,1.36,300,0.08,0.0,0.39,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-03,5.89,2.4,280,0.28,0.0,0.48,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-04,11.6,3.97,304,0.09,0.0,0.34,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-05,14.17,5.11,306,0.4,0.0,0.18,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-06,14.5,4.05,315,0.47,0.0,0.16,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-07,14.47,1.86,313,0.03,0.0,0.2,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-08,15.28,2.57,265,0.81,0.0,0.22,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-09,10.31,1.65,256,0.49,0.03,0.53,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-10,12.52,3.69,320,0.02,0.0,0.23,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-11,10.72,1.77,273,0.35,0.03,0.24,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-12,-2.19,3.81,135,0.92,0.41,0.69,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-13,-4.31,1.62,282,0.69,0.1,0.89,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
2020-04-14,-1.96,3.01,343,0.0,0.0,0.46,San Miguel,New Mexico,35047,NM,27738,35.4804,-104.8158
