date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-3.63,1.27,129,0.11,0.0,0.56,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-01-22,-2.18,1.17,101,0.92,0.0,0.54,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-01-23,2.82,1.96,102,0.86,0.0,0.55,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-01-24,4.26,3.42,16,0.99,1.29,0.84,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-01-25,2.64,3.59,84,0.39,0.0,0.78,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-01-26,2.79,3.57,81,0.67,0.01,0.67,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-01-27,2.71,3.58,68,0.9,0.0,0.63,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-01-28,1.74,3.16,130,0.56,0.0,0.53,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-01-29,-2.43,0.9,116,0.54,0.0,0.54,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-01-30,-0.34,1.51,84,0.81,0.0,0.62,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-01-31,2.42,0.35,69,0.8,0.04,0.8,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-02-01,1.34,2.18,52,0.79,0.18,0.85,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-02-02,6.09,2.28,142,0.38,0.03,0.68,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
2020-02-03,8.07,1.93,31,0.97,0.08,0.77,Schuylkill,Pennsylvania,42107,PA,142674,40.7058,-76.21600000000001
