date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-6.1,2.28,90,0.44,0.0,0.84,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-01-22,-5.69,4.88,45,1.0,0.01,0.9,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-01-23,-4.76,2.39,48,0.99,0.02,0.91,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-01-24,-5.43,2.12,70,0.91,0.0,0.89,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-01-25,-6.45,1.68,45,0.8,0.02,0.92,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-01-26,-9.55,2.92,69,1.0,0.01,0.88,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-01-27,-12.41,1.72,61,0.98,0.03,0.87,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-01-28,-8.98,2.91,37,0.98,0.06,0.88,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-01-29,-4.31,2.76,53,0.99,0.04,0.95,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-01-30,-4.15,2.17,70,0.97,0.01,0.91,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-01-31,-2.39,4.41,74,0.84,0.0,0.77,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-02-01,2.55,8.45,86,0.51,0.0,0.73,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-02-02,-7.17,5.69,104,0.93,0.0,0.69,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-02-03,-14.71,2.23,113,0.37,0.0,0.79,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-02-04,-10.0,5.78,121,0.06,0.0,0.77,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-02-05,-10.7,1.56,82,0.78,0.04,0.84,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-02-06,-19.63,4.97,128,0.64,0.0,0.71,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
2020-02-07,-14.56,1.98,90,0.63,0.01,0.77,Steele,North Dakota,38091,ND,1744,47.4562,-97.7246
