date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,5.3,3.22,117,0.79,0.17,0.7,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-01-22,4.89,5.6,150,0.29,0.0,0.47,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-01-23,3.78,2.5,150,0.34,0.0,0.39,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-01-24,4.62,1.27,149,0.43,0.0,0.65,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-01-25,5.4,0.84,153,0.06,0.0,0.62,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-01-26,4.7,2.49,126,0.41,0.0,0.68,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-01-27,2.17,5.76,110,0.92,0.6,0.84,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-01-28,-0.47,1.44,161,0.0,0.0,0.81,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-01-29,1.57,2.79,156,0.43,0.0,0.76,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-01-30,3.56,4.5,167,0.27,0.0,0.52,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-01-31,6.22,2.97,161,0.43,0.0,0.39,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-01,11.65,2.96,165,0.22,0.0,0.35,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-02,7.39,1.56,132,0.69,0.0,0.47,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-03,-4.07,5.92,79,0.83,0.02,0.69,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-04,-5.48,4.05,173,0.29,0.01,0.61,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-05,-3.01,3.57,174,0.14,0.0,0.42,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-06,3.14,5.18,110,0.94,0.01,0.53,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-07,3.01,3.85,172,0.6,0.0,0.6,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-08,6.23,1.7,168,0.4,0.0,0.5,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-09,-0.68,1.18,127,0.88,0.0,0.64,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-10,0.66,1.54,116,0.89,0.05,0.66,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-11,0.99,0.76,131,0.79,0.02,0.68,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-12,-4.6,2.93,115,0.6,0.0,0.63,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-13,-3.01,5.27,185,0.37,0.0,0.57,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-14,5.8,1.75,190,0.25,0.0,0.52,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-15,3.39,2.88,175,0.45,0.0,0.74,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-16,6.88,2.21,177,0.54,0.0,0.64,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-17,3.64,3.85,140,0.67,0.0,0.53,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-18,1.47,4.14,122,0.82,0.03,0.56,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-19,-3.69,4.23,186,0.77,0.13,0.74,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-20,-0.91,4.76,199,0.25,0.0,0.68,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-21,5.58,2.57,144,0.95,0.0,0.66,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-22,9.07,0.76,161,0.59,0.0,0.75,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-23,6.22,6.17,184,0.76,0.28,0.78,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-24,1.18,8.59,146,0.49,0.18,0.61,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
2020-02-25,-2.54,5.57,216,0.24,0.01,0.61,Stevens,Kansas,20189,KS,5603,37.1923,-101.3121
