date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-1.79,0.68,64,0.88,0.0,0.85,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-01-22,-2.88,4.87,55,1.0,0.1,0.89,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-01-23,-7.09,1.7,69,1.0,0.01,0.91,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-01-24,-6.55,2.23,73,0.84,0.0,0.9,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-01-25,-2.54,4.31,99,0.3,0.0,0.84,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-01-26,-3.0,1.83,54,0.97,0.0,0.89,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-01-27,-3.11,2.04,81,0.94,0.02,0.96,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-01-28,-4.93,1.85,66,0.8,0.0,0.97,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-01-29,-3.08,1.91,80,0.94,0.02,0.97,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-01-30,-1.79,3.24,102,0.94,0.06,0.91,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-01-31,-0.23,3.38,120,0.68,0.0,0.76,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-01,3.74,4.46,122,0.49,0.0,0.71,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-02,-2.8,4.6,82,0.94,0.01,0.79,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-03,-7.38,0.13,131,0.68,0.0,0.81,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-04,-7.01,4.4,136,0.15,0.0,0.74,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-05,-4.44,2.04,103,0.62,0.0,0.79,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-06,-12.32,4.26,131,0.72,0.0,0.78,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-07,-8.73,2.64,113,0.51,0.01,0.79,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-08,-4.05,3.43,143,0.58,0.29,0.87,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-09,-5.47,3.44,128,0.35,0.0,0.8,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-10,-5.36,3.67,150,0.1,0.0,0.76,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-11,-8.11,3.83,135,0.87,0.05,0.73,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-12,-22.41,0.89,161,0.08,0.0,0.76,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-13,-10.32,5.5,154,0.12,0.0,0.78,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-14,-1.17,3.55,154,0.47,0.0,0.78,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-15,-4.03,3.54,149,0.55,0.0,0.84,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-16,-3.94,2.96,121,0.76,0.0,0.85,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-17,-9.8,2.47,112,0.44,0.04,0.87,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-18,-17.37,1.83,168,0.3,0.0,0.76,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-19,-14.56,2.42,171,0.0,0.0,0.74,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-20,-4.74,3.12,174,0.0,0.0,0.61,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-21,-1.79,2.8,170,0.19,0.0,0.54,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-22,1.33,3.21,171,0.01,0.0,0.6,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-23,-2.36,4.59,72,0.71,0.01,0.8,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-24,-3.04,5.17,139,0.94,0.24,0.83,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-25,-9.05,1.23,171,0.37,0.0,0.82,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-26,-5.05,0.7,161,0.74,0.01,0.74,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-27,0.89,2.91,175,0.41,0.04,0.8,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-28,2.76,3.02,181,0.27,0.0,0.67,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-02-29,2.06,5.25,150,0.57,0.0,0.64,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-01,-0.55,3.04,141,0.5,0.0,0.62,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-02,3.03,5.6,156,0.38,0.01,0.64,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-03,3.37,2.66,187,0.24,0.0,0.68,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-04,4.31,8.31,169,0.43,0.0,0.53,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-05,2.03,4.73,198,0.06,0.0,0.6,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-06,7.8,4.24,198,0.21,0.0,0.55,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-07,6.86,1.88,185,0.47,0.0,0.68,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-08,-1.2,3.4,171,0.88,0.0,0.75,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-09,-1.11,1.85,149,0.46,0.1,0.74,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-10,3.91,2.93,172,0.48,0.0,0.7,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-11,5.19,5.81,172,0.8,0.04,0.62,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-12,-0.73,2.2,191,0.37,0.0,0.59,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-13,-1.9,6.2,159,0.87,0.12,0.69,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-14,-0.86,6.48,96,0.92,0.0,0.78,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-15,-0.3,1.06,149,0.81,0.06,0.83,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-16,-0.56,2.57,196,0.23,0.0,0.75,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-17,3.24,2.22,159,0.44,0.0,0.83,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-18,0.45,5.06,87,0.99,0.02,0.82,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-19,-7.5,4.27,241,0.3,0.0,0.51,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-20,-2.41,4.98,239,0.27,0.0,0.52,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-21,2.81,1.47,200,0.49,0.01,0.67,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-22,3.04,3.12,235,0.12,0.0,0.66,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-23,7.4,2.79,241,0.11,0.0,0.7,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-24,2.5,3.83,81,0.8,0.31,0.8,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-25,-0.1,1.37,135,0.9,0.04,0.87,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-26,5.17,2.06,159,0.89,0.02,0.81,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-27,7.04,3.37,163,0.99,0.02,0.72,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-28,6.19,1.53,251,0.13,0.0,0.6,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-29,8.57,5.36,239,0.38,0.01,0.51,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-30,10.61,6.34,220,0.7,0.02,0.7,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-03-31,8.07,2.09,211,0.54,0.02,0.75,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-01,-5.66,8.75,112,0.98,0.3,0.76,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-02,-7.13,5.58,271,0.53,0.03,0.67,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-03,-2.17,5.31,258,0.14,0.0,0.62,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-04,5.49,5.94,264,0.26,0.01,0.62,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-05,11.41,4.35,258,0.57,0.0,0.68,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-06,13.19,1.36,262,0.26,0.01,0.65,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-07,9.15,5.99,247,0.59,0.0,0.5,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-08,1.8,7.17,276,0.23,0.0,0.49,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-09,3.07,2.69,275,0.68,0.0,0.52,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-10,5.39,3.56,125,0.9,0.06,0.66,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-11,-0.25,7.17,239,0.94,0.08,0.59,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-12,-3.46,6.69,251,0.4,0.02,0.55,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-13,-4.02,4.64,241,0.69,0.0,0.55,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-14,-1.74,1.61,205,0.56,0.01,0.6,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-15,1.18,0.8,203,0.72,0.0,0.63,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-16,2.74,2.7,300,0.17,0.0,0.54,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-17,8.43,2.78,270,0.51,0.0,0.51,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-18,5.36,1.75,230,0.73,0.0,0.57,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-19,9.56,5.43,270,0.41,0.0,0.53,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-20,11.0,1.98,281,0.17,0.0,0.48,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-21,15.34,3.56,304,0.09,0.0,0.42,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-22,13.92,2.29,240,0.58,0.01,0.5,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-23,12.83,2.93,288,0.45,0.01,0.52,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-24,11.01,4.45,288,0.45,0.06,0.61,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-25,12.0,3.39,296,0.58,0.0,0.51,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-26,15.3,0.92,300,0.56,0.0,0.42,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-27,14.55,3.29,221,0.82,0.11,0.52,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-28,11.94,6.62,219,0.64,0.0,0.6,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-29,13.57,3.83,315,0.27,0.0,0.5,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
2020-04-30,19.34,2.02,306,0.4,0.0,0.44,Sully,South Dakota,46119,SD,1305,44.7156,-100.1322
