date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-1.6,1.48,153,0.21,0.0,0.4,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-01-22,0.71,0.84,103,0.82,0.0,0.39,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-01-23,4.46,2.2,18,0.98,0.84,0.7,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-01-24,6.26,2.14,127,0.51,0.73,0.74,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-01-25,3.35,2.59,152,0.26,0.0,0.6,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-01-26,4.11,1.96,46,0.74,0.06,0.74,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-01-27,5.21,2.67,150,0.31,0.0,0.62,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-01-28,3.0,0.58,137,0.6,0.0,0.67,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-01-29,4.2,1.15,108,0.79,0.0,0.64,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-01-30,2.04,0.59,55,0.76,0.12,0.75,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-01-31,4.3,1.1,85,0.83,0.02,0.83,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-01,7.78,3.76,164,0.22,0.0,0.51,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-02,13.14,2.7,131,0.66,0.0,0.42,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-03,14.88,2.62,90,0.89,0.09,0.56,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-04,13.68,2.67,50,0.95,0.28,0.89,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-05,14.19,2.93,13,1.0,2.11,0.95,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-06,8.52,4.09,151,0.66,0.55,0.71,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-07,-0.0,2.12,119,0.43,0.01,0.61,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-08,2.8,1.5,180,0.07,0.0,0.69,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-09,5.64,3.65,81,0.97,0.26,0.74,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-10,12.29,2.12,43,0.97,1.03,0.88,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-11,9.68,1.31,57,0.96,0.0,0.65,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-12,11.3,2.11,53,0.97,0.77,0.83,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-13,4.33,3.6,193,0.48,0.0,0.51,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-14,-1.38,0.86,194,0.32,0.0,0.49,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-15,2.79,1.79,104,0.95,0.0,0.66,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-16,6.04,0.45,182,0.53,0.0,0.65,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-17,8.46,1.91,67,0.83,0.06,0.77,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-18,8.86,2.44,134,0.89,0.18,0.59,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-19,2.74,2.09,46,0.99,0.17,0.55,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-20,0.66,3.28,214,0.18,0.01,0.5,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-21,1.94,1.11,215,0.0,0.0,0.35,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-22,4.84,0.97,201,0.31,0.0,0.43,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-23,6.85,1.38,78,0.88,0.12,0.6,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-24,8.85,1.84,96,0.99,0.43,0.89,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-25,10.52,0.93,155,0.89,0.06,0.78,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-26,3.66,5.32,219,0.43,0.15,0.48,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-27,2.2,3.05,150,0.44,0.03,0.49,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-28,1.71,3.29,210,0.2,0.0,0.52,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-02-29,3.21,1.48,224,0.39,0.0,0.35,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-01,8.44,3.59,174,0.79,0.05,0.5,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-02,10.08,3.15,69,0.88,0.48,0.83,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-03,10.6,2.07,193,0.68,0.0,0.44,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-04,9.35,0.33,115,0.99,0.01,0.52,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-05,6.24,3.57,206,0.35,0.01,0.62,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-06,4.45,5.36,235,0.29,0.0,0.45,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-07,5.02,0.73,240,0.16,0.0,0.41,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-08,9.53,2.78,208,0.67,0.0,0.48,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-09,13.93,4.1,82,0.91,0.13,0.7,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-10,14.9,1.9,183,0.82,0.01,0.68,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-11,13.84,0.49,201,0.39,0.0,0.61,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-12,17.97,2.45,148,0.96,0.14,0.65,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-13,12.86,1.24,121,0.86,0.0,0.29,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-14,10.83,1.35,90,1.0,0.07,0.67,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-15,7.03,1.71,89,0.98,0.02,0.74,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-16,9.92,1.65,95,0.97,0.24,0.85,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-17,12.12,0.7,96,0.73,0.01,0.79,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-18,16.55,2.01,146,0.98,0.17,0.78,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-19,20.79,3.77,159,0.96,0.1,0.69,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-20,17.03,1.56,175,0.76,0.21,0.77,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-21,9.49,2.15,144,0.89,0.0,0.62,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-22,7.68,1.23,38,1.0,0.68,0.84,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-23,10.74,0.53,112,0.93,0.19,0.85,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-24,11.61,1.49,119,0.87,0.93,0.81,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-25,9.91,1.09,180,0.6,0.0,0.78,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-26,16.91,2.75,221,0.58,0.0,0.67,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-27,21.36,1.24,247,0.7,0.0,0.67,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-28,22.03,3.11,220,0.89,0.0,0.61,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-29,18.62,3.9,236,0.78,0.0,0.24,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-30,11.31,1.79,53,0.96,0.33,0.47,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-03-31,7.93,3.47,162,0.86,0.16,0.66,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-01,9.89,4.16,276,0.13,0.0,0.49,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-02,12.71,3.85,288,0.15,0.0,0.29,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-03,15.42,2.85,281,0.13,0.0,0.31,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-04,14.62,0.57,268,0.41,0.01,0.56,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-05,17.1,1.82,262,0.15,0.02,0.56,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-06,17.82,1.7,243,0.67,0.01,0.62,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-07,20.33,3.31,245,0.52,0.02,0.58,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-08,17.25,3.87,273,0.39,0.11,0.53,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-09,9.93,5.46,306,0.07,0.0,0.32,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-10,8.28,1.33,304,0.02,0.0,0.38,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-11,12.08,2.54,130,0.88,0.28,0.6,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-12,18.41,3.47,224,0.7,2.2,0.75,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-13,12.5,1.51,252,0.25,0.0,0.57,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-14,7.91,3.4,312,0.47,0.02,0.47,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-15,8.46,2.95,320,0.0,0.0,0.38,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-16,10.4,1.74,305,0.21,0.0,0.47,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-17,13.17,2.74,277,0.58,0.16,0.51,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-18,8.29,0.48,238,0.45,0.0,0.59,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-19,13.06,1.59,177,0.89,0.46,0.64,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-20,14.26,3.88,269,0.15,0.0,0.48,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-21,13.29,2.68,321,0.24,0.0,0.3,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-22,12.21,2.95,51,0.96,0.45,0.72,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-23,16.65,1.9,236,0.66,0.42,0.77,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-24,12.76,1.57,100,0.77,0.14,0.83,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-25,13.77,1.61,242,0.66,0.3,0.77,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-26,12.08,5.11,326,0.4,0.0,0.49,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-27,12.64,0.57,257,0.33,0.0,0.55,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-28,16.89,4.18,229,0.85,0.04,0.65,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-29,14.3,1.87,164,0.94,1.9,0.78,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-04-30,11.66,4.37,190,0.68,0.01,0.64,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-01,14.51,1.29,316,0.16,0.0,0.56,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-02,20.13,2.6,321,0.12,0.0,0.55,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-03,21.27,2.91,336,0.42,0.02,0.47,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-04,13.82,1.13,96,0.95,0.28,0.7,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-05,12.48,2.99,253,0.6,0.08,0.71,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-06,10.28,3.56,338,0.19,0.0,0.43,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-07,10.79,3.05,162,0.49,0.14,0.62,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-08,7.99,3.94,344,0.21,0.12,0.5,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-09,8.74,1.11,334,0.13,0.0,0.5,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-10,11.46,4.2,319,0.23,0.0,0.47,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-11,9.19,2.52,280,0.5,0.0,0.49,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-12,9.83,0.39,97,0.85,0.01,0.64,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-13,15.96,2.06,278,0.49,0.02,0.72,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-14,19.62,3.43,315,0.34,0.0,0.66,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-15,21.34,1.35,306,0.49,0.0,0.59,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-16,22.13,1.84,283,0.93,0.0,0.63,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-17,19.65,2.0,151,0.96,0.07,0.77,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-18,14.31,4.87,27,1.0,2.67,0.94,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-19,8.67,5.09,35,1.0,1.87,0.93,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-20,11.71,4.86,41,1.0,1.72,0.95,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-21,17.29,0.65,242,0.81,0.49,0.79,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-22,19.83,1.51,212,0.51,0.06,0.82,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-23,21.69,0.27,270,0.62,0.47,0.8,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-24,19.09,1.77,114,0.98,0.15,0.91,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-25,19.88,1.83,117,0.98,0.09,0.83,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-26,19.62,2.43,73,0.98,0.43,0.87,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-27,21.27,1.8,209,0.92,1.15,0.85,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-28,22.14,1.72,222,0.94,0.16,0.83,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-29,22.52,1.3,270,0.46,0.02,0.7,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-30,20.5,2.68,323,0.22,0.0,0.53,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-05-31,17.58,1.17,360,0.12,0.0,0.49,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-06-01,20.76,2.4,293,0.54,0.0,0.58,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-06-02,25.15,2.85,324,0.18,0.01,0.62,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-06-03,24.47,1.36,293,0.59,0.06,0.71,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-06-04,23.26,2.77,200,0.89,0.03,0.74,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-06-05,24.9,2.06,277,0.69,0.01,0.68,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-06-06,25.06,0.95,307,0.19,0.05,0.67,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-06-07,23.41,1.07,256,0.71,0.02,0.69,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
2020-06-08,24.74,2.07,238,0.81,0.04,0.82,Surry,North Carolina,37171,NC,71971,36.4148,-80.6881
