date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,9.86,5.0,18,1.0,0.61,0.77,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-01-22,14.57,0.66,119,0.95,0.6,0.87,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-01-23,10.72,2.13,183,0.0,0.0,0.64,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-01-24,11.74,2.97,109,0.54,0.0,0.63,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-01-25,17.56,0.44,163,0.69,0.16,0.79,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-01-26,13.61,1.35,125,0.46,0.0,0.83,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-01-27,13.86,2.58,74,0.81,0.51,0.89,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-01-28,10.76,4.96,124,0.6,0.0,0.66,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-01-29,9.74,2.69,56,0.94,0.01,0.78,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-01-30,10.88,2.89,113,0.92,0.01,0.74,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-01-31,9.85,1.61,196,0.04,0.0,0.59,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-01,13.76,3.49,197,0.2,0.0,0.41,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-02,17.94,5.99,103,0.86,0.01,0.67,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-03,21.99,4.69,133,0.99,0.03,0.77,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-04,10.7,5.21,39,1.0,0.11,0.8,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-05,5.08,5.69,196,0.54,0.13,0.62,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-06,9.19,3.31,202,0.04,0.0,0.47,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-07,13.43,1.74,92,0.52,0.01,0.65,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-08,19.09,5.52,86,0.75,0.08,0.81,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-09,21.94,3.68,59,0.96,0.3,0.92,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-10,11.16,3.96,25,1.0,0.32,0.91,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-11,10.46,2.47,42,1.0,0.43,0.94,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-12,9.02,3.83,209,0.21,0.0,0.77,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-13,7.71,2.87,215,0.0,0.0,0.66,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-14,10.84,2.44,134,0.38,0.0,0.71,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-15,16.6,1.33,116,0.96,0.0,0.83,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-16,19.91,3.98,84,0.91,0.03,0.86,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-17,23.0,3.53,100,0.85,0.08,0.83,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-18,13.03,3.89,20,1.0,0.18,0.9,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-19,9.17,4.74,19,1.0,0.37,0.93,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-20,8.07,4.75,222,0.22,0.02,0.63,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-21,8.97,1.32,215,0.2,0.0,0.58,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-22,14.45,3.39,59,0.98,0.03,0.73,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-23,18.87,2.27,130,0.99,0.37,0.78,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-24,14.26,1.72,226,0.36,0.0,0.67,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-25,11.25,6.92,175,0.68,0.0,0.46,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-26,6.53,1.6,244,0.0,0.0,0.48,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-27,10.7,2.26,242,0.01,0.0,0.45,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-28,14.35,2.73,230,0.58,0.0,0.49,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-02-29,18.73,5.67,119,0.88,0.04,0.68,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-03-01,21.3,4.12,117,0.95,0.01,0.82,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-03-02,22.49,1.55,112,1.0,0.06,0.82,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-03-03,20.83,2.77,63,1.0,0.63,0.9,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-03-04,15.39,4.51,238,0.44,0.04,0.66,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-03-05,15.62,3.32,258,0.44,0.0,0.36,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-03-06,12.7,2.48,134,0.85,0.0,0.45,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-03-07,14.77,4.14,155,0.66,0.0,0.68,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-03-08,19.32,4.48,88,0.87,0.23,0.76,Waller,Texas,48473,TX,51832,30.0108,-95.9877
2020-03-09,20.66,1.76,145,0.94,0.18,0.85,Waller,Texas,48473,TX,51832,30.0108,-95.9877
