date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-3.91,1.79,114,0.49,0.0,0.64,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-01-22,2.06,2.34,75,0.99,0.0,0.53,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-01-23,5.89,3.58,23,0.95,0.7,0.8,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-01-24,3.02,3.81,45,0.98,0.12,0.88,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-01-25,1.25,4.21,83,0.93,0.04,0.8,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-01-26,0.62,1.82,66,0.62,0.0,0.81,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-01-27,1.15,1.86,44,0.97,0.01,0.8,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-01-28,0.92,1.24,65,0.95,0.01,0.75,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-01-29,1.17,1.46,104,0.92,0.0,0.68,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-01-30,1.39,1.93,53,1.0,0.07,0.74,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-01-31,2.77,0.31,65,0.95,0.02,0.84,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-02-01,6.54,5.64,148,0.52,0.01,0.62,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-02-02,10.78,3.54,114,0.63,0.0,0.59,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-02-03,13.8,4.07,22,0.99,0.45,0.68,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-02-04,1.15,4.77,27,1.0,0.12,0.75,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-02-05,-0.11,2.57,20,1.0,0.36,0.9,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-02-06,-1.5,4.18,101,0.92,0.13,0.79,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-02-07,-1.26,2.41,72,0.74,0.07,0.83,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-02-08,-0.19,2.36,83,0.62,0.04,0.83,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-02-09,6.09,2.77,12,1.0,0.41,0.85,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
2020-02-10,2.87,2.2,74,0.99,0.04,0.84,Warren,Ohio,39165,OH,229132,39.4276,-84.1668
