date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,-0.41,1.27,112,0.83,0.04,0.83,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-01-22,-1.79,0.4,127,0.51,0.0,0.89,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-01-23,-2.33,1.1,129,0.76,0.06,0.88,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-01-24,-1.19,0.54,129,0.66,0.0,0.84,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-01-25,-1.84,1.75,137,0.85,0.01,0.82,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-01-26,-0.22,1.34,134,0.6,0.09,0.85,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-01-27,-1.49,0.96,126,0.81,0.0,0.82,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-01-28,-2.0,1.64,131,0.48,0.03,0.8,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-01-29,-4.2,0.68,147,0.63,0.02,0.85,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-01-30,-6.46,0.23,134,0.8,0.0,0.87,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-01-31,-4.03,0.9,151,0.46,0.0,0.85,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-01,1.36,2.88,139,0.44,0.0,0.59,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-02,-7.95,3.6,142,0.84,0.33,0.75,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-03,-13.48,1.97,173,0.08,0.0,0.65,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-04,-12.61,0.84,147,0.69,0.02,0.75,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-05,-2.02,1.55,136,0.98,0.03,0.86,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-06,-1.51,1.5,165,0.72,0.0,0.8,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-07,-0.59,1.73,177,0.08,0.0,0.63,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-08,-3.56,2.7,150,0.6,0.03,0.66,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-09,-7.45,1.55,179,0.07,0.0,0.72,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-10,-7.46,1.79,180,0.04,0.0,0.77,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-11,-5.53,0.82,181,0.05,0.0,0.73,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-12,-8.12,0.65,170,0.43,0.0,0.86,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-13,-2.09,1.9,190,0.09,0.0,0.64,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-14,-0.7,1.3,168,0.65,0.0,0.62,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-15,2.87,1.68,108,0.95,0.09,0.64,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-16,-0.15,1.19,173,0.84,0.03,0.77,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-17,-5.92,0.8,178,0.63,0.0,0.73,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-18,-6.11,1.16,193,0.45,0.0,0.7,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-19,-7.93,1.27,209,0.05,0.0,0.67,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-20,-4.69,1.25,207,0.02,0.0,0.55,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-21,-0.02,0.94,125,0.65,0.05,0.62,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-22,0.55,1.28,200,0.46,0.02,0.73,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-23,0.36,1.83,213,0.11,0.0,0.52,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-24,-3.36,1.56,218,0.01,0.0,0.49,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-25,-3.76,0.23,219,0.01,0.0,0.58,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-26,0.02,0.01,222,0.0,0.0,0.6,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-27,-0.28,1.22,210,0.47,0.0,0.63,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-28,3.6,2.52,185,0.81,0.0,0.52,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-02-29,0.33,0.4,120,0.85,0.28,0.72,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-01,-6.0,2.24,226,0.26,0.01,0.75,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-02,-3.01,1.44,223,0.07,0.0,0.68,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-03,-2.08,0.12,217,0.37,0.0,0.88,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-04,-1.87,1.55,228,0.27,0.0,0.79,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-05,5.18,2.51,217,0.92,0.0,0.46,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-06,6.72,3.39,194,0.75,0.01,0.46,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-07,3.1,1.26,190,0.59,0.05,0.61,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-08,3.54,2.21,179,0.89,0.01,0.53,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-09,2.72,1.18,222,0.51,0.0,0.57,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-10,3.94,1.77,179,0.46,0.04,0.67,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-11,4.91,0.04,245,0.05,0.0,0.62,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-12,3.85,0.55,214,0.6,0.0,0.54,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
2020-03-13,5.76,4.85,198,0.67,0.12,0.69,White Pine,Nevada,32033,NV,9679,39.4421,-114.9016
