date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,5.84,5.18,15,1.0,0.39,0.85,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-01-22,8.32,1.16,135,0.81,0.16,0.83,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-01-23,8.04,2.76,169,0.02,0.0,0.55,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-01-24,9.6,3.15,147,0.47,0.0,0.59,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-01-25,13.39,1.11,120,0.43,0.04,0.78,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-01-26,10.95,2.2,158,0.37,0.0,0.8,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-01-27,12.38,3.31,68,0.76,0.36,0.86,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-01-28,4.52,5.1,125,0.95,0.0,0.81,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-01-29,4.63,1.01,68,0.98,0.01,0.78,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-01-30,6.25,1.45,172,0.53,0.0,0.73,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-01-31,7.77,2.12,181,0.01,0.0,0.52,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-01,13.74,3.26,182,0.26,0.0,0.34,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-02,17.23,4.82,97,0.86,0.06,0.43,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-03,12.23,1.01,61,0.98,0.23,0.91,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-04,1.32,4.72,35,0.95,0.31,0.84,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-05,0.31,3.61,191,0.42,0.06,0.69,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-06,5.32,1.95,185,0.34,0.0,0.53,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-07,8.12,1.21,187,0.27,0.0,0.55,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-08,16.35,5.23,57,0.85,0.09,0.73,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-09,9.43,3.24,51,0.97,0.5,0.74,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-10,4.58,3.71,31,1.0,0.29,0.84,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-11,5.85,1.11,81,0.97,0.82,0.87,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-12,4.83,3.23,173,0.55,0.0,0.73,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-13,1.82,1.75,202,0.01,0.0,0.61,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-14,8.48,4.19,188,0.44,0.0,0.67,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-15,14.06,2.52,200,0.27,0.0,0.73,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-16,17.37,2.21,191,0.51,0.0,0.63,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-17,13.51,5.03,81,0.98,0.01,0.59,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-18,8.12,2.91,116,0.97,0.04,0.6,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-19,7.5,3.69,137,0.87,0.44,0.71,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-20,3.04,2.08,218,0.07,0.0,0.58,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-21,8.1,3.36,185,0.7,0.0,0.53,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-22,11.05,4.17,65,0.97,0.07,0.73,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-23,13.56,3.99,200,0.41,0.0,0.69,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-24,9.9,3.28,186,0.2,0.0,0.62,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-25,5.94,6.23,210,0.55,0.01,0.48,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-26,4.84,1.27,231,0.0,0.0,0.42,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-27,10.31,1.07,232,0.0,0.0,0.39,Wise,Texas,48497,TX,66290,33.2159,-97.6545
2020-02-28,13.58,3.01,207,0.69,0.0,0.39,Wise,Texas,48497,TX,66290,33.2159,-97.6545
