date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,0.85,6.23,53,1.0,0.47,0.87,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-01-22,0.54,3.52,50,1.0,0.29,0.93,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-01-23,-3.08,5.35,103,0.97,0.02,0.88,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-01-24,-4.39,1.35,117,0.67,0.0,0.91,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-01-25,0.53,2.15,135,0.34,0.0,0.83,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-01-26,0.12,3.35,71,0.54,0.0,0.83,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-01-27,-1.31,1.09,57,1.0,0.07,0.86,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-01-28,-1.31,0.74,88,0.92,0.03,0.91,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-01-29,0.7,3.6,108,0.86,0.0,0.87,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-01-30,1.87,2.62,69,0.64,0.01,0.81,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-01-31,1.93,2.68,138,0.47,0.0,0.71,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-01,8.64,3.68,145,0.05,0.0,0.5,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-02,1.19,7.29,64,0.48,0.01,0.72,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-03,-3.21,6.68,74,0.83,0.01,0.51,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-04,-4.29,2.17,119,0.91,0.03,0.58,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-05,-3.22,2.65,152,0.07,0.0,0.7,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-06,-1.46,4.09,143,0.66,0.02,0.67,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-07,-2.91,1.76,153,0.04,0.0,0.65,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-08,1.56,1.14,131,0.46,0.01,0.67,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-09,-1.56,1.91,159,0.58,0.0,0.64,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-10,0.3,2.84,163,0.58,0.0,0.54,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-11,0.31,3.13,99,0.56,0.0,0.61,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-12,-14.03,5.77,176,0.13,0.0,0.47,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-13,-8.93,5.5,171,0.01,0.0,0.49,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-14,-0.13,2.2,173,0.34,0.0,0.56,York,Nebraska,31185,NE,13745,40.8727,-97.5971
2020-02-15,3.63,3.44,163,0.49,0.0,0.51,York,Nebraska,31185,NE,13745,40.8727,-97.5971
